name,url_name,Birth Date,Death Date,Birth place,Death place,Nationality,Art Movement,Genre,Field,Influenced by,Influenced on,Wikipedia,Painting School,Official site,Friends and Co-workers,Family and Relatives,Pupils,Teachers,Art institution
Mona Hatoum,mona-hatoum,1952,,"Beirut, Lebanon",,Palestinians|British,Conceptual Art|Post-Minimalism|Postcolonial art,installation,installation,,,https://en.wikipedia.org/wiki/Mona_Hatoum,,,,,,,"UCL Slade School of Fine Art (University College London), London, UK|Byam Shaw School of Art, London, UK"
Matthew Barney,matthew-barney,25-Mar-67,,"San Francisco, California, United States",,American,Performance Art|Contemporary,,sculpture|installation|photography|drawing|performance,Joseph Beuys,,https://en.wikipedia.org/wiki/Matthew_Barney,,,,,,,
Tania Bruguera,tania-bruguera,1968,,"Havana, Cuba",,Cuban,Relational Art|Postcolonial art|Performance Art,performance|video,installation|performance,,,https://en.wikipedia.org/wiki/Tania_Bruguera,,www.taniabruguera.com,,,,,
Maurizio Cattelan,maurizio-cattelan,21-Sep-60,,"Padova, Italy",,Italian,Relational Art,sculpture,sculpture|design|performance|installation,,,https://en.wikipedia.org/wiki/Maurizio_Cattelan,,,,,,,
Elsa von Freytag-Loringhoven,elsa-von-freytag-loringhoven,"July 12, 1874",15-Dec-27,"Swinemünde, Province of Pomerania, Germany","Paris, France",French|German,Dada,,painting|sculpture|performance|assemblage,,,https://en.wikipedia.org/wiki/Elsa_von_Freytag-Loringhoven,,,,,,,
Suzanne Duchamp,suzanne-duchamp,"October 20, 1889",11-Sep-63,"Blainville-Crevon, Seine-Maritime, Haute-Normandie, France","Neuilly-sur-Seine (Seine-Saint-Denis), France",French,Dada,,painting|drawing|collage,,,https://en.wikipedia.org/wiki/Suzanne_Duchamp,,,,Marcel Duchamp|Jacques Villon,,,"École des Beaux-Arts, Paris, France"
Hannah Hoch,hannah-hoch,"November 1, 1889",31-May-78,"Gotha, Germany","Berlin, Germany",German,Dada,,painting|collage,,,https://en.wikipedia.org/wiki/Hannah_H%C3%B6ch,,,,,,,
Leonid Sejka,leonid-sejka,24-Mar-32,15-Dec-70,"Belgrad / Singidunum / Belgrade / Beograd, Serbia","Belgrad / Singidunum / Belgrade / Beograd, Serbia",Serbian,Neo-Dada|Surrealism,,painting|assemblage|sculpture|architecture,,,https://en.wikipedia.org/wiki/Leonid_%C5%A0ejka,Mediala,,,,,,
Friedensreich Hundertwasser,friedensreich-hundertwasser,15-Dec-28,19-Feb-00,,,Austrian,Transautomatism|Surrealism|Magic Realism,cityscape,painting|architecture|graphics,,,https://en.wikipedia.org/wiki/Friedensreich_Hundertwasser,,www.hundertwasser.at,,,,,"Akademie der Bildenden Künste Wien, Vienna, Austria"
Ian Bent,ian-bent,1945,,Australia,,Australian,Contemporary Realism|Surrealism,,painting,,,,,,Jeffrey Smart,,,,
Stanley Whitney,stanley-whitney,1946,,"Philadelphia, PA, United States",,American,Post-Painterly Abstraction,abstract,painting,,,,,,,,,,
Jack Youngerman,jack-youngerman,25-Mar-26,19-Feb-20,"St. Louis, MO, United States",United States,American,Post-Painterly Abstraction,,painting|sculpture|drawing|installation,,,https://en.wikipedia.org/wiki/Jack_Youngerman,New York School,www.jackyoungerman.com,,,,,
Landon Mackenzie,landon-mackenzie,1954,,"Boston, Massachussets, United States",,American|Canadian,Neo-Expressionism,,painting|printmaking|drawing,,,https://en.wikipedia.org/wiki/Landon_Mackenzie,,,,,,,
Jeremy Moon,jeremy-moon,29-Aug-34,30-Nov-73,"Altrincham, Cheshire, United Kingdom",,British,Post-Painterly Abstraction,abstract,painting|sculpture|drawing,,,https://en.wikipedia.org/wiki/Jeremy_Moon,,,,,,,
Kuno Gonschior,kuno-gonschior,10-Sep-33,16-Mar-10,"Wanne-Eickel, Germany","Bochum, Germany",German,Post-Painterly Abstraction,abstract,painting|printmaking,Josef Albers,,https://en.wikipedia.org/wiki/Kuno_Gonschior,Zero,,,,,,
Jef Verheyen,jef-verheyen,6-Jul-32,2-Mar-84,"Itegem, Netherlands","Apt, Vaucluse, France",Belgian,Post-Painterly Abstraction|Minimalism,abstract,painting|sculpture|drawing,,,https://nl.wikipedia.org/wiki/Jef_Verheyen,Zero,,,,,,
Sol LeWitt,sol-lewitt,9-Sep-28,8-Apr-07,"Hartford, Connecticut, United States","New York, United States",American,Conceptual Art|Minimalism,installation,painting|printmaking|drawing|installation|photography,,Charles Gibbons|Adrian Piper,https://en.wikipedia.org/wiki/Sol_LeWitt,,www.sollewittprints.org,,,,,"School of Visual Arts (SVA), New York City, NY, US"
Robert Swain,robert-swain,7-Dec-40,,"Austin, Texas, United States",,American,Post-Painterly Abstraction|Minimalism,abstract,painting|printmaking|art theory,,,,Park Place,,,,,,
JCJ Vanderheyden,jcj-vanderheyden,23-Jun-28,27-Feb-12,"'s-Hertogenbosch, Netherlands","'s-Hertogenbosch, Netherlands",Dutch,Post-Painterly Abstraction,abstract,painting|printmaking|drawing|photography|collage,,,https://en.wikipedia.org/wiki/JCJ_Vanderheyden,Zero,,,,,,"Jan Van Eyck Academie, Maastricht, Netherlands|Rijksakademie van beeldende kunsten, Amsterdam, Netherlands"
Pat Steir,pat-steir,1938,,"Newark, New Jersey, United States",,American,New Image Painting,abstract,painting|printmaking,,,https://en.wikipedia.org/wiki/Pat_Steir,,,,,,,
Harriet Korman,harriet-korman,1947,,,,American,Post-Painterly Abstraction,abstract,painting,,,,,,,,,Richard Serra,
Wanda Koop,wanda-koop,1951,,"Vancouver, Canada",,Canadian,Contemporary,,painting|drawing|performance|installation,,,https://en.wikipedia.org/wiki/Wanda_Koop,,,,,,,
