name,url_name,Birth Date,Death Date,Birth place,Death place,Nationality,Art Movement,Genre,Field,Influenced by,Influenced on,Wikipedia,Painting School,Official site,Friends and Co-workers,Family and Relatives,Pupils,Teachers,Art institution
Thomas Fearnley,en/thomas-fearnley,"December 27, 1802","January 16, 1842",Norway,,,,,,,,https://en.wikipedia.org/wiki/Thomas_Fearnley,,,,,,,
"Olusola David, Ayibiowu",en/olusola-david-ayibiowu,24-Jan-74,,Nigeria,,,,,,,,https://en.wikipedia.org/wiki/Nigerian_National_Museum,,www.casfoundation.org.ng,,,,,
Goran Despotovski,en/goran-despotovski,13-Aug-72,,Serbia,,,,,,,,http://www.gorandespotovski.com/,,www.gorandespotovski.com,,,,,
Chaim Goldberg,en/chaim-goldberg,20-Mar-17,,Poland,,,,,,,,https://en.wikipedia.org/wiki/Chaim_Goldberg,,chaimgoldberg.com,,,,,
Ancient Greek Pottery,ancient-greek-pottery,c.900 BC,31 BC,,,Greeks|Italians|Turkish|Bulgarians|Macedonians|Serbians|Croatians,Geometric Period (c.900 - c.700 BC)|Archaic Period (700-480 BC)|Classical Period (480 - 323 BC),design,painting|design,Ancient Greek Painting and Sculpture|Ancient Egypt,Ancient Greek Painting and Sculpture,https://en.wikipedia.org/wiki/Pottery_of_ancient_Greece,,,,,,,
Apelles,apelles,c.370 BC,,"Menderes, Turkey",,Greek,Classical Period (480 - 323 BC)|Hellenistic Period (323-31 BC),,painting,Ancient Greek Painting and Sculpture,Ancient Greek Painting and Sculpture,https://en.wikipedia.org/wiki/Apelles,Heptanese (Ionian) School|Sicyonian school,,,,,,
Fayum portrait,fayum-portrait,c.50,c.250,Egypt,Egypt,Egyptians,Roman Period (30 BC - 640 AD)|Coptic art,portrait,painting,Ancient Greek Painting and Sculpture|Ancient Egypt,Orthodox Icons|Byzantine Art,https://en.wikipedia.org/wiki/Fayum_mummy_portraits,,,,,,,
Teddy Cobeña,teddy-cobena,16-Apr-73,,Ecuador,,Spanish|Ecuadorian,Expressionism|Surrealism|Contemporary|Neo-Surrealism,,sculpture,,,https://en.wikipedia.org/wiki/Teddy_Cobe%C3%B1a,,www.teddycobena.eu,,,,,
Thiago Boecan,thiago-boecan,24-Aug-95,,Brazil,,Brazilian,Neo-Figurative Art|Abstract Art,figurative|abstract,painting|drawing|printmaking|sculpture|illustration|engraving|collage|design,,,,,,,,,,
Edward Burne-Jones,edward-burne-jones,"August 28, 1833","June 17, 1898","Birmingham, United Kingdom","Fulham, United Kingdom",British,Romanticism|Aestheticism|Arts and Crafts,,painting|drawing|design|lithography|tapestry|architecture|printmaking,,Walter Crane|Evelyn De Morgan,https://en.wikipedia.org/wiki/Edward_Burne-Jones,Pre-Raphaelite Brotherhood,,Ford Madox Brown|Simeon Solomon,Edward Poynter,,,
Orthodox Icons,orthodox-icons,c.330,,,,Greeks|Turkish|Bulgarians|Ukrainians|Serbians|Russians|Romanians|Ethiopians|Egyptians,Byzantine Art|Coptic art,icon|religious painting,painting,Byzantine Mosaics|Fayum portrait,Andrei Rublev|Mykhailo Boychuk|El Greco|Yov Kondzelevych|Viktor Vasnetsov|Mikhail Nesterov,,,,,,,,
Byzantine Mosaics,byzantine-mosaics,c.330,c.1453,,,Greeks|Turkish|Bulgarians|Ukrainians|Italians,Byzantine Art,portrait|religious painting,mosaic,,Orthodox Icons|Proto Renaissance|Venetian School,,,,,,,,
Ende,ende,975,,,,Spanish,Pre-Romanesque Art,,,,,https://en.wikipedia.org/wiki/Ende_(artist),,,,,,,
Facundus,facundus,1050,,,,Spanish,Romanesque Art,miniature,illustration,,,,,,,,,,
Cimabue,cimabue,c.1251,1302,"Florence, Italy","Pisa, Italy",Italian,Proto Renaissance,,painting|mosaic,,,https://en.wikipedia.org/wiki/Cimabue,Florentine School,,,,Giotto,,
Andrei Rublev,andrei-rublev,c.1360,c.1430,,"Moscow, Russian Federation",Russians,Byzantine Art,religious painting|icon,painting,Orthodox Icons,,https://en.wikipedia.org/wiki/Andrei_Rublev,,,,,,,
Mikhail Vrubel,mikhail-vrubel,"March 17, 1856",14-Apr-10,"Omsk, Russian Federation","Saint Petersburg, Russian Federation",Russian,Symbolism,,painting,Sir Lawrence Alma-Tadema|Giovanni Bellini|Byzantine Art|Early Renaissance|Orthodox Icons,Vsevolod Maksymovych,https://en.wikipedia.org/wiki/Mikhail_Vrubel,Mir Iskusstva (World of Art),,Mykola Murashko|Valentin Serov|Konstantin Korovin,,,Ilya Repin,"Imperial Academy of Arts, Saint Petersburg, Russia|Stroganov Moscow State Academy of Arts and Industry, Moscow, Russia"
Nicholas Roerich,nicholas-roerich,"October 9, 1874",13-Dec-47,"Saint Petersburg, Russian Federation","Punjab, India",Russian,Symbolism,,painting,,Sirak Skitnik,https://en.wikipedia.org/wiki/Nicholas_Roerich,Mir Iskusstva (World of Art),,,,,,"Imperial Academy of Arts, Saint Petersburg, Russia"
Yiannis Tsaroychis,yiannis-tsaroychis,1910,1989,"Peiraiá / Peiraeus / Piraeus / Le Pirée / Peiraiéfs / Pireo, Greece","athens, Greece",Greek,Realism|Expressionism,,painting|design,,,https://en.wikipedia.org/wiki/Yannis_Tsarouchis,Armos,,,,,,
Marin Gherasim,marin-gherasim,1937,"March, 2017","Rădăuți, Bucovina, Romania","Bucharest, Romania",Romanian,Neo-Orthodoxism,,painting|art theory,,,https://ro.wikipedia.org/wiki/Marin_Gherasim,9+1,,,,,,
Jerzy Nowosielski,jerzy-nowosielski,7-Jan-23,21-Feb-11,Poland,Poland,Polish,Post-Painterly Abstraction,abstract|religious painting,painting|illustration,Byzantine Art,Leon Tarasewicz,https://en.wikipedia.org/wiki/Jerzy_Nowosielski,,,,,,,
Romanesque Architecture,romanesque-architecture,c.1000,c.1250,,,French|Germans|British|Italians|Spanish|Portuguese|Polish,Romanesque Art,architecture,architecture,,,https://en.wikipedia.org/wiki/Romanesque_architecture,,,,,,,
Hildegard of Bingen,hildegard-of-bingen,1098,"September 17, 1179",,,German,Romanesque Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Hildegard_of_Bingen,,,,,,,
Herrad of Landsberg,herrad-of-landsberg,c.1130,1195,,,French|German,Romanesque Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Herrad_of_Landsberg,,,,,,,
Alberto Sotio,alberto-sotio,1187,,,,Italian,Romanesque Art,religious painting,painting|illustration,,,https://en.wikipedia.org/wiki/Alberto_Sotio,Spoleto School,,,,,,
Claricia,claricia,1200,,,,German,Romanesque Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Claricia,,,,,,,
Bartolomeo Pinelli,bartolomeo-pinelli,"November 20, 1781","April 1, 1835","Rome, Italy","Rome, Italy",Italian,Romanticism,genre painting,engraving|painting,,,https://en.wikipedia.org/wiki/Bartolomeo_Pinelli,,,,Achille Pinelli,,,
Evelyn De Morgan,evelyn-de-morgan,"August 30, 1855",2-May-19,"London, United Kingdom, United Kingdom","London, United Kingdom, United Kingdom",British,Symbolism|Romanticism,religious painting|mythological painting,painting,Edward Burne-Jones|Sandro Botticelli,,https://en.wikipedia.org/wiki/Evelyn_De_Morgan,Pre-Raphaelite Brotherhood,,,,,,
Nicholas of Verdun,nicholas-of-verdun,c.1130,c.1230,,,French,Romanesque Art,,goldsmith|enamel,,,https://en.wikipedia.org/wiki/Nicholas_of_Verdun,Mosan school,,,,,,
Master Francke,master-francke,c.1380,,Germany,,German,Gothic Art,religious painting,,,,https://en.wikipedia.org/wiki/Master_Francke,,,,,,,
Limbourg brothers,limbourg-brothers,c.1385,c.1416,,,Dutch,Gothic Art,miniature,illustration,,,https://en.wikipedia.org/wiki/Limbourg_brothers,,,,,,,
Bartolome Bermejo,bartolome-bermejo,c.1440,c.1501,"Córdoba, Spain",,Spanish,Gothic Art,,painting,,,https://en.wikipedia.org/wiki/Bartolom%C3%A9_Bermejo,,,,,,,
Álvaro Pires de Évora,alvaro-pires-de-evora,c.1390,c.1450,Portugal,Italy,Portuguese,Early Renaissance|Northern Renaissance|Gothic Art,religious painting,painting,,,https://en.wikipedia.org/wiki/%C3%81lvaro_Pires_de_%C3%89vora,Florentine School,,,,,,
Simone Martini,simone-martini,1284,1344,"Siena, Italy","Avignon, France",Italian,Gothic Art,religious painting,painting|fresco,,Ambrogio Lorenzetti|Pietro Lorenzetti,https://en.wikipedia.org/wiki/Simone_Martini,Sienese School,,,,,,
Ambrogio Lorenzetti,ambrogio-lorenzetti,c.1290,"June 9, 1348","Siena, Italy","Siena, Italy",Italian,Proto Renaissance|Gothic Art,allegorical painting,painting,Simone Martini|Duccio|Giotto|Byzantine Art|Florentine School,Dante Gabriel Rossetti|William Holman Hunt|John Everett Millais|Early Renaissance|Pre-Raphaelite Brotherhood,https://en.wikipedia.org/wiki/Ambrogio_Lorenzetti,Sienese School,,,Pietro Lorenzetti,Luca di Tommé,,
Pietro Lorenzetti,pietro-lorenzetti,c.1280,1348,"Siena, Italy","Siena, Italy",Italian,Gothic Art|Proto Renaissance,religious painting,painting,Duccio|Giotto|Simone Martini|Florentine School,,https://en.wikipedia.org/wiki/Pietro_Lorenzetti,Sienese School,,,Ambrogio Lorenzetti,Luca di Tommé,,
Gentile da Fabriano,gentile-da-fabriano,c.1370,1427,"Fabriano, Italy","Rome, Italy",Italian,Gothic Art,religious painting,painting,,,https://en.wikipedia.org/wiki/Gentile_da_Fabriano,Lombard School,,,,,,
Melchior Broederlam,melchior-broederlam,c.1350,c.1409,"Ypres, Belgium","Ypres, Belgium",Flemish,Gothic Art,religious painting,painting,,,https://en.wikipedia.org/wiki/Melchior_Broederlam,Flemish School,,,,,,
Pisanello,pisanello,c.1395,1455,"Pisa, Italy","Naples, Italy",Italian,Gothic Art|Early Renaissance,animal painting|portrait,painting|fresco|drawing,,,https://en.wikipedia.org/wiki/Pisanello,,,,,,,
Stefan Lochner,stefan-lochner,c.1410,1451,"Meersburg, Germany","Cologne, Germany",German,Gothic Art|Northern Renaissance,,painting,,Rogier van der Weyden|Hans Memling,https://en.wikipedia.org/wiki/Stefan_Lochner,,,,,,,
Hans Holbein the Elder,hans-holbein-the-elder,c.1460,1524,"Augsburg, Germany","Issenheim, France",German,Gothic Art|Northern Renaissance,,painting|drawing|printmaking,,,https://en.wikipedia.org/wiki/Hans_Holbein_the_Elder,,,,Hans Holbein the Younger,Hans Holbein the Younger,,
Viking art,viking-art,c.780,c.1100,,,Norwegians|Swedish|Finnish|Danes|Icelandic|British,Medieval Art,sculpture|jewelry,sculpture|enamel|goldsmith|tapestry,Celtic Art,Romanesque Art|Celtic Art,https://en.wikipedia.org/wiki/Viking_art,,,,,,,
Toros Roslin,toros-roslin,c.1210,c.1270,,,Armenian,Medieval Art,miniature|religious painting,painting|illustration,,,https://en.wikipedia.org/wiki/Toros_Roslin,,,,,,,
Duccio,duccio,c.1255,c.1318,"Siena, Italy","Siena, Italy",Italian,Proto Renaissance,religious painting,painting,,Ambrogio Lorenzetti|Pietro Lorenzetti,https://en.wikipedia.org/wiki/Duccio,Sienese School,,,,,,
Giotto,giotto,c.1266,"January 8, 1337","Florence, Italy","Florence, Italy",Italian,Proto Renaissance,,painting|fresco|architecture,Byzantine Art,Proto Renaissance|Jose Clemente Orozco|Cennino Cennini|Paul Gauguin|Michelangelo|William Holman Hunt,https://en.wikipedia.org/wiki/Giotto_di_Bondone,Florentine School,,,,,Cimabue,
Paolo Veneziano,paolo-veneziano,c.1300,c.1358,"Venice, Italy",,Italian,Proto Renaissance,religious painting,painting,Byzantine Art|Gothic Art,Dante Gabriel Rossetti|William Holman Hunt|John Everett Millais|Venetian School|Pre-Raphaelite Brotherhood,https://en.wikipedia.org/wiki/Paolo_Veneziano,,,,,,,
Giovanni da Milano,giovanni-da-milano,1325,1370,Italy,,Italian,Proto Renaissance,religious painting,painting,Giotto,,https://en.wikipedia.org/wiki/Giovanni_da_Milano,Lombard School,,,,,,
Luca di Tommé,luca-di-tomme,c.1330,c.1389,Italy,,Italian,Proto Renaissance,religious painting,painting,,,https://en.wikipedia.org/wiki/Luca_di_Tomm%C3%A8,Sienese School,,,,,Ambrogio Lorenzetti|Pietro Lorenzetti,
Cennino Cennini,cennino-cennini,c.1360,c.1427,"Colle di Val d'Elsa, Tuscany, Italy",,Italian,Proto Renaissance,,painting,Giotto,,https://en.wikipedia.org/wiki/Cennino_Cennini,,,,,,,
Filippo Brunelleschi,filippo-brunelleschi,1377,"April 15, 1446","Florence, Italy",,Italian,Early Renaissance,,sculpture|architecture,,,https://en.wikipedia.org/wiki/Filippo_Brunelleschi,Florentine School,,,,,,
Lorenzo Monaco,lorenzo-monaco,1370,1425,"Siena, Toscana, Italy",,Italian,Early Renaissance,religious painting,painting,Giotto|Lorenzo Ghiberti|Gothic Art,,https://en.wikipedia.org/wiki/Lorenzo_Monaco,,,,,,,
Donatello,donatello,c.1386,"December 13, 1466","Florence, Italy","Florence, Italy",Italian,Early Renaissance,sculpture,sculpture,,Giacomo Manzu|Auguste Rodin|Desiderio da Settignano,https://en.wikipedia.org/wiki/Donatello,Florentine School,,,,Andrea del Verrocchio,Lorenzo Ghiberti,
Fra Angelico,fra-angelico,c.1395,"February 18, 1455",,,Italian,Early Renaissance,religious painting,painting|fresco,Sienese School,Lo Scheggia|Antoniazzo Romano,https://en.wikipedia.org/wiki/Fra_Angelico,Florentine School,,,,Benozzo Gozzoli,,
Domenico Veneziano,domenico-veneziano,c.1410,"May 15, 1461","Venice, Italy","Florence, Italy",Italian,Early Renaissance,,painting,,Lo Scheggia,https://en.wikipedia.org/wiki/Domenico_Veneziano,Florentine School,,,,,,
Paolo Uccello,paolo-uccello,1397,"December 10, 1475",,,Italian,Early Renaissance,,painting|fresco,,Raphael|Giorgio Morandi|Lo Scheggia|Carlos Quizpez Asín|Dmitri Zhilinsky,https://en.wikipedia.org/wiki/Paolo_Uccello,,,,,,Lorenzo Ghiberti,
Masaccio,masaccio,1401,1428,"San Giovanni Valdarno, Italy","Rome, Italy",Italian,Early Renaissance,,painting|fresco,,Leonardo da Vinci|Michelangelo|Sandro Botticelli|Il Sassetta (Stefano di Giovanni),https://en.wikipedia.org/wiki/Masaccio,Florentine School,,,Lo Scheggia,,,
Lo Scheggia,lo-scheggia,1406,1486,"San Giovanni Valdarno, Italy","Florence, Italy",Italian,Early Renaissance,,painting,Fra Angelico|Domenico Veneziano|Paolo Uccello,,https://en.wikipedia.org/wiki/Giovanni_di_ser_Giovanni_Guidi,,,,Masaccio,,,Guild of Saint Luke
Jacopo Bellini,jacopo-bellini,c.1400,c.1470,"Venice, Italy","Venice, Italy",Italian,Early Renaissance,religious painting,painting|fresco,,,https://en.wikipedia.org/wiki/Jacopo_Bellini,Venetian School,,,Giovanni Bellini|Gentile Bellini|Andrea Mantegna,,,
Filippo Lippi,filippo-lippi,c.1406,"October 8, 1469","Florence, Italy","Spoleto, Italy",Italian,Early Renaissance,,painting|fresco,,Leonardo da Vinci,https://en.wikipedia.org/wiki/Filippo_Lippi,Florentine School,,,Filippino Lippi,Sandro Botticelli|Andrea del Verrocchio|Filippino Lippi,,
Leon Battista Alberti,leon-battista-alberti,"February 14, 1404","April 25, 1472","Genoa, Italy","Rome, Italy",Italian,Early Renaissance,,painting|sculpture|architecture|art theory,,,https://en.wikipedia.org/wiki/Leon_Battista_Alberti,Florentine School,,,,,,
Andrea del Castagno,andrea-del-castagno,c.1421,"August 19, 1457","Castagno, Italy","Florence, Italy",Italian,Early Renaissance,,painting,,,https://en.wikipedia.org/wiki/Andrea_del_Castagno,Florentine School,,,Antonio del Pollaiolo,Antonio del Pollaiolo,,
Piero della Francesca,piero-della-francesca,1412,"October 12, 1492",,,Italian,Early Renaissance,,painting|fresco,,Antonello da Messina|Leonardo da Vinci|Carlos Quizpez Asín,https://en.wikipedia.org/wiki/Piero_della_Francesca,,,,,,,
Benozzo Gozzoli,benozzo-gozzoli,c.1421,1497,"Sant'Ilario a Colombano, Italy","Pistoia, Italy",Italian,Early Renaissance,,painting|fresco,,Antoniazzo Romano,https://en.wikipedia.org/wiki/Benozzo_Gozzoli,Florentine School,,,,,Fra Angelico,
Andrea Mantegna,andrea-mantegna,c.1431,"September 13, 1506","Isola di Carturo, Italy","Mantu, Italy",Italian,Early Renaissance|High Renaissance,,painting|fresco|engraving,,Albrecht Durer|Hans Holbein the Younger,https://en.wikipedia.org/wiki/Andrea_Mantegna,Venetian School,,,Giovanni Bellini|Jacopo Bellini|Gentile Bellini,,,
Giovanni Bellini,giovanni-bellini,c.1430,1516,"Venice, Italy","Venice, Italy",Italian,High Renaissance,,painting,,Antonello da Messina|Bartolomeo Veneto|Mikhail Vrubel|Palma Vecchio|Albrecht Durer|Venetian School,https://en.wikipedia.org/wiki/Giovanni_Bellini,Venetian School,,Albrecht Durer,Jacopo Bellini|Andrea Mantegna|Gentile Bellini,Giorgione|Titian|Sebastiano del Piombo,,
Desiderio da Settignano,desiderio-da-settignano,c.1430,1464,,,Italian,Early Renaissance,sculpture,sculpture,Donatello,,https://en.wikipedia.org/wiki/Desiderio_da_Settignano,,,,,,,
Antonello da Messina,antonello-da-messina,c.1430,"February, 1479","Messina, Italy","Messina, Italy",Italian,Early Renaissance,,painting,Rogier van der Weyden|Jan van Eyck|Piero della Francesca|Giovanni Bellini,Bartolomeo Veneto,https://en.wikipedia.org/wiki/Antonello_da_Messina,Venetian School,,,,,,
Carlo Crivelli,carlo-crivelli,c.1435,c.1495,"Venice, Italy","Marche, Italy",Italian,Early Renaissance,religious painting,painting,,,https://en.wikipedia.org/wiki/Carlo_Crivelli,Venetian School,,,,,,
Francesco del Cossa,francesco-del-cossa,c.1430,c.1477,"Ferrara, Italy",,Italian,Early Renaissance,religious painting,painting|fresco,,,https://en.wikipedia.org/wiki/Francesco_del_Cossa,Ferrara School,,,,,,
Antonio del Pollaiolo,antonio-del-pollaiolo,"January 17, 1429","February 4, 1498","Florence, Italy","Rome, Italy",Italian,Early Renaissance|High Renaissance,figurative|portrait,sculpture|painting|engraving,,,https://en.wikipedia.org/wiki/Antonio_del_Pollaiolo,,,,Andrea del Castagno,Sandro Botticelli,Andrea del Castagno|Lorenzo Ghiberti,
Gentile Bellini,gentile-bellini,c.1429,"February 23, 1507","Venice, Italy","Venice, Italy",Italian,High Renaissance|Early Renaissance,,painting,,,https://en.wikipedia.org/wiki/Gentile_Bellini,Venetian School,,,Giovanni Bellini|Jacopo Bellini|Andrea Mantegna,Titian,,
Antoniazzo Romano,antoniazzo-romano,c.1430,c.1510,"Rome, Italy","Rome, Italy",Italian,Early Renaissance,religious painting,painting,Benozzo Gozzoli|Fra Angelico,,https://en.wikipedia.org/wiki/Antoniazzo_Romano,,,Pietro Perugino|Domenico Ghirlandaio,,,,
Sandro Botticelli,sandro-botticelli,c.1445,"May 17, 1510",,,Italian,Early Renaissance,,painting,Masaccio,Walter Crane|Evelyn De Morgan|Dmitri Zhilinsky,https://en.wikipedia.org/wiki/Sandro_Botticelli,Florentine School,,Leonardo da Vinci|Pietro Perugino|Domenico Ghirlandaio|Filippino Lippi,,Filippino Lippi,Filippo Lippi|Antonio del Pollaiolo,
Pietro Perugino,pietro-perugino,1446,1524,"Città della Pieve, Umbria, Italy","Fontignano, Umbria, Italy",Italian,High Renaissance,,painting|fresco,,Mariotto Albertinelli,https://en.wikipedia.org/wiki/Pietro_Perugino,Umbrian school,,Leonardo da Vinci|Sandro Botticelli|Filippino Lippi|Antoniazzo Romano,,Raphael,Andrea del Verrocchio,
Domenico Ghirlandaio,domenico-ghirlandaio,1449,"January 11, 1494","Florence, Italy","Florence, Italy",Italian,Early Renaissance,,painting,Hugo van der Goes,,https://en.wikipedia.org/wiki/Domenico_Ghirlandaio,Florentine School,,Leonardo da Vinci|Sandro Botticelli|Filippino Lippi|Antoniazzo Romano,,Michelangelo,Andrea del Verrocchio,
Pinturicchio,pinturicchio,1454,1513,"Perugia, Umbria, Italy","Siena, Toscana, Italy",Italian,High Renaissance,,painting|fresco,,Il Sodoma,https://en.wikipedia.org/wiki/Pinturicchio,Umbrian school,,,,,,
Francesco Botticini,francesco-botticini,1446,"January 16, 1498","Florence, Italy",Italy,,Early Renaissance,religious painting,painting|drawing,,,https://en.wikipedia.org/wiki/Francesco_Botticini,,,,,,,
Leonardo da Vinci,leonardo-da-vinci,"April 15, 1452","May 2, 1519",Italy,"Amboise, France",Italian,High Renaissance,,painting|sculpture|architecture,Piero della Francesca|Masaccio|Filippo Lippi|Hugo van der Goes,Bartolomeo Veneto|Mariotto Albertinelli|Charles de Steuben|Francesco Melzi|Ambrogio Bergognone,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,,,Albrecht Durer|Sandro Botticelli|Domenico Ghirlandaio|Pietro Perugino|Bernardino Luini,,Giovanni Antonio Boltraffio|Francesco Melzi,Andrea del Verrocchio,
Luca Signorelli,luca-signorelli,c.1445,"October 16, 1523","Cortona, Italy","Cortona, Italy",Italian,High Renaissance,religious painting,painting|fresco,,Raphael,https://en.wikipedia.org/wiki/Luca_Signorelli,Tuscan school,,Il Sodoma,,,,
Piero di Cosimo,piero-di-cosimo,"January 2, 1462","April 12, 1522","Florence, Italy","Florence, Italy",Italian,High Renaissance,portrait,painting|fresco,,Mariotto Albertinelli,https://en.wikipedia.org/wiki/Piero_di_Cosimo,Florentine School,,,,,,
Nuno Gonçalves,nuno-goncalves,c.1420,1491,Portugal,Portugal,Portuguese,Early Renaissance,religious painting|portrait,painting,,,https://en.wikipedia.org/wiki/Nuno_Gon%C3%A7alves,,,,,,,
Filippino Lippi,filippino-lippi,"April 15, 1457","April 18, 1504","Florence, Italy","Florence, Italy",Italian,Early Renaissance|High Renaissance,religious painting,painting,,,https://en.wikipedia.org/wiki/Filippino_Lippi,,,Sandro Botticelli|Domenico Ghirlandaio|Pietro Perugino,Filippo Lippi,,Filippo Lippi|Sandro Botticelli,
Ambrogio Bergognone,ambrogio-bergognone,c.1453,1523,"Fossano, Italy","Milan, Italy",Italian,High Renaissance|Early Renaissance,,painting,Leonardo da Vinci,,,Lombard School,,,,Bernardino Luini,,
Michelangelo,michelangelo,"March 6, 1475","February 18, 1564","Arezzo, Caprese, Italy","Rome, Italy",Italian,High Renaissance,sculpture,painting|sculpture|architecture,Giotto|Masaccio,Auguste Rodin|Henry Moore|Jose Clemente Orozco|Raphael|Daniele da Volterra|Maarten de Vos,https://en.wikipedia.org/wiki/Michelangelo,Florentine School,,Sebastiano del Piombo,,,Domenico Ghirlandaio,
Maria Blanchard,maria-blanchard,"March 6, 1881",5-Apr-32,"Santander, Spain",France,Spanish|French,Cubism,,painting,Jacques Lipchitz|Juan Gris,,https://en.wikipedia.org/wiki/Mar%C3%ADa_Blanchard,École de Paris|Section d'Or (Puteaux Group),,,,,Kees van Dongen,"Real Academia de Bellas Artes de San Fernando, Madrid, Spain"
Konstantin Somov,konstantin-somov,"November 30, 1869",6-May-39,,,Russian,Symbolism|Art Nouveau,,painting|illustration,,Vsevolod Maksymovych,https://en.wikipedia.org/wiki/Konstantin_Somov,Mir Iskusstva (World of Art),,,,,,"Académie Colarossi, Paris, France"
Donato Bramante,donato-bramante,1444,"April 11, 1514","Urbania, Italy","Rome, Italy",Italian,High Renaissance,architecture,architecture,,,https://en.wikipedia.org/wiki/Donato_Bramante,,,,,,,
Vittore Carpaccio,vittore-carpaccio,c.1465,c.1526,"Venice , Italy","Capodistria, Slovenia",Italian,High Renaissance,,painting,,,https://en.wikipedia.org/wiki/Vittore_Carpaccio,Venetian School,,,,,,
Giovanni Antonio Boltraffio,giovanni-antonio-boltraffio,c.1466,1516,"Milan, Italy",Italy,Italian,High Renaissance,,painting,,,https://en.wikipedia.org/wiki/Giovanni_Antonio_Boltraffio,Lombard School,,Bernardino Luini|Francesco Melzi,,,Leonardo da Vinci,
Cima da Conegliano,cima-da-conegliano,c.1459,c.1517,"Conegliano, Italy","Conegliano, Italy",Italian,High Renaissance,,painting,,,https://en.wikipedia.org/wiki/Cima_da_Conegliano,Venetian School,,,,,,
Andrea Solario,andrea-solario,1460,1524,"Milan, Italy","Milan, Italy",Italian,High Renaissance,,painting,,,https://en.wikipedia.org/wiki/Andrea_Solari,Milanese school,,,,,,
Fra Bartolomeo,fra-bartolomeo,"March 28, 1472","October 31, 1517",Italy,,Italian,High Renaissance,religious painting,painting,Domenico Ghirlandaio|Filippo Lippi|Piero di Cosimo,,https://en.wikipedia.org/wiki/Fra_Bartolomeo,Florentine School,,Mariotto Albertinelli,,,,
Raphael,raphael,1483,1520,"Urbino, Italy","Rome, Italy",Italian,High Renaissance,,painting|architecture,Albrecht Durer|Paolo Uccello|Luca Signorelli|Michelangelo|Hans Memling,Giorgio de Chirico|Annibale Carracci|Jacopo Bassano|Paul Gauguin|Francisco Pacheco|Titian,https://en.wikipedia.org/wiki/Raphael,Umbrian school,,Albrecht Durer|Sebastiano del Piombo,,Giulio Romano,Pietro Perugino,
Giorgione,giorgione,c.1478,1510,"Castelfranco Veneto, Italy","Venice, Italy",Italian,High Renaissance,,painting,,Titian|Lorenzo Lotto|Caravaggio|Palma Vecchio|Dmitri Zhilinsky|Venetian School,https://en.wikipedia.org/wiki/Giorgione,Venetian School,,Titian,,Sebastiano del Piombo,Giovanni Bellini,
Titian,titian,c.1488,"August 27, 1576","Pieve di Cadore, Italy","Venice, Italy",Italian,High Renaissance|Mannerism (Late Renaissance),,painting,Albrecht Durer|Giorgione|Raphael|Michelangelo,Jacopo Bassano|Peter Paul Rubens|Diego Velazquez|Caravaggio|Rembrandt|Nicolas Poussin,https://en.wikipedia.org/wiki/Titian,Venetian School,,Giorgione|Lorenzo Lotto,,El Greco|Annibale Carracci|Tintoretto,Giovanni Bellini|Gentile Bellini,
Lorenzo Lotto,lorenzo-lotto,c.1480,1556,"Venice, Italy","Loreto, Italy",Italian,High Renaissance,,painting,Giorgione,,https://en.wikipedia.org/wiki/Lorenzo_Lotto,Venetian School,,Titian,,,,
Il Sodoma,il-sodoma,1477,"February 14, 1549","Vercelli, Italy","Siena, Italy",Italian,High Renaissance,,painting,Pinturicchio,,https://en.wikipedia.org/wiki/Il_Sodoma,Sienese School,,Luca Signorelli,,,,
Bartolomeo Veneto,bartolomeo-veneto,c.1480,c.1530,"Possagno, Republic of Venice, Italy","Turin, Italy",Italian,High Renaissance,portrait,painting,Giovanni Bellini|Antonello da Messina|Albrecht Durer|Leonardo da Vinci|Northern Renaissance,,https://en.wikipedia.org/wiki/Bartolomeo_Veneto,,,,,,,
Sebastiano del Piombo,sebastiano-del-piombo,c.1485,"June 21, 1547","Venice, Italy","Rome, Italy",Italian,High Renaissance|Mannerism (Late Renaissance),,painting,,,,Venetian School,,Raphael|Michelangelo,,,Giovanni Bellini|Giorgione,
Mariotto Albertinelli,mariotto-albertinelli,"October 13, 1474","November 5, 1515","Florence, Italy",,Italian,High Renaissance,,painting,Pietro Perugino|Piero di Cosimo|Hans Memling|Leonardo da Vinci,,https://en.wikipedia.org/wiki/Mariotto_Albertinelli,Florentine School,,Fra Bartolomeo,,Jacopo Pontormo,,
Andrea del Sarto,andrea-del-sarto,1486,1530,"Florence, Italy","Florence, Italy",Italian,High Renaissance|Mannerism (Late Renaissance),,painting,,Annibale Carracci,https://en.wikipedia.org/wiki/Andrea_del_Sarto,Florentine School,,,,"Francesco de' Rossi (Francesco Salviati), ""Cecchino""",,
Dosso Dossi,dosso-dossi,c.1490,1542,"Mantua, Italy","Ferrara, Italy",Italian,High Renaissance,,painting,,,https://en.wikipedia.org/wiki/Dosso_Dossi,Ferrara School,,,,,,
