url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/zinaida-serebriakova/reclining-nude-1935,1935,,1935,https://uploads1.wikiart.org/images/zinaida-serebriakova/reclining-nude-1935.jpg,Art Deco,nude painting (nu),female-nude|Blond,,,,,
https://www.wikiart.org/en/john-everett-millais/my-beautiful-lady-1848,1848,,1848,https://uploads0.wikiart.org/images/john-everett-millais/my-beautiful-lady.jpg!Large.jpg,Romanticism,sketch and study,group-portraits|Sketch|Figure drawing,,"Birmingham Museum and Art Gallery, Birmingham, UK",,,
https://www.wikiart.org/en/william-blake/the-butts-set-1808,1808,,1808,https://uploads3.wikiart.org/images/william-blake/the-butts-set-1808.jpg!Large.jpg,Symbolism,illustration,"fictional-characters|John-Milton-""Paradise-Lost""|Mythology|Relief|Fictional character|Organism",watercolor|pen,,,Illustrations to John Milton - Paradise Lost,
https://www.wikiart.org/en/alphonse-mucha/france-embraces-bohemia,1918,,1918,https://uploads0.wikiart.org/images/alphonse-mucha/france-embraces-bohemia.jpg!Large.jpg,Art Nouveau (Modern),allegorical painting,female-nude|couples|Human|Religious item,oil|canvas,"Mucha Museum, Prague, Czech Republic",,,
https://www.wikiart.org/en/cuno-amiet/bouquet-of-tulips-1960,1960,,1960,https://uploads3.wikiart.org/images/cuno-amiet/bouquet-of-tulips-1960.jpg,Post-Impressionism,flower painting,Flower|Majorelle blue|Plant|Tulip,,,,,
https://www.wikiart.org/en/robert-irwin/untitled-1965,1965,,1965,https://uploads5.wikiart.org/images/robert-irwin/untitled-1965.jpg,Light and Space,installation,Rectangle,,,,,
https://www.wikiart.org/en/elena-bontea/artist-portrait-1980,1980,,1980,https://uploads5.wikiart.org/00251/images/elena-bontea/005.jpg,Expressionism,portrait,,,,,,
https://www.wikiart.org/en/john-singer-sargent/lake-in-the-tyrol,1913,,1913,https://uploads8.wikiart.org/images/john-singer-sargent/lake-in-the-tyrol.jpg!Large.jpg,Impressionism,landscape,lakes-and-ponds|forests-and-trees|mountains|Natural landscape|Bank|Water|Sky,watercolor,Private Collection,,,
https://www.wikiart.org/en/alfred-wallis/headland-with-two-three-masters-1938,1938,,1938,https://uploads3.wikiart.org/images/alfred-wallis/headland-with-two-three-masters-1938.jpg!Large.jpg,Naïve Art (Primitivism),marina,Vehicle|Boat|Sailing ship|Barquentine|Mast|Clipper|Watercraft|East indiaman|Schooner|Tall ship,,,,,
https://www.wikiart.org/en/rochelle-blumenfeld/cycle-2014,2014,"Pittsburgh, Pennsylvania","2014; Pittsburgh, Pennsylvania, United States|Pittsburgh, Pennsylvania|2014",https://uploads4.wikiart.org/00166/images/rochelle-blumenfeld/cycle-48x60.jpg!Large.jpg,Post-Painterly Abstraction,abstract,,acrylic,,,,
https://www.wikiart.org/en/jean-bertholle/les-sylphes-1958,1958,,1958,https://uploads1.wikiart.org/images/jean-bertholle/les-sylphes-1958.jpg,Tachisme,abstract,Tree,,,,,
https://www.wikiart.org/en/theo-van-rysselberghe/summer-afternoon-tea-in-the-garden-1901,1901,,1901,https://uploads5.wikiart.org/images/theo-van-rysselberghe/summer-afternoon-tea-in-the-garden-1901.jpg!Large.jpg,Pointillism|Neo-Impressionism,genre painting,mealtimes,,,,,
https://www.wikiart.org/en/franz-stuck/the-murderer,,,,https://uploads3.wikiart.org/images/franz-stuck/the-murderer.jpg,Symbolism,symbolic painting,female-nude|murder-and-suicide|crimes,,,,,
https://www.wikiart.org/en/beatrix-potter/simpkin-housekeeping-1902,1902,,1902,https://uploads2.wikiart.org/images/beatrix-potter/simpkin-housekeeping-1902.jpg!Large.jpg,Art Nouveau (Modern),illustration,Cat,,,,Illustrations for 'The Tailor of Gloucester',
https://www.wikiart.org/en/claude-monet/wharf-of-louvre-paris-1867,1867,,1867,https://uploads1.wikiart.org/images/claude-monet/wharf-of-louvre-paris-1867.jpg!Large.jpg,Impressionism,cityscape,City|Public space|Town|Plaza|Human settlement|Town square|Tourism,oil|canvas,"Gemeentemuseum den Haag, Hague, Netherlands",,,
https://www.wikiart.org/en/vasily-surikov/study-to-boyarynya-morozova,,,,https://uploads4.wikiart.org/images/vasily-surikov/study-to-boyarynya-morozova.jpg!Large.jpg,Realism,sketch and study,famous-people|prisons-and-prisoners|Sketch,,,,Boyarynya Morozova,
https://www.wikiart.org/en/alfred-sisley/the-loing-flowing-under-the-moret-bridge-1892,1892,,1892,https://uploads3.wikiart.org/images/alfred-sisley/the-loing-flowing-under-the-moret-bridge-1892.jpg!Large.jpg,Impressionism,cityscape,houses-and-buildings|boats-and-ships|Waterway|Bank|River|Canal,oil|canvas,Private Collection,,,
