url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Theme,Period
https://www.wikiart.org/en/utagawa-kunisada/not_detected_240336,1835,,Ukiyo-e,https://uploads6.wikiart.org/images/utagawa-kunisada/not_detected_240336.jpg,nude painting (nu),female-nude|couples|male-nude|Textile,1835,,,,,
https://www.wikiart.org/en/maxime-lalanne/vue-g-n-rale-de-la-raill-re-le-pr-le-petit-st-sauveur-et-le-bain,,,Realism,https://uploads4.wikiart.org/images/maxime-lalanne/vue-g-n-rale-de-la-raill-re-le-pr-le-petit-st-sauveur-et-le-bain.jpg,landscape,Mountainous landforms|Mountain|Mountain range|Highland|Slope|Geology|Terrain,,,,,,
https://www.wikiart.org/en/yasuo-kuniyoshi/girl-thinking-1935,1935,,Expressionism,https://uploads4.wikiart.org/images/yasuo-kuniyoshi/girl-thinking-1935.jpg,nude painting (nu),Lady,1935,,,,,
https://www.wikiart.org/en/pierre-auguste-renoir/still-life-with-glass-and-lemon,,,Impressionism,https://uploads6.wikiart.org/images/pierre-auguste-renoir/still-life-with-glass-and-lemon.jpg!Large.jpg,still life,Still life photography,,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/maxim-vorobiev/bosphorus-1829,1829,,Romanticism,https://uploads0.wikiart.org/images/maxim-vorobiev/bosphorus-1829.jpg!Large.jpg,landscape,group-portraits|boats-and-ships|seas-and-oceans|forests-and-trees|Nature|Natural landscape|Sky|Tree|Atmospheric phenomenon|Water|morning|Bank|Atmosphere,1829,,,,,
https://www.wikiart.org/en/theodore-rousseau/not_detected_198947,1830,,Realism,https://uploads8.wikiart.org/images/theodore-rousseau/not_detected_198947.jpg!Large.jpg,landscape,mountains|Auvergne|Sky|Mountain|Hill|Rock,1830; France|1830,oil|paper,,,,
https://www.wikiart.org/en/john-frederick-lewis/study-of-a-neapolitan-girl,,,Romanticism,https://uploads7.wikiart.org/00298/images/john-frederick-lewis/study-of-a-neapolitan-girl-john-frederick-lewis.jpg,sketch and study|genre painting,Dress|costume design|Peach,,,,,,
https://www.wikiart.org/en/theodor-severin-kittelsen/fra-lofoten,,,Realism,https://uploads8.wikiart.org/images/theodor-severin-kittelsen/fra-lofoten.jpg!Large.jpg,landscape,Mountain|Stock photography,,,,,,
https://www.wikiart.org/en/karl-blossfeldt/art-forms-in-nature-102-1928,1928,,Documentary photography,https://uploads8.wikiart.org/00327/images/karl-blossfeldt/blossfeldt-karl-blossfeldt-archiv-de-bildmat1-102-2.jpg,photo,,1928,photography,,Urformen der Kunst (Art Forms in Nature),,
https://www.wikiart.org/en/hermann-david-salomon-corrodi/wasserholerinnen-bei-gizeh-1905,1905,,Academicism|Orientalism,https://uploads8.wikiart.org/00154/images/hermann-david-salomon-corrodi/hermann-corrodi-wasserholerinnen-bei-gizeh.jpg!Large.jpg,genre painting,,1905,,,,,
https://www.wikiart.org/en/arkady-rylov/landscape-with-a-river,,,Symbolism,https://uploads4.wikiart.org/00307/images/arkady-rylov/5f6c3594edc2c9b6b0ea6c83.jpg!Large.jpg,landscape,Natural landscape|Nature|Wilderness|Bank|Sky,,,,,,
https://www.wikiart.org/en/konstantin-makovsky/boyaryshnya-9,1900,,Romanticism,https://uploads4.wikiart.org/images/konstantin-makovsky/boyaryshnya-9.jpg!Large.jpg,portrait,female-portraits|Hair|Lady|Headpiece|Beauty|Headgear,1900,,,,,
https://www.wikiart.org/en/george-bouzianis/houses-1945-1,1945,,Expressionism,https://uploads1.wikiart.org/images/george-bousianis/houses-1945-1.jpg!Large.jpg,cityscape,Ruins,1945,oil|canvas,"National Art Gallery (Alexandros Soutzos Museum), Athens, Greece",,,
https://www.wikiart.org/en/pierre-auguste-renoir/the-hills-of-cagnes,,,Impressionism,https://uploads3.wikiart.org/images/pierre-auguste-renoir/the-hills-of-cagnes.jpg!Large.jpg,landscape,,,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/henri-pierre-picou/good-adventure-1872,1872,,Academicism,https://uploads1.wikiart.org/00339/images/henri-pierre-picou/picou-henri-pierre-la-bonne-aventure-19th-century.jpg,nude painting (nu),,1872,oil,,,,
https://www.wikiart.org/en/edward-hicks/penn-s-treaty-1835,1835,,Naïve Art (Primitivism),https://uploads2.wikiart.org/images/edward-hicks/penn-s-treaty-1835.jpg!Large.jpg,religious painting,pilgrims,1835,,,,,
https://www.wikiart.org/en/pablo-picasso/friendship-1908,1908,,Analytical Cubism,https://uploads0.wikiart.org/images/pablo-picasso/friendship-1908.jpg!Large.jpg,genre painting,male-nude|walking,1908,,"Hermitage Museum, Saint Petersburg, Russia",,,African Period
