url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme
https://www.wikiart.org/en/henri-matisse/portrait-of-andre-derain-1905,1905,,1905,https://uploads5.wikiart.org/images/henri-matisse/portrait-of-andre-derain-1905.jpg!Large.jpg,Fauvism,portrait,oil|canvas,"Tate Modern, London, UK",Head|male-portraits,,,
https://www.wikiart.org/en/jean-le-moal/le-buisson-ardent-1981,1981,,1981,https://uploads6.wikiart.org/images/jean-le-moal/le-buisson-ardent-1981.jpg!Large.jpg,Art Informel,abstract,,,Textile,,,
https://www.wikiart.org/en/edgar-degas/woman-drying-her-hair,1898,,1898,https://uploads4.wikiart.org/images/edgar-degas/woman-drying-her-hair.jpg!Large.jpg,Impressionism,nude painting (nu),pastel,"Brooklyn Museum, New York City, NY, US",Figure drawing|female-nude|bathing-and-swimming,,,
https://www.wikiart.org/en/jean-francois-millet/narcissi-and-violets,1867,,1867,https://uploads3.wikiart.org/images/jean-francois-millet/narcissi-and-violets.jpg!Large.jpg,Realism,genre painting,paper|pastel,"Kunsthalle Hamburg, Hamburg, Germany",flowers-and-plants|Flower|Plant|Botany|Narcissus,,,
https://www.wikiart.org/en/alberto-giacometti/cage,1931,,1931,https://uploads3.wikiart.org/images/alberto-giacometti/cage.jpg!Large.jpg,Surrealism,sculpture,,"Moderna Museet, Stockholm, Sweden",Shelf|Furniture,,,
https://www.wikiart.org/en/dmytro-kavsan/am-i-susanna,,,,https://uploads5.wikiart.org/00227/images/dmytro-kavsan/am-i-susanna-1.jpg,Art Brut|Transavantgarde,religious painting|figurative,,,,,,
https://www.wikiart.org/en/joan-brull/jove-amb-llac-rosa-1895,1895,,1895,https://uploads1.wikiart.org/00313/images/joan-brull/jove-amb-lla-rosa-joan-brull-i-vinyoles-1863-1912.jpg!Large.jpg,Art Nouveau (Modern)|Symbolism,portrait,,,Hair|Face|Chin|Lip,,,
https://www.wikiart.org/en/vasiliy-ryabchenko/geroicheskiy-pupsik-1989,1989,Odessa,"1988 - 1989; Odessa, Ukraine|Odessa|1989",https://uploads1.wikiart.org/00159/images/vasiliy-sergeevich-ryabchenko/vasiliy-ryabchenko-heroic-baby-64-50-cm-paper-pastel-1988-1989.jpg!Large.jpg,Neo-Expressionism|Transavantgarde,figurative,paper|pastel,,Sketch,Heroic babies,,
https://www.wikiart.org/en/kees-van-dongen/tangier-morocco-1911,1911,,1911,https://uploads6.wikiart.org/images/kees-van-dongen/tangier-morocco-1911.jpg,Post-Impressionism|Orientalism,genre painting,,,Arch,,,
https://www.wikiart.org/en/frank-eugene/master-frank-jefferson-1910,1910,,1910,https://uploads1.wikiart.org/images/frank-eugene/master-frank-jefferson-1910.jpg,Pictorialism,photo,,,Photograph,,,
https://www.wikiart.org/en/henri-matisse/landscape-nice-1919,1919,,1919,https://uploads2.wikiart.org/00132/images/henri-matisse/landscape-nice-1919.jpg,Fauvism,landscape,,,Tree|spring|Meadow|Plant,,,
https://www.wikiart.org/en/konstantin-korovin/winter-sun-1919,1919,,1919,https://uploads5.wikiart.org/images/konstantin-korovin/winter-sun-1919.jpg!Large.jpg,Impressionism,genre painting,,,furniture-and-decoration|domestic-settings,,,
https://www.wikiart.org/en/hugo-muhlig/fishermen-with-their-boats,,,,https://uploads6.wikiart.org/00330/images/hugo-muhlig/m-hling-fischer-bei-ihren-booten-albert-k-nig-museum20160904.jpg!Large.jpg,Impressionism,genre painting,oil,,,,,
https://www.wikiart.org/en/auguste-rodin/mme-vicuna-1884,1884,,1884; France|1884,https://uploads0.wikiart.org/images/auguste-rodin/mme-vicuna-1884.jpg!Large.jpg,Impressionism,sculpture,marble,"Musée Rodin, Paris, France",female-portraits|Classical sculpture|Lady|Beauty|Stone carving|Statue|Figurine|Nonbuilding structure|Museum,,,
https://www.wikiart.org/en/nina-tokhtaman-valetova/mysterious-garden-2019,2019,"New York City, New York","New York City, New York|2019; New York City, New York, United States|2019",https://uploads6.wikiart.org/00266/images/nina-tokhtaman-valetova/red-flower-m-ysterious-garden-oil-on-canvas-2019-24-x-30-inches.JPG!Large.JPG,Magic Realism,figurative,oil,Private Collection,,,,
https://www.wikiart.org/en/otto-gustav-carlsund/bach-fuga-i-gr-tt,,,,https://uploads8.wikiart.org/images/otto-gustav-carlsund/bach-fuga-i-gr-tt.jpg,Concretism,abstract,,,Pattern|Font|Beige,,,
https://www.wikiart.org/en/raphael-kirchner/ice-flowers-1899,1899,,1899,https://uploads3.wikiart.org/images/raphael-kirchner/ice-flowers-1899.jpg,Art Nouveau (Modern),genre painting,,,female-portraits|Games,Ice Flowers,,
https://www.wikiart.org/en/max-pechstein/hafen-1911,1911,,1911,https://uploads3.wikiart.org/images/max-pechstein/hafen-1911.jpg,Post-Impressionism,marina,,,Boat|Vehicle|Watercraft|Waterway|Harbor,,,
https://www.wikiart.org/en/theophile-steinlen/study-of-cats,,,,https://uploads2.wikiart.org/images/theophile-steinlen/study-of-cats.jpg,Realism,sketch and study,,,Sketch,,,
https://www.wikiart.org/en/willard-metcalf/autum-glory,,,,https://uploads7.wikiart.org/images/willard-metcalf/autum-glory.jpg!Large.jpg,Impressionism,landscape,,Private Collection,autumn|forests-and-trees|Tree|Nature|Natural landscape|Wilderness|Leaf|Mountain|Sky|Northern hardwood forest|Biome,,,
https://www.wikiart.org/en/ivan-shishkin/forest-1869-2,1869,,1869,https://uploads7.wikiart.org/images/ivan-shishkin/forest-1869-2.jpg!Large.jpg,Realism,landscape,,,rivers-and-waterfalls|hunting-and-racing|forests-and-trees|Tree|Horse|Woody plant|monochrome,,,
https://www.wikiart.org/en/alexandre-benois/death-of-the-countess-1910-1,1910,,1910,https://uploads3.wikiart.org/images/alexandre-benois/death-of-the-countess(1).jpg!Large.jpg,Art Nouveau (Modern),illustration,watercolor|pastel|paper|leadpoint|gouache,,"Pushkin-""Queen-of-Spades""|birth-and-death","Pushkin ""Queen of Spades""",,
https://www.wikiart.org/en/khimich-yuriy-ivanovich/kiyivska-lavra-lito-1990,1990,,1990|1990; Ukraine,https://uploads2.wikiart.org/00200/images/khimich-yuriy-ivanovich/picture-414.jpg!Large.jpg,Post-Impressionism,cityscape,gouache,,Tree|Pattern,,,
https://www.wikiart.org/en/william-turner/mountain-stream-coniston,1797,,1797,https://uploads1.wikiart.org/images/william-turner/mountain-stream-coniston.jpg!Large.jpg,Romanticism,landscape,pencil|watercolor|paper,Private Collection,mountains|Sky,,,
https://www.wikiart.org/en/eugene-boudin/deauville-beach-scene-1890,1890,,1890; France|1890,https://uploads2.wikiart.org/images/eugene-boudin/deauville-beach-scene-1890.jpg!Large.jpg,Impressionism,genre painting,oil,Private Collection,leisure-and-sleep,,,
https://www.wikiart.org/en/marcel-duchamp/transition-of-virgin-into-a-bride-1912,1912,,1912,https://uploads6.wikiart.org/images/marcel-duchamp/transition-of-virgin-into-a-bride-1912.jpg!Large.jpg,Cubism,figurative,oil|canvas,"Museum of Modern Art (MoMA), New York City, NY, US",allegories-and-symbols,,,
https://www.wikiart.org/en/vincent-van-gogh/enclosed-field-with-a-sower-in-the-rain-1889,1889,Saint-rémy-de-provence,"1889|1889; Saint-rémy-de-provence, France|Saint-rémy-de-provence",https://uploads8.wikiart.org/images/vincent-van-gogh/enclosed-field-with-a-sower-in-the-rain-1889(1).jpg!Large.jpg,Post-Impressionism,landscape,,,spring|rain-and-fog|fields-and-plains|handwork|Sketch|Tree,,,
https://www.wikiart.org/en/vasily-sadovnikov/rumyantsev-monument-in-st-petersburg,,,,https://uploads7.wikiart.org/images/vasily-sadovnikov/rumyantsev-monument-in-st-petersburg.jpg!Large.jpg,Realism,cityscape,,,St.-Petersburg|Vehicle,,,
https://www.wikiart.org/en/robert-grosvenor/untitled-1967,1967,,1967,https://uploads0.wikiart.org/images/robert-grosvenor/untitled-1967.jpg,Minimalism,sculpture,,,Floor|Ceiling|Line|Room,,,
https://www.wikiart.org/en/anita-malfatti/o-farol-1915,1915,,1915,https://uploads7.wikiart.org/images/anita-malfatti/o-farol-1915.jpg!Large.jpg,Expressionism,landscape,,,Tower|Lighthouse,,,
https://www.wikiart.org/en/william-shayer/fisherwomen,,,,https://uploads5.wikiart.org/images/william-shayer/fisherwomen.jpg,Romanticism,portrait,,,,,,
