url,Create Date,Create Location,Date,image_url,Style,Genre,tags
https://www.wikiart.org/en/louise-bourgeois/the-reticent-child-figurines-and-mirror-2003,2003,,2003; United States|2003,https://uploads4.wikiart.org/images/louise-bourgeois/the-reticent-child-figurines-and-mirror-2003.jpg,Confessional Art,installation,allegories-and-symbols|children
https://www.wikiart.org/en/andrew-wyeth/weatherside,,,,https://uploads4.wikiart.org/images/andrew-wyeth/weatherside.jpg!Large.jpg,Contemporary Realism,landscape,houses-and-buildings
https://www.wikiart.org/en/eugene-leroy/christ-1960,1960,,1960,https://uploads3.wikiart.org/images/eugene-leroy/christ-1960.jpg,Art Informel,religious painting,Tree
