url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/carlos-alonso/l-e-s-1967,1967,,https://uploads4.wikiart.org/images/carlos-alonso/l-e-s-1967.jpg!Large.jpg,1967,New Realism|Expressionism,portrait,,,,,,
https://www.wikiart.org/en/wilhelm-kotarbinski/delirium,,,https://uploads7.wikiart.org/images/wilhelm-kotarbinski/delirium.jpg,,Art Nouveau (Modern),genre painting,disease-and-treatment|dreams-and-hallucinations|Organism,,,,,
https://www.wikiart.org/en/judy-chicago/morning-fan-1971,1971,,https://uploads8.wikiart.org/images/judy-chicago/morning-fan-1971.jpg,1971,Minimalism,abstract,Colorfulness|Line|Tints and shades,,,,,
https://www.wikiart.org/en/pablo-picasso/woman-with-hat-1962-1,1962,,https://uploads5.wikiart.org/images/pablo-picasso/woman-with-hat-1962-1.jpg,1962,Surrealism,portrait,female-portraits,canvas|oil,,Later Years,,
https://www.wikiart.org/en/oleg-holosiy/thoughts-through-the-hat-1991,1991,,https://uploads6.wikiart.org/00320/images/oleg-holosiy/1991-6.jpg!Large.jpg,1991,Transavantgarde,figurative,,,,,,
https://www.wikiart.org/en/albert-anker/the-little-potato-peeler-1886,1886,,https://uploads3.wikiart.org/images/albert-anker/the-little-potato-peeler-1886.jpg,1886,Realism,genre painting,Lady,,,,,
https://www.wikiart.org/en/ivan-aivazovsky/mountain-village-gunib-in-daghestan-view-from-the-east-1869,1869,,https://uploads1.wikiart.org/images/ivan-aivazovsky/mountain-village-gunib-in-daghestan-view-from-the-east-1869.jpg!Large.jpg,1869,Romanticism,landscape,mountains|Mountainous landforms|Mountain|Badlands|Mountain range|Sky,canvas|oil,,,,
https://www.wikiart.org/en/maximilien-luce/boulevard-at-night-1893,1893,,https://uploads8.wikiart.org/00328/images/maximilien-luce/paris-boulevard-at-night-by-maximilien-luce-c-1893.JPG!Large.JPG,1893,Neo-Impressionism,genre painting,,,,,,
https://www.wikiart.org/en/mostafa-dashti/untitled-1989-2,1989,,https://uploads2.wikiart.org/images/mostafa-dashti/untitled-1989(2).jpg!Large.jpg,1989,Contemporary Realism,cityscape,Sky|Road|Darkness|Street|Infrastructure,,,,,
https://www.wikiart.org/en/theophile-steinlen/nude-1902,1902,,https://uploads7.wikiart.org/images/theophile-steinlen/nude-1902.jpg,1902,Art Nouveau (Modern),nude painting (nu),Figure drawing|Male|Standing|Leg|Sketch|Human body|Barechested,,,,,
https://www.wikiart.org/en/fernando-botero/cat-on-a-roof,,,https://uploads0.wikiart.org/images/fernando-botero/cat-on-a-roof.jpg!Large.jpg,,Naïve Art (Primitivism),animal painting,animals|cats|Cat|Carnivore,,,,,
https://www.wikiart.org/en/kazuo-shiraga/untitled-blue-1969,1969,,https://uploads3.wikiart.org/images/kazuo-shiraga/untitled-blue-1969.jpg!Large.jpg,1969,Lyrical Abstraction,abstract,Sky|Line,,,,,
https://www.wikiart.org/en/andy-warhol/marylin-red,1967,,https://uploads2.wikiart.org/images/andy-warhol/marylin-red.jpg,1967,Pop Art,portrait,famous-people|female-portraits|Marilyn-Monroe|Head,,,,,
https://www.wikiart.org/en/koshiro-onchi/impression-of-a-violinist-portrait-of-suwa-nejiko-1947,1947,,https://uploads3.wikiart.org/images/koshiro-onchi/impression-of-a-violinist-portrait-of-suwa-nejiko-1947.jpg!Large.jpg,1947,Sōsaku hanga,genre painting,,,,,,
https://www.wikiart.org/en/john-singer-sargent/mrs-edward-darley-boit-1888,1888,,https://uploads0.wikiart.org/images/john-singer-sargent/mrs-edward-darley-boit-1888.jpg!Large.jpg,1888,Realism,portrait,famous-people|female-portraits|Lady,canvas|oil,,,,
https://www.wikiart.org/en/anna-ancher/sewing-fishermans-wife-1890,1890,,https://uploads8.wikiart.org/00142/images/anna-ancher/800px-syende-fiskerpige.jpeg!Large.jpeg,1890,Impressionism,genre painting,Sitting,canvas|oil,"Randers Museum of Art, Randers, Denmark",,,
https://www.wikiart.org/en/andrei-ryabushkin/dobrynya-nikitich-illustration-for-the-book-russian-epic-heroes,1895,,https://uploads7.wikiart.org/images/andrei-ryabushkin/dobrynya-nikitich-illustration-for-the-book-russian-epic-heroes.jpg!Large.jpg,1895,Romanticism,illustration,fictional-characters|Prophet,,,,,
