url,Create Date,Create Location,Date,image_url,Style,Series,Genre,tags,Media,Location,Theme,Period
https://www.wikiart.org/en/louise-bourgeois/when-my-cunt-stopped-living-2010,2010,,2010|2010; United States,https://uploads2.wikiart.org/images/louise-bourgeois/when-my-cunt-stopped-living-2010.jpg!Large.jpg,Confessional Art,,symbolic painting,allegories-and-symbols,,,,
https://www.wikiart.org/en/henri-fantin-latour/the-damnation-of-faust-the-appearance-of-marguerite,,,,https://uploads6.wikiart.org/images/henri-fantin-latour/the-damnation-of-faust-the-appearance-of-marguerite.jpg!Large.jpg,Symbolism,,illustration,Mythology|Lady|Faust|Marguerite,,,,
https://www.wikiart.org/en/augustus-john/flowers-in-a-jug-1950,1950,,1950,https://uploads6.wikiart.org/images/augustus-john/flowers-in-a-jug-1950.jpg!Large.jpg,Post-Impressionism,,flower painting,Still life photography|Flower|Vase|Pink|Plant|hydrangea|Hydrangeaceae,,,,
https://www.wikiart.org/en/roman-selsky/pillars-and-cloud-1970,1970,,1970,https://uploads3.wikiart.org/00125/images/roman-selsky/pillars-and-cloud-1970.jpg,Post-Impressionism,,landscape,Tree,,,,
https://www.wikiart.org/en/julio-galan/untitled,,,,https://uploads0.wikiart.org/images/julio-galan/untitled.jpg!Large.jpg,Neo-Expressionism|Surrealism,,portrait,Face|Head|Cheek|Lip|Forehead|Nose|Chin|Mouth,,,,
https://www.wikiart.org/en/charles-jacque/le-passage-d-un-obstacle,,,,https://uploads1.wikiart.org/images/charles-jacque/le-passage-d-un-obstacle.jpg!Large.jpg,Realism,,genre painting,Photograph,,,,
https://www.wikiart.org/en/harry-phelan-gibb/woods-1930,1930,,1930,https://uploads5.wikiart.org/00194/images/harry-phelan-gibb/woods-c1930.jpg!Large.jpg,Post-Impressionism,,landscape,,,,,
https://www.wikiart.org/en/lewis-carroll/untitled-20,,,,https://uploads4.wikiart.org/images/lewis-carroll/untitled-20.jpg,Pictorialism,,photo,Photograph,,,,
https://www.wikiart.org/en/fernand-leger/study-for-the-decoration-of-the-aviation-center-of-briey,,,,https://uploads5.wikiart.org/images/fernand-leger/study-for-the-decoration-of-the-aviation-center-of-briey.jpg!Large.jpg,Purism,,sketch and study,designs-and-sketches,,"Musee National Fernand Leger, Biot, France",,
https://www.wikiart.org/en/juan-gris/man-in-the-cafe-1912,1912,,1912,https://uploads1.wikiart.org/images/juan-gris/man-in-the-cafe-1912.jpg!Large.jpg,Analytical Cubism,,genre painting,,oil|canvas,"Philadelphia Museum of Art, Philadelphia, PA, US",,
https://www.wikiart.org/en/theo-van-rysselberghe/portrait-of-mr-camille-laurent-1884,1884,,1884,https://uploads0.wikiart.org/images/theo-van-rysselberghe/portrait-of-mr-camille-laurent-1884.jpg,Realism,,portrait,male-portraits|Gentleman|Elder,oil|canvas,Private Collection,,
https://www.wikiart.org/en/john-currin/tempestarii-2023,2023,,2023,https://uploads1.wikiart.org/00474/images/john-currin/2023tempestarii.jpg!Large.jpg,,,,,,,,
https://www.wikiart.org/en/enzo-cucchi/intorpidito-2007,2007,,2007,https://uploads7.wikiart.org/images/enzo-cucchi/intorpidito-2007.jpg,Neo-Expressionism,,figurative,,oil,,,
https://www.wikiart.org/en/jules-breton/gleaners-at-sunset-1863,1863,,1863,https://uploads7.wikiart.org/images/jules-breton/gleaners-at-sunset-1863.jpg!Large.jpg,Realism,,genre painting,,,,,
https://www.wikiart.org/en/edgar-degas/leon-bonnat-1863,1863,,1863,https://uploads8.wikiart.org/images/edgar-degas/leon-bonnat-1863.jpg!Large.jpg,Impressionism,,portrait,male-portraits,oil|panel,Private Collection,,
https://www.wikiart.org/en/joaqu-n-sorolla/mother-and-daughter-valencia-beach-1916,1916,,1916|1916; Spain,https://uploads8.wikiart.org/images/joaquin-sorolla/mother-and-daughter-valencia-beach-1916.jpg!Large.jpg,Impressionism,,genre painting,mother-and-child,oil|canvas,,,
https://www.wikiart.org/en/maria-fortuny/aficionada-a-les-estampes-1866,1866,,1866,https://uploads6.wikiart.org/00313/images/maria-fortuny/fortuny-aficionada-a-les-estampes.jpg!Large.jpg,Orientalism|Romanticism,,genre painting,female-portraits,,,,
https://www.wikiart.org/en/george-seeley/the-artist-1910,1910,,1910,https://uploads8.wikiart.org/images/george-seeley/the-artist-1910.jpg,Pictorialism,,photo,Arm|Human body,,,,
https://www.wikiart.org/en/camille-corot/maurice-robert-as-a-child-1857,1857,,1857,https://uploads6.wikiart.org/images/camille-corot/maurice-robert-as-a-child-1857.jpg!Large.jpg,Romanticism,,portrait,children portraits,oil|canvas,,French People,
https://www.wikiart.org/en/sir-lawrence-alma-tadema/the-passage-of-the-berezina-1812-1859,1859,,1859,https://uploads8.wikiart.org/00366/images/sir-lawrence-alma-tadema/almatadema-traverseeberezina-amsterdam.jpg,Romanticism,,history painting,Napoleon Bonaparte,,"Amsterdams Historisch Museum, Amsterdam, Netherlands",,
https://www.wikiart.org/en/elmer-bischoff/girl-with-mirror-1961,1961,,1961,https://uploads6.wikiart.org/images/elmer-bischoff/girl-with-mirror-1961.jpg,Expressionism,,genre painting,,,,,
https://www.wikiart.org/en/abraham-manievich/winter-village-scene,,,,https://uploads8.wikiart.org/images/abraham-manievich/winter-village-scene.jpg,Post-Impressionism|Fauvism,,landscape,,,,,
https://www.wikiart.org/en/nathan-altman/russia-labour-1921,1921,,1921,https://uploads3.wikiart.org/images/nathan-altman/russia-labour-1921.jpg!Large.jpg,,,symbolic painting,Orange|Light|Line|Stairs,,,,
https://www.wikiart.org/en/olivier-debre/blanche-ocre-1973,1973,,1973,https://uploads1.wikiart.org/images/olivier-debre/blanche-ocre-1973.jpg,Lyrical Abstraction,,abstract,,,,,
https://www.wikiart.org/en/lewis-carroll/reginald-southey-1857,1857,,1857,https://uploads6.wikiart.org/images/lewis-carroll/reginald-southey-1857.jpg!Large.jpg,Pictorialism,,photo,Skeleton,,,,
https://www.wikiart.org/en/jan-matejko/ivan-the-terrible,,,,https://uploads0.wikiart.org/images/jan-matejko/ivan-the-terrible.jpg!Large.jpg,Romanticism,,history painting,male-portraits|famous-people|Ivan-the-Terrible|pilgrims,,,,
