url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme
https://www.wikiart.org/en/natalia-goncharova/liturgy-the-seraph-s-costume,1914,,1914,https://uploads0.wikiart.org/images/natalia-goncharova/liturgy-the-seraph-s-costume.jpg!Large.jpg,Art Nouveau (Modern)|Naïve Art (Primitivism),design,,,Christianity|cherubs-and-seraphs,,,
https://www.wikiart.org/en/alfred-freddy-krupa/m-or-how-i-died-during-my-lifetime-2007,2007,Karlovac,"Karlovac|2007|2007; Karlovac, Croatia",https://uploads4.wikiart.org/00208/images/alfred-freddy-krupa/m-1300-1.jpg!Large.jpg,Symbolism|Fantasy Art,symbolic painting,brush|ink,,Sketch|Figure drawing|Long hair,,,
https://www.wikiart.org/en/maggie-laubser/landscape-with-woman-carrying-a-bundle,,,,https://uploads3.wikiart.org/00317/images/maggie-laubser/landscape-with-woman-carrying-a-bundle.jpg!Large.jpg,Expressionism,genre painting|landscape,,,,,,
https://www.wikiart.org/en/gustave-moreau/the-angels-of-sodom,1890,,1890,https://uploads5.wikiart.org/images/gustave-moreau/the-angels-of-sodom.jpg!Large.jpg,Symbolism,religious painting,oil|canvas,"Musée National Gustave Moreau, Paris, France",Christianity|angels-and-archangels|Sky|Water,,,
https://www.wikiart.org/en/theophile-steinlen/nu,,,,https://uploads1.wikiart.org/images/theophile-steinlen/nu.jpg!Large.jpg,Realism,nude painting (nu),,,Figure drawing|Sketch,,,
https://www.wikiart.org/en/miguel-rio-branco/sem-titulo-2,,,,https://uploads8.wikiart.org/00307/images/miguel-rio-branco/sem-titulo-2-1.jpg!Large.jpg,Abstract Expressionism,abstract,oil,,Orange,,,
https://www.wikiart.org/en/charles-turner/sir-john-moore-1809,1809,,1809,https://uploads5.wikiart.org/images/charles-turner/sir-john-moore-1809.jpg!Large.jpg,Romanticism,portrait,,,Photograph|Lady,,,
https://www.wikiart.org/en/kitagawa-utamaro/the-hour-of-the-horse-1,,,,https://uploads2.wikiart.org/images/kitagawa-utamaro/the-hour-of-the-horse-1.jpg!Large.jpg,Ukiyo-e,genre painting,,,female-portraits,Twelve Hours of the Green Houses,,
https://www.wikiart.org/en/martin-barre/60-t-18-1960,1960,,1960,https://uploads4.wikiart.org/images/martin-barre/60-t-18-1960.jpg,Minimalism,abstract,,,,,,
https://www.wikiart.org/en/valentin-serov/portrait-of-yuri-morozov-1905,1905,,1905,https://uploads6.wikiart.org/images/valentin-serov/portrait-of-yuri-morozov-1905.jpg!Large.jpg,Realism,sketch and study,,,famous-people|children portraits|Hair|Face|Sketch|Hairstyle|Eyebrow|Chin|Head|Lip,,,
https://www.wikiart.org/en/olexandr-archipenko/female-nude-frauenakt,1921,,1921,https://uploads2.wikiart.org/images/olexandr-archipenko/female-nude-frauenakt.jpg,Cubism,nude painting (nu),,,Botany|Sketch|Plant,,,
https://www.wikiart.org/en/eugene-boudin/cows-in-the-meadow,1890,,c.1890; France|1890,https://uploads3.wikiart.org/images/eugene-boudin/cows-in-the-meadow.jpg!Large.jpg,Impressionism,animal painting,oil,Private Collection,animals|cows|Bovine|Pasture|Grazing|Herd|Rural area|Grassland|Livestock|Meadow,,,
https://www.wikiart.org/en/ivan-albright/the-farmer-s-kitchen,1934,,1934,https://uploads5.wikiart.org/images/ivan-albright/the-farmer-s-kitchen.jpg!Large.jpg,Magic Realism,genre painting,oil|canvas,"Smithsonian American Art Museum, Washington, DC, US",,,,
https://www.wikiart.org/en/paul-wunderlich/example,,,,https://uploads2.wikiart.org/images/paul-wunderlich/example.jpg,Surrealism,figurative,,,Turquoise,,,
https://www.wikiart.org/en/vajda-lajos/mask-with-moon-1938,1938,,1938,https://uploads2.wikiart.org/images/vajda-lajos/mask-with-moon-1938.jpg!Large.jpg,Surrealism,figurative,,,,,,
https://www.wikiart.org/en/charles-hermans/portrait-of-a-young-lady,,,,https://uploads2.wikiart.org/images/charles-hermans/portrait-of-a-young-lady.jpg!Large.jpg,Realism,portrait,,,Lady,,,
