url,Create Date,Create Location,Date,image_url,Style,Period,Genre,Media,Location,tags,Series,Theme
https://www.wikiart.org/en/andrew-wyeth/quaker-ladies-1956,1956,,1956,https://uploads3.wikiart.org/images/andrew-wyeth/not-detected-267562.jpg!Large.jpg,Contemporary Realism,,landscape,,,flowers-and-plants,,
https://www.wikiart.org/en/constantin-flondor/undulatory-mirage-1968,1968,,1968,https://uploads3.wikiart.org/images/constantin-flondor/undulatory-mirage-1968.jpg!Large.jpg,Op Art,,abstract,,,Pattern|monochrome,,
https://www.wikiart.org/en/ion-andreescu/street-from-barbizon-during-summer-time,,,,https://uploads5.wikiart.org/images/ion-andreescu/street-from-barbizon-during-summer-time.jpg,Impressionism,,cityscape,,,Tree,,
https://www.wikiart.org/en/max-slevogt/a-portrait-of-the-artist,1891,,1891,https://uploads7.wikiart.org/images/max-slevogt/a-portrait-of-the-artist.jpg!Large.jpg,Impressionism,,self-portrait,oil|canvas,Private Collection,male-portraits|famous-people|Gentleman,,
https://www.wikiart.org/en/nadar/emile-zola,,,,https://uploads1.wikiart.org/00335/images/nadar/emile-zola-portrait-young.jpg!Large.jpg,Pictorialism,,photo|portrait,photography,,,,
https://www.wikiart.org/en/henryk-berlewi/neo-faktur-n-23-1923,1923,,1923,https://uploads5.wikiart.org/images/henryk-berlewi/neo-faktur-n-23-1923.jpg,Constructivism,,poster,,,Font|Pattern|Text,,
https://www.wikiart.org/en/burhan-dogancay/switzerland-geneva-wall-1999,1999,,1999,https://uploads5.wikiart.org/images/burhan-dogancay/switzerland-geneva-wall-1999.jpg,Pop Art|Street art,,figurative,,,Geneva|Tree,,
https://www.wikiart.org/en/currier-and-ives/the-first-smoke-all-right-1870,1870,,1870,https://uploads0.wikiart.org/images/currier-and-ives/the-first-smoke-all-right-1870.jpg!Large.jpg,Romanticism,,caricature,,,Photograph|Hairstyle|Child|Retro style,,
https://www.wikiart.org/en/alfred-freddy-krupa/at-the-confluence-of-the-kupa-and-korana-2021,2021,,2021|2021; Croatia,https://uploads2.wikiart.org/00357/images/alfred-freddy-krupa/1.jpg!Large.jpg,,,landscape,mixed technique,,,,
https://www.wikiart.org/en/james-tissot/convalescence,1875,,1875,https://uploads6.wikiart.org/images/james-tissot/convalescence.jpg!Large.jpg,Realism,,portrait,etching|drypoint,,female-portraits|Sketch,,
https://www.wikiart.org/en/joyce-kozloff/spheres-of-influence-2001,2001,,2001,https://uploads1.wikiart.org/images/joyce-kozloff/spheres-of-influence-2001.jpg!Large.jpg,Cartographic Art,,figurative,,,Leaf,,
https://www.wikiart.org/en/fikret-mualla-saygi/unknown-title-21,,,,https://uploads6.wikiart.org/images/fikret-mualla-saygi/unknown-title-21.jpg,Fauvism,,marina,,,boats-and-ships|Boat|Waterway,,
https://www.wikiart.org/en/heorhiy-narbut/illustration-to-the-crane-and-heron-bear-1906-2,1906,St. Petersburg,"1906; St. Petersburg, Russian Federation|St. Petersburg|1906",https://uploads6.wikiart.org/images/heorhiy-narbut/illustration-to-the-crane-and-heron-bear-1906-2.jpg!Large.jpg,Art Nouveau (Modern),Petersburg period,illustration,,,Text,The crane and heron. Bear.,
https://www.wikiart.org/en/childe-hassam/columbus-avenue-rainy-day,1885,,1885,https://uploads1.wikiart.org/images/childe-hassam/columbus-avenue-rainy-day.jpg!Large.jpg,Impressionism,,cityscape,,,streets-and-squares|houses-and-buildings|roads-and-vehicles|rain-and-fog|Horse and buggy|Carriage|Mode of transport|Coachman|Vehicle|Wagon|Working animal,,
https://www.wikiart.org/en/salvador-dali/the-sacred-heart-of-jesus,1962,,1962,https://uploads1.wikiart.org/images/salvador-dali/the-sacred-heart-of-jesus.jpg!Large.jpg,Realism|Surrealism,Classic Period (1941-1989),religious painting,,,,,
https://www.wikiart.org/en/frits-thaulow/washerwomen-at-quimperle,1902,,1902,https://uploads0.wikiart.org/images/frits-thaulow/washerwomen-at-quimperle.jpg!Large.jpg,Impressionism,,genre painting,aquatint,Private Collection,washing-and-laundry|Bridge|Arch|Arch bridge,,
https://www.wikiart.org/en/john-bradley/emma-homan-1844,1844,,1844,https://uploads2.wikiart.org/images/john-bradley/emma-homan-1844(1).jpg!Large.jpg,Naïve Art (Primitivism),,portrait,,,,,
https://www.wikiart.org/en/stanley-pinker/gone-but-not-forgotten-1976,1976,,1976,https://uploads3.wikiart.org/images/stanley-pinker/gone-but-not-forgotten-1976.jpg,Cubism,,landscape,,,,,
https://www.wikiart.org/en/bela-czobel/czobel-bela-1903-munkasember-1903,1903,,1903,https://uploads5.wikiart.org/00387/images/bela-czobel/cz-bel-b-la-1903-munk-sember.JPG,,,portrait,,,,,
https://www.wikiart.org/en/edouard-cortes/paris-place-de-la-republique,,,,https://uploads5.wikiart.org/images/edouard-cortes/paris-place-de-la-republique.jpg!Large.jpg,Post-Impressionism,,cityscape,oil|canvas,Private Collection,streets-and-squares|houses-and-buildings|forests-and-trees|Snow|winter|Tree,,
https://www.wikiart.org/en/martiros-sarian/the-girl-leopard-and-trees-1907,1907,,1907,https://uploads0.wikiart.org/images/martiros-saryan/the-girl-leopard-and-trees-1907.jpg!Large.jpg,Expressionism,,genre painting,,,animals|walking|Botany|Plant|Tree|Sketch,,
https://www.wikiart.org/en/alfred-stieglitz/the-dirigible-1910,1910,,1910,https://uploads6.wikiart.org/images/alfred-stieglitz/the-dirigible-1910.jpg!Large.jpg,Pictorialism,,photo,,,Sky|Cloud|Atmosphere|monochrome,,
https://www.wikiart.org/en/maki-haku/shell-2,,,,https://uploads6.wikiart.org/images/maki-haku/shell-2.jpg!Large.jpg,Sōsaku hanga,,abstract,,,,,
https://www.wikiart.org/en/johannes-itten/portrait-of-a-girl,,,,https://uploads3.wikiart.org/images/johannes-itten/portrait-of-a-girl.jpg,Expressionism,,sketch and study,pencil|paper,,Face|Sketch|Head|Chin|Nose|Figure drawing|Cheek,,
https://www.wikiart.org/en/konstantin-ivanovich-gorbatov/interior-1917,1917,,1917,https://uploads0.wikiart.org/00325/images/konstantin-ivanovich-gorbatov/konstantin-gorbatov-interior.jpg!Large.jpg,Post-Impressionism,,interior,oil|canvas,,,,
https://www.wikiart.org/en/alex-colville/woman-in-bathtub-1973,1973,,1973,https://uploads6.wikiart.org/images/alex-colville/woman-in-bathtub-1973.jpg!Large.jpg,Contemporary Realism,,nude painting (nu),,,Leg,,
https://www.wikiart.org/en/john-frederick-herring-sr/antonio-1822,1822,,1822,https://uploads2.wikiart.org/00264/images/john-frederick-herring-sr/antonio-horse.jpg,Romanticism,,genre painting|animal painting,,,,,
https://www.wikiart.org/en/gustave-dore/the-plague-of-jerusalem,,,,https://uploads7.wikiart.org/images/gustave-dore/the-plague-of-jerusalem.jpg!Large.jpg,Romanticism,,religious painting,,,Christianity|Stock photography,The Holy Bible,
https://www.wikiart.org/en/john-hoyland/green-orange-pink-1971,1971,,1971,https://uploads6.wikiart.org/images/john-hoyland/green-orange-pink-1971.jpg!Large.jpg,Lyrical Abstraction,,abstract,,,Pink,,
https://www.wikiart.org/en/wassily-kandinsky/improvisation-10-1910,1910,,1910|1910; Germany,https://uploads1.wikiart.org/images/wassily-kandinsky/improvisation-10-1910.jpg!Large.jpg,Abstract Art,,abstract,oil|canvas,"Beyeler Foundation, Riehen, Switzerland",,Improvisations,
https://www.wikiart.org/en/paul-cezanne/the-robbers-and-the-donkey,1870,,1870,https://uploads1.wikiart.org/images/paul-cezanne/the-robbers-and-the-donkey.jpg!Large.jpg,Romanticism,Impressionist period,genre painting,oil|canvas,"Galleria d'Arte Moderna, Milan, Italy",,,
https://www.wikiart.org/en/john-singer-sargent/above-lake-garda-at-san-vigilio-1913,1913,,1913,https://uploads0.wikiart.org/images/john-singer-sargent/above-lake-garda-at-san-vigilio-1913.jpg!Large.jpg,Impressionism,,marina,watercolor,,boats-and-ships|lakes-and-ponds|Schooner|Vehicle|Boat|Shipwreck,,
https://www.wikiart.org/en/bela-czobel/bela-czobel-nude,,,,https://uploads4.wikiart.org/00410/images/bela-czobel/bela-czobel-nude.JPG,,,,,,,,
https://www.wikiart.org/en/george-stubbs/soldiers-of-the-10th-dragoon-regiment,1793,,1793,https://uploads4.wikiart.org/images/george-stubbs/soldiers-of-the-10th-dragoon-regiment.jpg!Large.jpg,Romanticism,,genre painting,oil|canvas,,group-portraits|Bridle|Horse|Animal sports|Equestrianism|English riding|Recreation|Rein|Dressage|Hunt seat|Horse trainer,,
https://www.wikiart.org/en/niko-pirosmani/signboard-tsarapi,,,,https://uploads3.wikiart.org/images/niko-pirosmani/signboard-tsarapi.jpg!Large.jpg,Naïve Art (Primitivism),,interior,oil|oilcloth,,Font,,
https://www.wikiart.org/en/jiro-yoshihara/work-1971,1971,,1971,https://uploads3.wikiart.org/images/jiro-yoshihara/work-1971.jpg,Minimalism,,abstract,,,Rectangle,,
https://www.wikiart.org/en/naum-gabo/kinetic-construction-standing-wave-1920,1920,,1920,https://uploads2.wikiart.org/images/naum-gabo/kinetic-construction-standing-wave-1920.jpg!Large.jpg,Kinetic Art,,sculpture,metal|wood,"Tate Modern, London, UK",Lighting|Still life photography,,
https://www.wikiart.org/en/auguste-rodin/psyche-1886,1886,,1886|1886; France,https://uploads5.wikiart.org/images/auguste-rodin/psyche-1886.jpg!Large.jpg,Impressionism,,sculpture,marble,"Musée Rodin, Paris, France",female-nude|Greek-and-Roman-Mythology|Psyche|Figurine|Beige|Joint,,
https://www.wikiart.org/en/mark-tobey/between-space-and-time-1965,1965,,1965,https://uploads8.wikiart.org/images/mark-tobey/between-space-and-time-1965.jpg,Abstract Expressionism,,abstract,,,,,
https://www.wikiart.org/en/walter-darby-bannard/aqua-same-1962,1962,,1962,https://uploads5.wikiart.org/images/walter-darby-bannard/aqua-same-1962.jpg,Minimalism,,abstract,,,Rectangle,,
https://www.wikiart.org/en/gustave-moreau/saint-martin,1882,,1882,https://uploads7.wikiart.org/images/gustave-moreau/saint-martin.jpg!Large.jpg,Symbolism,,religious painting,oil,Private Collection,Christianity|saints-and-apostles|Mythology|1880s paintings from France,,
https://www.wikiart.org/en/bela-czobel/bela-adalbert-czobel-girl,,,,https://uploads3.wikiart.org/00393/images/bela-czobel/b-la-adalbert-cz-bel-girl.JPG,,,,,,,,
https://www.wikiart.org/en/auguste-herbin/landscape-of-a-waterway-1908,1908,,1908,https://uploads5.wikiart.org/images/auguste-herbin/landscape-of-a-waterway-1908.jpg!Large.jpg,Fauvism,,landscape,,,Tree,,
https://www.wikiart.org/en/henry-fuseli/the-return-of-milton-s-wife-17881799,1799,,1799,https://uploads2.wikiart.org/images/henry-fuseli/the-return-of-milton-s-wife-17881799.jpg!Large.jpg,Romanticism,,genre painting,,,Lady,,
https://www.wikiart.org/en/gaylen-gerber/support-untitled-with-heimo-zobernig-2004,2004,,2004,https://uploads7.wikiart.org/images/gaylen-gerber/support-untitled-with-heimo-zobernig-2004.jpg,Neo-Minimalism,,abstract,,,,,
https://www.wikiart.org/en/pierre-bonnard/cagnes-landscape-1916,1916,,1916,https://uploads7.wikiart.org/images/pierre-bonnard/cagnes-landscape-1916.jpg!Large.jpg,Post-Impressionism,,landscape,oil|canvas,Private Collection,Rural area,,
https://www.wikiart.org/en/pyotr-konchalovsky/landscape-1929,1929,,1929,https://uploads3.wikiart.org/images/pyotr-konchalovsky/landscape-1929.jpg,Expressionism,,landscape,paper|watercolor,,cliffs-and-rocks|Sketch,,
https://www.wikiart.org/en/norman-rockwell/stuck-inside,1922,,1922,https://uploads8.wikiart.org/images/norman-rockwell/stuck-inside.jpg!Large.jpg,Regionalism,,genre painting,,,animals|dogs|children portraits|Pointer|Canidae,,
https://www.wikiart.org/en/nassos-daphnis/st-20-70-1970,1970,,1970,https://uploads7.wikiart.org/images/nassos-daphnis/st-20-70-1970.jpg,Hard Edge Painting,,abstract,,,Surfboard|Surfing Equipment|Fin,,
https://www.wikiart.org/en/henri-martin/saint-cirq-lapopie-in-evening-1897,1897,,1897,https://uploads0.wikiart.org/images/henri-martin/saint-cirq-lapopie-in-evening-1897.jpg!Large.jpg,Post-Impressionism,,cityscape,oil|canvas,Private Collection,houses-and-buildings|rivers-and-waterfalls|twilight-and-night|mountains,,
https://www.wikiart.org/en/eyvind-earle/late-october,,,,https://uploads5.wikiart.org/images/eyvind-earle/late-october.jpg!Large.jpg,Magic Realism,,landscape,,,autumn|forests-and-trees|Nature|Sky|Natural landscape|Mountainous landforms|Mountain|Wilderness|Atmosphere|Ecoregion,,
https://www.wikiart.org/en/alphonse-mucha/nestl%C3%A9-s-food-for-infants-1897,1897,,1897,https://uploads7.wikiart.org/images/alphonse-mucha/nestl%C3%A9-s-food-for-infants-1897.jpg!Large.jpg,Art Nouveau (Modern),,advertisement,lithography,Private Collection,mother-and-child|posters-and-advertisements|Prophet,,
https://www.wikiart.org/en/wassily-kandinsky/composition-1944,1944,Paris,"Paris|1944; Paris, France|1944",https://uploads5.wikiart.org/images/wassily-kandinsky/composition-1944.jpg!Large.jpg,Abstract Art,,abstract,stencil,"Georges Pompidou Center, Paris, France",Graphic design|Font,Compositions,
https://www.wikiart.org/en/guy-mees/lost-space-1985-1,1985,,1985,https://uploads5.wikiart.org/images/guy-mees/lost-space-1985-1.jpg,Post-Minimalism,,abstract,,,Pink|Ribbon,,
https://www.wikiart.org/en/raphael-kirchner/olive-thomas,,,,https://uploads8.wikiart.org/images/raphael-kirchner/olive-thomas.jpg,Art Nouveau (Modern),,portrait,,,female-portraits|Photograph|Lady|Vintage clothing|Retro style,Ziegfeld Follies,
https://www.wikiart.org/en/gregoire-boonzaier/still-life-with-hibiscus-1962,1962,,1962,https://uploads0.wikiart.org/images/gregoire-boonzaier/still-life-with-hibiscus-1962.jpg,Impressionism,,still life,,,Flower|Botany|Plant,,
https://www.wikiart.org/en/amedee-ozenfant/maternity-1941,1941,,1941,https://uploads0.wikiart.org/images/amedee-ozenfant/maternity-1941.jpg,Purism,,figurative,,,,,
https://www.wikiart.org/en/gustave-courbet/the-houses-of-the-chateau-d-ornans-1853,1853,,1853,https://uploads8.wikiart.org/images/gustave-courbet/the-houses-of-the-chateau-d-ornans-1853.jpg!Large.jpg,Realism,,landscape,oil|canvas,Private Collection,houses-and-buildings|Sky,,
https://www.wikiart.org/en/peter-phillips/impeller-1972,1972,,1972,https://uploads8.wikiart.org/images/peter-phillips/impeller-1972.jpg!Large.jpg,Pop Art,,figurative,,,Felidae|Textile,,
https://www.wikiart.org/en/nicholas-krushenick/james-bond-meets-pussy-galore-1965,1965,,1965,https://uploads7.wikiart.org/images/nicholas-krushenick/james-bond-meets-pussy-galore-1965.jpg!Large.jpg,Pop Art,,abstract,,,,,
https://www.wikiart.org/en/theophile-steinlen/les-humoristes,,,,https://uploads3.wikiart.org/images/theophile-steinlen/les-humoristes.jpg,Realism,,illustration,,,Text|Fiction|Book cover,,
