url,Create Date,Create Location,image_url,Date,Style,Genre,Media,tags,Location,Series,Period,Theme
https://www.wikiart.org/en/theodor-pallady/pheasant,,,https://uploads4.wikiart.org/images/theodor-pallady/pheasant.jpg!Large.jpg,,Impressionism,still life,,,,,,
https://www.wikiart.org/en/derek-boshier/fooootball,,,https://uploads3.wikiart.org/images/derek-boshier/fooootball.jpg,,Pop Art,figurative,,Pattern|Circle,,,,
https://www.wikiart.org/en/lovis-corinth/self-portrait-with-a-glass-1907,1907,,https://uploads7.wikiart.org/images/lovis-corinth/self-portrait-with-a-glass-1907.jpg!Large.jpg,1907,Impressionism,self-portrait,,Human,,,,
https://www.wikiart.org/en/georgia-o-keeffe/stamp-in-red-hills,,,https://uploads6.wikiart.org/images/georgia-o-keeffe/stamp-in-red-hills.jpg!Large.jpg,,Precisionism,landscape,,cliffs-and-rocks|Orange,,,,
https://www.wikiart.org/en/ludovic-alleaume/jesus-and-the-samaritan-woman-eglise-saint-sulpice-de-fougeres-detail-1919-15,1919,,https://uploads7.wikiart.org/00304/images/ludovic-alleaume/foug-res-35-glise-saint-sulpice-baie-12-fichier-25.jpg!Large.jpg,1919,Art Nouveau (Modern),religious painting|design,stained glass,,,Eglise Saint-Sulpice de Fougères,,
https://www.wikiart.org/en/tahir-salahov/over-the-caspian-sea-1961,1961,,https://uploads7.wikiart.org/00126/images/tahir-salahov/over-the-caspian-sea-1961.jpg,1961,Severe Style,landscape,,Sky|Water,,,,
https://www.wikiart.org/en/josef-albers/abstract-1940,1940,,https://uploads5.wikiart.org/images/josef-albers/abstract-1940.jpg,1940,Abstract Art,abstract,paper|oil,Brick|Rectangle,,,,
https://www.wikiart.org/en/fusun-onur/untitled-2012,2012,,https://uploads3.wikiart.org/images/fusun-onur/untitled-2012.jpg,2012,Post-Minimalism,sculpture,,Picture frame|Turquoise|Azure|Rectangle|Room,,,,
https://www.wikiart.org/en/roberto-matta/nude-1950,1950,,https://uploads3.wikiart.org/images/roberto-matta/nude-1950.jpg!Large.jpg,1950,Surrealism,nude painting (nu),,Head|Nose|Joint|Line,,,,
https://www.wikiart.org/en/noe-bordignon/the-advice,,,https://uploads3.wikiart.org/00325/images/noe-bordignon/noe-bordignon-4221548.jpg,,Realism,genre painting,canvas|oil,,,,,
https://www.wikiart.org/en/felix-vallotton/french-writer-henry-gauthier-villars-aka-willy-1859-1931-by-f-lix-valloton-1865-1925-1896,1896,,https://uploads4.wikiart.org/images/felix-vallotton/french-writer-henry-gauthier-villars-aka-willy-1859-1931-by-f-lix-valloton-1865-1925-1896.jpg!Large.jpg,1896,Art Nouveau (Modern),portrait,,male-portraits|famous-people|Head|Line|Headgear,,,,
https://www.wikiart.org/en/albert-anker/kinderfr-hst-ck-1879,1879,,https://uploads4.wikiart.org/images/albert-anker/kinderfr-hst-ck-1879.jpg!Large.jpg,1879,Realism|Biedermeier,genre painting,,,"Kunstmuseum Basel, Basel, Switzerland",,,
https://www.wikiart.org/en/bill-woodrow/winged-box-2-1998,1998,,https://uploads0.wikiart.org/images/bill-woodrow/winged-box-2-1998.jpg,1998,Neo-Pop Art,sculpture,,Table|Stool|Furniture|End table|Tree stump|Wood stain|Tree|Trunk,,,,
https://www.wikiart.org/en/william-merritt-chase/portrait-of-harriet-hubbard-ayer,1879,,https://uploads7.wikiart.org/images/william-merritt-chase/portrait-of-harriet-hubbard-ayer.jpg!Large.jpg,1879,Impressionism,portrait,canvas|oil,famous-people|female-portraits|Lady,,,,
https://www.wikiart.org/en/aurel-cojan/composition-1960,1960,,https://uploads8.wikiart.org/images/aurel-cojan/composition-1960.jpg!Large.jpg,1960,Art Informel,abstract,,Botany|Sketch|Tree,,,,
https://www.wikiart.org/en/hans-andersen-brendekilde/i-a-ring-painting-near-aasum-smithy-1893,1893,,https://uploads2.wikiart.org/00261/images/hans-andersen-brendekilde/hans-andersen-brendekilde-l-a-ring-maler-ved-aasum-smedje.jpg!Large.jpg,1893,Realism,genre painting,oil,,,,,
https://www.wikiart.org/en/giovanni-fattori/geh-ft-in-den-h-geln-1890,1890,,https://uploads4.wikiart.org/images/giovanni-fattori/geh-ft-in-den-h-geln-1890.jpg!Large.jpg,1890,Realism,landscape,wood,,"Palazzo Pitti, Florence, Italy",,,
https://www.wikiart.org/en/aaron-shikler/hotel-room-oxford-2004,2004,,https://uploads7.wikiart.org/00115/images/aaron-shikler/aaron-shikler-tutt-art-49.jpg!Large.jpg,2004,New Realism,genre painting,pastel,,,,,
https://www.wikiart.org/en/theophile-steinlen/le-houilleur-1907,1907,,https://uploads7.wikiart.org/images/theophile-steinlen/le-houilleur-1907.jpg!Large.jpg,1907,Realism,illustration,,Sketch|Figure drawing,,,,
https://www.wikiart.org/en/fyodor-bronnikov/self-portrait-1858,1858,,https://uploads6.wikiart.org/images/fyodor-bronnikov/self-portrait-1858.jpg!Large.jpg,1858,Realism,self-portrait,,male-portraits|famous-people|Hat|Headgear,,,,
https://www.wikiart.org/en/maurizio-cattelan/untitled-2009,2009,,https://uploads1.wikiart.org/images/maurizio-cattelan/untitled-2009.jpg,2009,Conceptual Art,installation,,Lighting|Lamp|Light|Light fixture|Floor|Lampshade,,,,
https://www.wikiart.org/en/henri-rousseau/the-sleeping-gypsy-1897,1897,,https://uploads7.wikiart.org/00475/images/henri-rousseau/la-boh-mienne-endormie-1897.jpg!Large.jpg,1897,Naïve Art (Primitivism),genre painting,canvas|oil,animals|lions|gypsies|leisure-and-sleep|Working animal,"Private Collection, Museum of Modern Art (MoMA), New York City, NY, US",,,
https://www.wikiart.org/en/eugene-boudin/the-fish-market-rotterdam-1876,1876,,https://uploads6.wikiart.org/images/eugene-boudin/the-fish-market-rotterdam-1876.jpg!Large.jpg,1876|1876; France,Realism,genre painting,oil,markets-and-shops,Private Collection,,,
https://www.wikiart.org/en/atsuko-tanaka/untitled-1964,1964,,https://uploads6.wikiart.org/images/atsuko-tanaka/untitled-1964.jpg,1964,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/otto-dix/girl-with-pink-rose,1923,,https://uploads8.wikiart.org/images/otto-dix/girl-with-pink-rose.jpg!Large.jpg,1923,Expressionism,portrait,,female-portraits,Private Collection,,,
https://www.wikiart.org/en/pyotr-konchalovsky/spring-courtyard-1942,1942,,https://uploads1.wikiart.org/images/pyotr-konchalovsky/spring-courtyard-1942.jpg,1942,Realism,cityscape,,spring|Moscow|yards|Snow|winter,,,,
https://www.wikiart.org/en/paul-cezanne/chateau-noir-4,1904,,https://uploads7.wikiart.org/images/paul-cezanne/chateau-noir-4.jpg!Large.jpg,1904,Cubism,landscape,canvas|oil,Tree,Private Collection,,Final period,
https://www.wikiart.org/en/lee-bontecou/untitled-1985,1985,,https://uploads5.wikiart.org/images/lee-bontecou/untitled-1985.jpg,1985,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/ferdinand-hodler/transfiguration,1906,,https://uploads3.wikiart.org/images/ferdinand-hodler/transfiguration.jpg!Large.jpg,1906,Art Nouveau (Modern),symbolic painting,canvas|oil,allegories-and-symbols|Lady,"Von der Heydt Museum, Wuppertal, Germany",,,
https://www.wikiart.org/en/claude-monet/grainstack-under-the-sun,1891,Giverny,https://uploads1.wikiart.org/00261/images/claude-monet/grainstack-in-sunshine.jpeg!Large.jpeg,"1891; Giverny, France|1891|Giverny",Impressionism,landscape,canvas|oil,,"Kunsthaus Zürich, Zürich, Switzerland",Haystacks,,
https://www.wikiart.org/en/max-liebermann/free-hour-at-amsterdam-orphanage-1876,1882,,https://uploads5.wikiart.org/images/max-liebermann/free-hour-at-amsterdam-orphanage-1876.jpg!Large.jpg,1882,Impressionism,genre painting,canvas|oil,children|Event,"Städel, Frankfurt am Main, Germany",,,
https://www.wikiart.org/en/ant-nio-de-carvalho-da-silva-porto/head-of-a-girl,,,https://uploads2.wikiart.org/images/ant-nio-de-carvalho-da-silva-porto/head-of-a-girl.jpg!Large.jpg,,Realism,portrait,,,,,,
https://www.wikiart.org/en/janos-mattis-teutsch/composition-1920,1920,,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1920(3).jpg!Large.jpg,1920,Abstract Art,abstract,,,,,,
https://www.wikiart.org/en/alphonse-mucha/master-jan-hus-preaching-at-the-bethlehem-chapel-1916,1916,,https://uploads3.wikiart.org/images/alphonse-mucha/master-jan-hus-preaching-at-the-bethlehem-chapel-1916.jpg!Large.jpg,1916,Symbolism,history painting,tempera|canvas,priests-and-sacraments|Holy places|Religious institute,"Mucha Museum, Prague, Czech Republic",,,
https://www.wikiart.org/en/eugene-boudin/near-honfleur,1856,,https://uploads7.wikiart.org/images/eugene-boudin/near-honfleur.jpg!Large.jpg,1856|c.1856; France,Realism,genre painting,oil,boats-and-ships|Normandy|Vehicle|Boat,Private Collection,,,
https://www.wikiart.org/en/martiros-sarian/sketch-of-the-second-act-of-the-opera-by-rimsky-korsakov-s-golden-cockerel-1930,1930,,https://uploads2.wikiart.org/images/martiros-saryan/sketch-of-the-second-act-of-the-opera-by-rimsky-korsakov-s-golden-cockerel-1930.jpg,1930,Expressionism,design,watercolor|paper,designs-and-sketches|scene-design|mountains,,,,
https://www.wikiart.org/en/glenn-brown/the-creeping-flesh-1991,1991,,https://uploads6.wikiart.org/images/glenn-brown/the-creeping-flesh-1991.jpg!Large.jpg,1991,Abstract Expressionism,portrait,,,,,,
https://www.wikiart.org/en/cy-twombly/quarzeat,1953,,https://uploads7.wikiart.org/images/cy-twombly/quarzeat.jpg,1953,Abstract Expressionism,abstract,,Tree|Line,,,,
https://www.wikiart.org/en/richard-whitney/glenda,,,https://uploads2.wikiart.org/images/richard-whitney/glenda.jpg!Large.jpg,,Contemporary Realism,portrait,,female-portraits|Hair|Long hair|Lady|Hairstyle|Beauty|Brown hair|Blond,,,,
https://www.wikiart.org/en/kazuo-nakamura/august-morning-1961,1961,,https://uploads5.wikiart.org/images/kazuo-nakamura/august-morning-1961.jpg!Large.jpg,1961,Abstract Expressionism,landscape,,Turquoise|Water|Pattern|Sky,,,,
https://www.wikiart.org/en/julio-gonzalez/femme-au-miroir-1937,1937,,https://uploads5.wikiart.org/images/julio-gonzalez/femme-au-miroir-1937.jpg,1937,Cubism,sculpture,,,,,,
https://www.wikiart.org/en/mstislav-dobuzhinsky/kaunas-zhalyakalnis-winter,1939,,https://uploads8.wikiart.org/images/mstislav-dobuzhinsky/kaunas-zhalyakalnis-winter.jpg,1939,Symbolism,landscape,,winter|cottages-and-farmhouses|Tree,,Old Lithuania,,
