url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/laszlo-moholy-nagy/photogram-2,,,Dada,https://uploads1.wikiart.org/images/laszlo-moholy-nagy/photogram-2.jpg!Large.jpg,photo,Ear|Still life photography,,photogram,,,,
https://www.wikiart.org/en/marianne-stokes/john-westlake,,,Art Nouveau (Modern),https://uploads3.wikiart.org/00266/images/marianne-stokes/john-westlake-by-marianne-stokes.jpg!Large.jpg,portrait,,,tempera,,,,
https://www.wikiart.org/en/pellizza-da-volpedo/head-of-a-little-girl-1887,1887,,Realism,https://uploads7.wikiart.org/00479/images/pellizza-da-volpedo/pellizza-testa-bambina.jpg!Large.jpg,portrait,female-portraits|children portraits|1880s paintings from Italy,1887,oil|canvas,,,,
https://www.wikiart.org/en/yiannis-moralis/nude-1950,1950,,Expressionism,https://uploads5.wikiart.org/images/yiannis-moralis/nude-1950.jpg!Large.jpg,nude painting (nu),Lady|Chin|Chest|Nose|Cheek,1950,oil|canvas,"National Art Gallery (Alexandros Soutzos Museum), Athens, Greece",,,
https://www.wikiart.org/en/johan-christian-dahl/view-of-naeroy-valley-1847,1847,,Romanticism,https://uploads7.wikiart.org/00366/images/johan-christian-dahl/image-2021-11-09-075653.png,landscape,,1847,oil|canvas,,,,
https://www.wikiart.org/en/anne-appleby/susquehanna-2007,2007,,Color Field Painting,https://uploads8.wikiart.org/images/anne-appleby/susquehanna-2007.jpg,abstract,Orange|Rectangle,2007,,,,,
https://www.wikiart.org/en/jean-hugo/sainte-anne-1932,1932,,Naïve Art (Primitivism),https://uploads6.wikiart.org/images/jean-hugo/sainte-anne-1932.jpg!Large.jpg,genre painting,,1932,,,,,
https://www.wikiart.org/en/m-f-husain/untitled-blue-figure-and-tiger-1964,1964,,Cubism,https://uploads7.wikiart.org/images/m-f-husain/untitled-blue-figure-and-tiger-1964.jpg,animal painting,Orange,1964,,,,,
https://www.wikiart.org/en/anton-prinner/overturned-character-1938,1938,,Expressionism,https://uploads2.wikiart.org/00333/images/anton-prinner/overturned-character-c-1938.jpg!Large.jpg,sculpture,,1938,,,,,
https://www.wikiart.org/en/arman/guitars-2005,2005,,Nouveau Réalisme,https://uploads6.wikiart.org/images/arman/guitars-2005.jpg,figurative,String instrument|Water|Violin|Musical instrument|Violin family,2005,,,,,
https://www.wikiart.org/en/paul-gauguin/rocks-on-the-breton-coast-1888,1888,Pont-aven,Post-Impressionism,https://uploads5.wikiart.org/images/paul-gauguin/rocks-on-the-breton-coast-1888.jpg!Large.jpg,landscape,seas-and-oceans|mountains|Rock|Water|Natural landscape|Tree|Shore|Coast|Sea|Bank|Brittany,"1888; Pont-aven, France|1888|Pont-aven",oil|canvas,Private Collection,,Breton period,
https://www.wikiart.org/en/gabriele-munter/stillleben-mit-madonna-1911,1911,,Expressionism,https://uploads4.wikiart.org/images/gabriele-munter/stillleben-mit-madonna-1911.jpg,still life,,1911,,,,,
https://www.wikiart.org/en/carl-larsson/self-recognition-1906,1906,,Art Nouveau (Modern),https://uploads8.wikiart.org/images/carl-larsson/self-recognition-1906(1).jpg!Large.jpg,self-portrait,male-portraits|famous-people|Gentleman,1906; Sweden|1906,,,,,
https://www.wikiart.org/en/sergey-solomko/the-admired-beauty,,,Art Nouveau (Modern),https://uploads4.wikiart.org/images/sergey-solomko/the-admired-beauty.jpg!Large.jpg,genre painting,allegories-and-symbols|characters-and-emotions|fashion|costume design,,,,,,
https://www.wikiart.org/en/william-merritt-chase/the-blue-kimono-aka-girl-in-blue-kimono,1898,,Japonism|Impressionism,https://uploads5.wikiart.org/images/william-merritt-chase/the-blue-kimono-aka-girl-in-blue-kimono.jpg!Large.jpg,portrait,female-portraits,1898,oil|canvas,,,,
https://www.wikiart.org/en/martin-munkacsi/cheese-market-holland-1932,1932,,Art Nouveau (Modern),https://uploads6.wikiart.org/00325/images/martin-munkacsi/3.jpeg!Large.jpeg,photo,,1932,photography,,,,
https://www.wikiart.org/en/maynard-dixon/arizona-pastures-1943,1943,,Impressionism,https://uploads5.wikiart.org/images/maynard-dixon/arizona-pastures-1943.jpg,landscape,Natural landscape|Grassland|Natural environment|Ecoregion|Plain|Prairie|Steppe|Tundra,1943,,,,,
https://www.wikiart.org/en/william-baziotes/the-beach-1955,1955,,Abstract Expressionism,https://uploads1.wikiart.org/images/william-baziotes/the-beach-1955.jpg,abstract,,1955,oil|canvas,"Whitney Museum of American Art, New York City, NY, US",,,
https://www.wikiart.org/en/vera-nedkova/interior-1945,1945,,Expressionism,https://uploads4.wikiart.org/00135/images/vera-nedkova/1945.jpg,interior,,1945,,,,,
https://www.wikiart.org/en/robert-henri/cori-with-a-balloon-1907,1907,,American Realism,https://uploads8.wikiart.org/images/robert-henri/cori-with-a-balloon-1907.jpg!Large.jpg,portrait,Lady,1907,,,,,
https://www.wikiart.org/en/charles-gibbons/age-of-anxiety-3-2018,2018,"Toronto, Ontario",Abstract Expressionism|Lyrical Abstraction,https://uploads4.wikiart.org/00390/images/charles-gibbons/age-of-anxiety-3-2018.jpg!Large.jpg,abstract,,"Toronto, Ontario|2018; Toronto, Ontario, Canada|2018",acrylic,,,,
https://www.wikiart.org/en/c-r-w-nevinson/night-raid-1917-1920,1920,,Expressionism|Cubism,https://uploads8.wikiart.org/00269/images/c-r-w-nevinson/night-raid-1917-1920.jpg!Large.jpg,cloudscape|battle painting,,1920,,,,,WWI
https://www.wikiart.org/en/josef-capek/kosile-i-1916,1916,,Cubism,https://uploads3.wikiart.org/00308/images/josef-capek/josef-apek-ko-ile-i-1916.jpg!Large.jpg,nude painting (nu),Shoulder|Nose|Joint|Arm|Ear|Flesh|Human body,1916,,,,,
https://www.wikiart.org/en/karl-blossfeldt/art-forms-in-nature-104-1928,1928,,Documentary photography,https://uploads8.wikiart.org/00327/images/karl-blossfeldt/blossfeldt-karl-blossfeldt-archiv-de-bildmat1-104-2.jpg,photo,,1928,photography,,Urformen der Kunst (Art Forms in Nature),,
https://www.wikiart.org/en/fernando-botero/woman-with-a-parrot,1973,,Naïve Art (Primitivism),https://uploads6.wikiart.org/images/fernando-botero/woman-with-a-parrot.jpg!Large.jpg,portrait,female-portraits|Lady,1973,,,,,
https://www.wikiart.org/en/pablo-picasso/still-life-with-the-mandolin-1924,1924,,Cubism,https://uploads0.wikiart.org/images/pablo-picasso/still-life-with-the-mandolin-1924.jpg!Large.jpg,still life,musical-instruments,1924,oil|canvas,,,Neoclassicist & Surrealist Period,
https://www.wikiart.org/en/qiu-ying/spring-morning-in-the-han-palace-view-e-1530,1530,,Gongbi,https://uploads6.wikiart.org/images/qiu-ying/spring-morning-in-the-han-palace-view-e-1530.jpg!Large.jpg,genre painting,Text|Textile,1530,,,Spring morning in the Han Palace,,
https://www.wikiart.org/en/rosa-bonheur/head-of-a-calf,,,Realism,https://uploads6.wikiart.org/00381/images/rosa-bonheur/head-of-a-calf-rosa-bonheur.jpg!Large.jpg,animal painting,,,,,,,
