url,Create Date,Create Location,Date,image_url,Style,Genre,Media,tags,Location,Series,Period,Theme
https://www.wikiart.org/en/rosa-bonheur/a-shepherd-with-his-flock,,,,https://uploads1.wikiart.org/00381/images/rosa-bonheur/un-berger-avec-son-troupeau-rosa-bonheur.jpg!Large.jpg,Realism,genre painting|animal painting,,,,,,
https://www.wikiart.org/en/bela-czobel/bela-czobel-1960-young-women-sitting-with-flower-dress,,,,https://uploads3.wikiart.org/00468/images/bela-czobel/bela-czobel-1960-young-women-sitting-with-flower-dress.png!Large.png,,,,,,,,
https://www.wikiart.org/en/andre-lanskoy/untitled-1972-1,1972,,1972,https://uploads0.wikiart.org/images/andre-lanskoy/untitled-1972-1.jpg!Large.jpg,Tachisme,abstract,,,,,,
https://www.wikiart.org/en/maria-primachenko/a-fish-king-has-caught-a-hoopoe-and-is-full-of-joy-1983,1983,,1983,https://uploads8.wikiart.org/images/maria-prymachenko/a-fish-king-has-caught-a-hoopoe-and-is-full-of-joy-1983.jpg!Large.jpg,Naïve Art (Primitivism),mythological painting,gouache|paper|fluorescent paint,,,,,
https://www.wikiart.org/en/william-merritt-chase/the-white-fence,,,,https://uploads8.wikiart.org/images/william-merritt-chase/the-white-fence.jpg!Large.jpg,Impressionism,landscape,,houses-and-buildings|forests-and-trees|Rural area|House,,,,
https://www.wikiart.org/en/frederick-mccubbin/the-cottage-children-rain-and-sunshine-1910,1910,,1910,https://uploads5.wikiart.org/images/frederick-mccubbin/the-cottage-children-rain-and-sunshine-1910.jpg,Impressionism,genre painting,,,,,,
https://www.wikiart.org/en/m-c-escher/freighter-september-1936-1936,1936,,1936,https://uploads0.wikiart.org/images/m-c-escher/not_detected_204710.jpg,Expressionism,landscape,woodcut,boats-and-ships|seas-and-oceans|Vehicle,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/still-life-grapes-and-pomegranates-1928,1928,,1928,https://uploads1.wikiart.org/images/pyotr-konchalovsky/still-life-grapes-and-pomegranates-1928.jpg,Realism,still life,,fruits-and-vegetables|Still life photography|Grape|Fruit|Grapevine family|Vitis,,,,
https://www.wikiart.org/en/camille-corot/quarry-of-the-chaise-mre-at-fontainebleau,1835,,1835,https://uploads8.wikiart.org/images/camille-corot/quarry-of-the-chaise-mre-at-fontainebleau.jpg!Large.jpg,Realism,landscape,oil|paper|canvas,cliffs-and-rocks|Rock|Brown|Geology|Formation|Outcrop|Soil,"Museum of Fine Arts, Ghent, Belgium",,,"French cityscapes, landscapes and seascapes"
https://www.wikiart.org/en/toshio-saeki/7,,,,https://uploads4.wikiart.org/00319/images/toshio-saeki/f72ff0b4007d65a081f5cffa1bb903d162c620f2-m.jpg,Ero guro,manga,,,,,,
https://www.wikiart.org/en/james-brooks/k-1952-1952,1952,,1952,https://uploads4.wikiart.org/images/james-brooks/k-1952-1952.jpg!Large.jpg,Abstract Expressionism,,,,"Dallas Museum of Art, Dallas, TX, US",,,
https://www.wikiart.org/en/ernst-ludwig-kirchner/caf%C3%A9-in-davos,1928,,1928,https://uploads6.wikiart.org/images/ernst-ludwig-kirchner/caf%C3%A9-in-davos.jpg!Large.jpg,Expressionism,genre painting,oil|canvas,taverns-and-inns,,,,
https://www.wikiart.org/en/alexey-bogolyubov/capturing-of-swedish-44-gun-frigate-venus-by-russian-22-gun-cutter-merkuriy-of-june-1-1789-1845,1845,,1845,https://uploads2.wikiart.org/images/alexey-bogolyubov/capturing-of-swedish-44-gun-frigate-venus-by-russian-22-gun-cutter-merkuriy-of-june-1-1789-1845.jpg,Romanticism,marina,oil|canvas,boats-and-ships|seas-and-oceans|battles-and-wars|historical-events|Sailing ship|East indiaman|First-rate|Flagship|Vehicle|Clipper|Manila galleon|Fluyt|Ship of the line|Bomb vessel,,,,
https://www.wikiart.org/en/tony-feher/it-seemed-a-beautiful-day-2002,2002,,2002,https://uploads2.wikiart.org/images/tony-feher/it-seemed-a-beautiful-day-2002.jpg,Post-Minimalism,installation,,Turquoise|Lighting|Chandelier|Necklace,,,,
https://www.wikiart.org/en/carlos-almaraz/suburban-nightmare-1983,1983,,1983,https://uploads8.wikiart.org/00330/images/carlos-almaraz/suburban-nightmare-1983.jpg!Large.jpg,Neo-Expressionism,figurative,,,,,,
https://www.wikiart.org/en/eyvind-earle/quiet-pasture,,,,https://uploads6.wikiart.org/images/eyvind-earle/quiet-pasture.jpg!Large.jpg,Magic Realism,landscape,,fields-and-plains|Sky|Natural landscape|Water,,,,
https://www.wikiart.org/en/maurice-utrillo/moulin-de-la-galette-3,,,,https://uploads0.wikiart.org/images/maurice-utrillo/moulin-de-la-galette-3.jpg!Large.jpg,Post-Impressionism,cityscape,watercolor|paper,streets-and-squares|mills-and-windmills|Paris,,,,
https://www.wikiart.org/en/milton-avery/birds-over-sky-1957,1957,,1957,https://uploads3.wikiart.org/images/milton-avery/birds-over-sky-1957.jpg!Large.jpg,Expressionism,landscape,,Tree,,,,
https://www.wikiart.org/en/ivan-kramskoy/reading-1863,1863,,1863,https://uploads6.wikiart.org/images/ivan-kramskoy/reading-1863.jpg!Large.jpg,Realism,portrait,oil|canvas,female-portraits|reading-and-writing|Lady|Sitting,"Tretyakov Gallery, Moscow, Russia",,,
https://www.wikiart.org/en/ilya-repin/the-blond-portrait-of-tevashova-1898,1898,,1898,https://uploads0.wikiart.org/images/ilya-repin/the-blond-portrait-of-tevashova-1898.jpg!Large.jpg,Realism,portrait,oil|canvas,Lady,,,,
https://www.wikiart.org/en/erik-bulatov/our-time-has-come,,,,https://uploads2.wikiart.org/00165/images/erik-bulatov/our-time-has-come.jpg,Photorealism|Conceptual Art,figurative,,,,,,
