url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Location,Media,Series,Period,Theme
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-4,,,,https://uploads5.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-4.jpg!Large.jpg,Art Nouveau (Modern),design,Holy places|Window|Place of worship|Chapel|Church|Religious institute,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-5,,,,https://uploads5.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-5.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Holy places|Place of worship|Cathedral|Church|Religious institute,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-6,,,,https://uploads5.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-6.jpg!Large.jpg,Art Nouveau (Modern),design,Holy places|Religious institute|Window|Place of worship|Chapel|Clergy|Church,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-7,,,,https://uploads5.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-7.jpg!Large.jpg,Art Nouveau (Modern),design,Holy places|Window|Religious institute,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-8,,,,https://uploads5.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-8.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Holy places|Place of worship|Chapel|Arch|Religious institute|Medieval architecture,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-9,,,,https://uploads5.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-9.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Holy places|Place of worship|Chapel|Church|Cathedral|Religious institute,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-10,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-10.jpg!Large.jpg,Art Nouveau (Modern),design,Place of worship|Window|Chapel|Religious institute|Church|Shrine|Cathedral,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-11,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-11.jpg!Large.jpg,Art Nouveau (Modern),design,Place of worship|Window|Chapel|Religious institute,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-12,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-12.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Place of worship|Chapel,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-13,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-13.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Holy places|Religious institute|Chapel|Place of worship,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-14,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-14.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Religious item|Place of worship|Baptistery|Religious institute,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-15,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-15.jpg!Large.jpg,Art Nouveau (Modern),design,Window|Building|Byzantine architecture,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/windows-church-of-the-covenant-boston-16,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/windows-church-of-the-covenant-boston-16.jpg!Large.jpg,Art Nouveau (Modern),design,Window,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/cruet-set,,,,https://uploads1.wikiart.org/images/louis-comfort-tiffany/cruet-set.jpg,Art Nouveau (Modern),design|utensil,Serveware|Tableware|Punch bowl,,,,,
https://www.wikiart.org/en/louis-comfort-tiffany/tiffany-window,,,,https://uploads7.wikiart.org/images/louis-comfort-tiffany/tiffany-window.jpg!Large.jpg,Art Nouveau (Modern),design,Window,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/untitled-bodrum-turkey,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/untitled-bodrum-turkey.jpg!Large.jpg,Art Nouveau (Modern),marina,Vehicle|Sailing ship|Boat|Galiot|Flagship|Watercraft|Ship of the line|East indiaman|First-rate,,,,,
https://www.wikiart.org/en/louis-comfort-tiffany/writing-table-from-the-henry-g-marquand-residence,,,,https://uploads6.wikiart.org/images/louis-comfort-tiffany/writing-table-from-the-henry-g-marquand-residence.jpg!Large.jpg,Art Nouveau (Modern),design|furniture,Furniture|End table|Table|Drawer|Wood stain|Antique|Desk,,,Tiffany furniture,,
https://www.wikiart.org/en/louis-comfort-tiffany/dragonfly-pin,,,,https://uploads5.wikiart.org/images/louis-comfort-tiffany/dragonfly-pin.jpg,Art Nouveau (Modern),design,Dragonfly|Dragonflies and damseflies|Insect|Turquoise|Wing|Organism,,,,,
