url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/saul-steinberg/paris-1984,1984,,1984,https://uploads4.wikiart.org/images/saul-steinberg/paris-1984.jpg,Expressionism|Surrealism,cityscape,,,,,,
https://www.wikiart.org/en/edouard-manet/peaches-1882,1882,Paris,"1882; Paris, France|Paris|1882",https://uploads6.wikiart.org/images/edouard-manet/peaches-1882.jpg!Large.jpg,Impressionism,still life,fruits-and-vegetables|Still life photography|European plum|Apricot|Fruit|Peach,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/jacek-yerka/the-unexpected-attack-of-winter-2008,2008,,2008; Poland|2008,https://uploads1.wikiart.org/images/jacek-yerka/the-unexpected-attack-of-winter-2008.jpg!Large.jpg,Surrealism,landscape,winter|gates-and-towers|Arch,pastel,,,,
https://www.wikiart.org/en/jammie-holmes/ushers-2020,2020,,2020,https://uploads7.wikiart.org/00320/images/jammie-holmes/ushers.jpg!Large.jpg,Neo-Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/sergey-solomko/love-talk,,,,https://uploads3.wikiart.org/images/sergey-solomko/love-talk.jpg,Art Nouveau (Modern),genre painting,couples,,,,,
https://www.wikiart.org/en/alexander-roitburd/untitled-2006-1,2006,,2006,https://uploads0.wikiart.org/00155/images/alexander-roitburd/untitled1.jpg!Large.jpg,Transavantgarde,figurative,,,,,,
https://www.wikiart.org/en/pierre-auguste-renoir/landscape-near-cagnes-1,1910,,1910,https://uploads7.wikiart.org/images/pierre-auguste-renoir/landscape-near-cagnes-1.jpg!Large.jpg,Impressionism,landscape,Tree,oil|canvas,Private Collection,Later Years,,
https://www.wikiart.org/en/piero-manzoni/achrome-1962-2,1962,,1962,https://uploads7.wikiart.org/images/piero-manzoni/achrome-1962-2.jpg,Spatialism,installation,,,,,,
https://www.wikiart.org/en/samuel-palmer/view-at-tintagel-1848,1848,,1848,https://uploads6.wikiart.org/images/samuel-palmer/view-at-tintagel-1848.jpg!Large.jpg,Romanticism,landscape,Cliff|Rock|Outcrop|Terrain|Formation|Badlands|Bedrock|Geological phenomenon,,,,,
https://www.wikiart.org/en/roger-weik/number-235-2014,2014,Los Angeles,"2014; Los Angeles, United States|Los Angeles|2014",https://uploads6.wikiart.org/images/roger-weik/number-235-2014.jpg!Large.jpg,Abstract Expressionism,abstract,Water|Dress|Monochrome photography|monochrome,,,,,
https://www.wikiart.org/en/ilya-repin/raising-of-jairus-daughter2-1871,1871,,1871,https://uploads5.wikiart.org/images/ilya-repin/raising-of-jairus-daughter2-1871.jpg!Large.jpg,Realism,religious painting,Prophet,,,,,
https://www.wikiart.org/en/max-ernst/snow-flowers-1929,1929,Paris,"Paris|1929; Paris, France|1929",https://uploads7.wikiart.org/images/max-ernst/snow-flowers-1929.jpg!Large.jpg,Dada,abstract,Organism,oil|canvas,Private Collection,First French period,,
https://www.wikiart.org/en/childe-hassam/hassam-childe-fifth-avenue-at-washington-square-sun,,,,https://uploads0.wikiart.org/images/childe-hassam/hassam-childe-fifth-avenue-at-washington-square-sun.jpg!Large.jpg,Impressionism,genre painting,streets-and-squares|houses-and-buildings|roads-and-vehicles|Tree,,,,,
https://www.wikiart.org/en/thomas-jones-barker/a-successful-hunt,,,,https://uploads8.wikiart.org/images/thomas-jones-barker/a-successful-hunt.jpg!Large.jpg,Romanticism,genre painting,Mythology,,,,,
https://www.wikiart.org/en/emile-galle/fireflies-1900,1900,,1900,https://uploads5.wikiart.org/images/emile-galle/fireflies-1900.jpg,Art Nouveau (Modern),design,Glass bottle|Bottle|Product|Perfume|Vase|Decanter,,,,,
https://www.wikiart.org/en/paul-albert-besnard/cast-of-a-net-le-coup-de-filet-1900,1900,,1900,https://uploads0.wikiart.org/00272/images/paul-albert-besnard/albert-besnard-cast-of-a-net-le-coup-de-filet-1900-nga-83860.jpg!Large.jpg,Impressionism,symbolic painting,,etching,,,,
https://www.wikiart.org/en/francis-a-willey/remembering-kiki-2003,2003,Edmonton / Edmonton,"2003|Edmonton / Edmonton|2003; Edmonton / Edmonton, Canada",https://uploads1.wikiart.org/00243/images/francis-a-willey/francisawilley-remembering-kiki.jpg!Large.jpg,,portrait|photo,Kiki-de-Montparnasse|Hair|Face|Lady|Beauty|Head|monochrome|Monochrome photography,photography,,,,
https://www.wikiart.org/en/james-bishop/avant-le-jour-1986,1986,,1986,https://uploads1.wikiart.org/images/james-bishop/avant-le-jour-1986.jpg,Minimalism,abstract,Orange|Beige|Rectangle,,,,,
https://www.wikiart.org/en/fernand-leger/study-for-the-bathers,,,,https://uploads6.wikiart.org/images/fernand-leger/study-for-the-bathers.jpg!Large.jpg,Naïve Art (Primitivism),sketch and study,designs-and-sketches|leisure-and-sleep|Sketch,,"Musee National Fernand Leger, Biot, France",,,
https://www.wikiart.org/en/ilya-repin/religious-procession-1877,1877,,1877,https://uploads7.wikiart.org/images/ilya-repin/religious-procession-1877.jpg!Large.jpg,Realism,genre painting,,,,,,
https://www.wikiart.org/en/boris-grigoriev/dushka-1917,1917,,1917,https://uploads7.wikiart.org/images/boris-grigoriev/dushka-1917.jpg!Large.jpg,Expressionism,portrait,,,,,,
https://www.wikiart.org/en/gerolamo-induno/the-introduction-of-the-engaged-couple,1854,,1854,https://uploads2.wikiart.org/00362/images/gerolamo-induno/5404-charlotte-corday-in-attesa-dell-esecuzione-1.jpg!Large.jpg,Romanticism,history painting,Charlotte-Corday|French-Revolution|1850s paintings from Italy,,,,,
https://www.wikiart.org/en/alexandre-cabanel/study-for-the-death-of-moses-1850,1850,,1850,https://uploads3.wikiart.org/00483/images/alexandre-cabanel/img-0320.jpeg!Large.jpeg,Academicism,sketch and study,Old-Testament|birth-and-death|Death|Moses|angels-and-archangels|Angel,oil,,,,
