url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Period,Media,Theme,Location,Series
https://www.wikiart.org/en/martiros-sarian/my-family-1929,1929,,https://uploads1.wikiart.org/images/martiros-saryan/my-family-1929.jpg!Large.jpg,1929,Expressionism,portrait,family-portraits,,oil|canvas,,"Tretyakov Gallery, Moscow, Russia",
https://www.wikiart.org/en/marcel-duchamp/portrait-of-dr-dumouchel-1910,1910,,https://uploads6.wikiart.org/images/marcel-duchamp/portrait-of-dr-dumouchel-1910.jpg!Large.jpg,1910|1910; France,Post-Impressionism,portrait,male-portraits,,oil|canvas,,"Philadelphia Museum of Art, Philadelphia, PA, US",
https://www.wikiart.org/en/juan-gris/fruit-bowl-with-bottle,,,https://uploads3.wikiart.org/images/juan-gris/fruit-bowl-with-bottle.jpg!Large.jpg,,Synthetic Cubism,still life,Circle,,,,,
https://www.wikiart.org/en/stanley-spencer/hilda-unity-and-dolls-1937,1937,,https://uploads4.wikiart.org/images/stanley-spencer/hilda-unity-and-dolls-1937.jpg!Large.jpg,1937,Neo-Romanticism,portrait,family-portraits|children portraits|People,,oil|canvas,,,
https://www.wikiart.org/en/aubrey-beardsley/design-of-initial-v-1,,,https://uploads0.wikiart.org/images/aubrey-beardsley/design-of-initial-v-1.jpg!Large.jpg,,Art Nouveau (Modern),design,designs-and-sketches,,,,,
https://www.wikiart.org/en/istvan-ilosvai-varga/oranges-and-cactus-1962,1962,,https://uploads5.wikiart.org/images/istvan-ilosvai-varga/oranges-and-cactus-1962.jpg,1962,Post-Impressionism,still life,Still life photography,,,,,
https://www.wikiart.org/en/norman-bluhm/claudia-1975,1975,,https://uploads4.wikiart.org/images/norman-bluhm/claudia-1975.jpg,1975,Lyrical Abstraction,abstract,Violet,,,,,
https://www.wikiart.org/en/thomas-hart-benton/american-discovery-viewed-by-native-americans-1922,1922,,https://uploads2.wikiart.org/00216/images/thomas-hart-benton/benton-american-discovery-viewed-by-native-americans.jpg,1922,Regionalism,history painting,Mythology,,,,,
https://www.wikiart.org/en/grant-wood/seed-time-and-harvest-1937,1937,,https://uploads2.wikiart.org/images/grant-wood/seed-time-and-harvest-1937(1).jpg!Large.jpg,1937,Regionalism,genre painting,Agriculture|Grain|Harvest,,,,,
https://www.wikiart.org/en/will-barnet/december-2005,2005,,https://uploads4.wikiart.org/images/will-barnet/december-2005.jpg,2005; United States|2005,Indian Space painting,abstract,,,oil|canvas,,"Alexandre Gallery, New York CIty, NY, US",
https://www.wikiart.org/en/sue-coe/ghoster,,,https://uploads4.wikiart.org/images/sue-coe/ghoster.jpg!Large.jpg,,Social Realism,illustration,group-portraits|Text|Font,,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/gurzuf-mountain-landscape-1929,1929,,https://uploads1.wikiart.org/images/pyotr-konchalovsky/gurzuf-mountain-landscape-1929.jpg,1929,Post-Impressionism,landscape,Crimea|mountains|Gurzuf|Crimean-Mountains|Mountain,,,,,
https://www.wikiart.org/en/jacek-yerka/waiting-for-the-tram,2001,,https://uploads3.wikiart.org/images/jacek-yerka/waiting-for-the-tram.jpg!Large.jpg,2001|2001; Poland,Surrealism,landscape,roads-and-vehicles|waiting|Tree|Sky|Roof,,,,,
https://www.wikiart.org/en/jean-francois-millet/garden-scene,,,https://uploads3.wikiart.org/images/jean-francois-millet/garden-scene.jpg,,Realism,genre painting,pastoral-scenes|gardens-and-parks|Tree,,oil|canvas,,Private Collection,
https://www.wikiart.org/en/edouard-cortes/triumphal-arch-7,,,https://uploads1.wikiart.org/images/edouard-cortes/triumphal-arch-7.jpg,,Post-Impressionism,cityscape,winter|streets-and-squares|houses-and-buildings|Snow|Winter storm|Tree,,,,,
https://www.wikiart.org/en/john-atkinson-grimshaw/the-lady-of-shalott,1875,,https://uploads4.wikiart.org/images/john-atkinson-grimshaw/the-lady-of-shalott.jpg!Large.jpg,c.1875; United Kingdom|1875,Symbolism,literary painting,"boats-and-ships|fictional-characters|The-Lady-of-Shalott|Swan|Water bird|Water|morning|Ducks, geese and swans|Waterfowl",,oil|canvas,,,
