url,Create Date,Create Location,Style,image_url,Genre,Location,tags,Media,Date,Series,Period
https://www.wikiart.org/en/frank-mason/storm-at-sea-st-anthony-1964,1964,,Classical Realism,https://uploads6.wikiart.org/00314/images/frank-mason/storm-at-sea-1964.jpg!Large.jpg,religious painting,,,,1964,,
https://www.wikiart.org/en/frank-mason/the-changing-of-the-robes-st-anthony-1964,1964,,Classical Realism,https://uploads1.wikiart.org/00314/images/frank-mason/the-changing-of-the-robes-1964.jpg!Large.jpg,religious painting,,,,1964,,
https://www.wikiart.org/en/frank-mason/the-meeting-of-saint-anthony-and-saint-francis-st-anthony-1964,1964,,Classical Realism,https://uploads4.wikiart.org/00314/images/frank-mason/the-meeting-of-saint-anthony-and-saint-francis-1964.jpg!Large.jpg,religious painting,,Holy places,,1964,,
https://www.wikiart.org/en/frank-mason/the-first-temptation-st-anthony-1964,1964,,Classical Realism,https://uploads5.wikiart.org/00314/images/frank-mason/the-first-temptation-1964.jpg!Large.jpg,religious painting,,Holy places,,1964,,
https://www.wikiart.org/en/frank-mason/primavera-1964,1964,,Classical Realism,https://uploads3.wikiart.org/00314/images/frank-mason/primavera-1964.jpg!Large.jpg,nude painting (nu),,,,1964,,
https://www.wikiart.org/en/frank-mason/mary-magdalene-1964,1964,,Classical Realism,https://uploads8.wikiart.org/00314/images/frank-mason/mary-magdalene-1964.jpg!Large.jpg,nude painting (nu)|religious painting,,Black hair|Long hair|Flesh|Sitting,,1964,,
https://www.wikiart.org/en/frank-mason/persephone-1964,1964,,Classical Realism,https://uploads4.wikiart.org/00314/images/frank-mason/persephone-1964.jpg!Large.jpg,nude painting (nu),,Mythology|Human,,1964,,
https://www.wikiart.org/en/frank-mason/the-approaching-storm-going-home-1964,1964,,Classical Realism,https://uploads8.wikiart.org/00314/images/frank-mason/the-approaching-storm-going-home-1964.jpg!Large.jpg,landscape,,Nature|Natural landscape|Pasture|Grassland|Sky|Natural environment|Meadow|Rural area,,1964,,
https://www.wikiart.org/en/frank-mason/sicilian-girl-with-fruit-basket-1965,1965,,Classical Realism,https://uploads7.wikiart.org/00314/images/frank-mason/sicilian-girl-with-fruit-basket-1965.jpg!Large.jpg,genre painting,,,,1965,,
https://www.wikiart.org/en/frank-mason/lemon-grapes-and-wine-bottle-rome-1965,1965,,Classical Realism,https://uploads0.wikiart.org/00314/images/frank-mason/lemon-grapes-and-wine-bottle-rome-1965.jpg!Large.jpg,still life,,Still life photography,,1965,,
https://www.wikiart.org/en/frank-mason/going-home-brittany-1965,1965,,Realism|Classical Realism,https://uploads5.wikiart.org/00279/images/frank-mason/going-home-brittany.jpg!Large.jpg,cityscape,,Brittany,canvas|oil,1965,,
https://www.wikiart.org/en/frank-mason/passing-parade-1965,1965,,Classical Realism,https://uploads0.wikiart.org/00279/images/frank-mason/passing-parade.jpg!Large.jpg,genre painting|interior,,,canvas|oil,1965,,
https://www.wikiart.org/en/frank-mason/the-principessas-champions-1966,1966,,Classical Realism,https://uploads3.wikiart.org/00314/images/frank-mason/the-principessa-s-champions-1966.jpg!Large.jpg,genre painting,,,,1966,,
https://www.wikiart.org/en/frank-mason/anne-at-shuttered-window-anticoli-corrado-italy-1966,1966,,Classical Realism,https://uploads5.wikiart.org/00314/images/frank-mason/anne-at-shuttered-window-anticoli-corrado-italy-1966.jpg!Large.jpg,genre painting,,Window,,1966,,
https://www.wikiart.org/en/frank-mason/anne-and-italian-tutor-rome-1966-0,1966,,Classical Realism,https://uploads3.wikiart.org/00314/images/frank-mason/anne-and-italian-tutor-rome-1966.jpg!Large.jpg,genre painting,,,,1966,,
https://www.wikiart.org/en/frank-mason/memories-of-sicily-1966,1966,,Classical Realism,https://uploads3.wikiart.org/00314/images/frank-mason/memories-of-sicily-1966.jpg!Large.jpg,landscape,,Nature|Natural landscape|Sky|Tree,,1966,,
https://www.wikiart.org/en/frank-mason/anne-and-italian-tutor-rome-1966,1966,,Classical Realism,https://uploads4.wikiart.org/00279/images/frank-mason/anne-and-italian-tutor-rome.jpg!Large.jpg,genre painting,,,oil|canvas,1966,,
https://www.wikiart.org/en/frank-mason/the-bather-1967,1967,,Classical Realism,https://uploads4.wikiart.org/00314/images/frank-mason/the-bather-1967.jpg!Large.jpg,nude painting (nu),,Standing,,1967,,
https://www.wikiart.org/en/frank-mason/anne-reading-ouspensky-anticoli-corrado-italy-1967,1967,,Classical Realism,https://uploads3.wikiart.org/00314/images/frank-mason/anne-reading-ouspensky-anticoli-corrado-italy-1967.jpg!Large.jpg,genre painting,,Darkness,,1967,,
https://www.wikiart.org/en/frank-mason/lady-in-brown-1967,1967,,Classical Realism|Tenebrism,https://uploads8.wikiart.org/00279/images/frank-mason/lady-in-brown.jpg!Large.jpg,portrait,,,panel|oil,1967,,
https://www.wikiart.org/en/frank-mason/artists-studio-with-figure-1968,1968,,Classical Realism,https://uploads3.wikiart.org/00314/images/frank-mason/artist-s-studio-with-figure-1968.jpg!Large.jpg,interior,,Room,,1968,,
https://www.wikiart.org/en/frank-mason/claudia-1969,1969,,Classical Realism|Tenebrism,https://uploads1.wikiart.org/00314/images/frank-mason/claudia-1969.jpg!Large.jpg,nude painting (nu),,Human|Human body,,1969,,
https://www.wikiart.org/en/frank-mason/carroll-and-victoria-in-the-studio-1969,1969,,Classical Realism,https://uploads1.wikiart.org/00314/images/frank-mason/carroll-and-victoria-in-the-studio-1969.jpg!Large.jpg,genre painting,,Sitting,,1969,,
https://www.wikiart.org/en/frank-mason/the-white-tureen-1969,1969,,Classical Realism,https://uploads1.wikiart.org/00314/images/frank-mason/the-white-tureen-1969.jpg!Large.jpg,still life,,Still life photography,,1969,,
https://www.wikiart.org/en/frank-mason/winged-victory-1971,1971,,Classical Realism,https://uploads8.wikiart.org/00314/images/frank-mason/winged-victory-1971.jpg!Large.jpg,interior,,Room|Still life photography,,1971,,
https://www.wikiart.org/en/frank-mason/zeus-and-io-1972,1972,,Classical Realism,https://uploads5.wikiart.org/00314/images/frank-mason/zeus-and-io-1972.jpg!Large.jpg,mythological painting,,Human,,1972,,
https://www.wikiart.org/en/frank-mason/self-portrait-with-beret-1972,1972,,Classical Realism,https://uploads0.wikiart.org/00314/images/frank-mason/self-portrait-with-beret-1972.jpg!Large.jpg,portrait,,,,1972,,
https://www.wikiart.org/en/frank-mason/christ-healing-the-sick-1973,1973,,Classical Realism,https://uploads8.wikiart.org/00314/images/frank-mason/christ-healing-the-sick-1973.jpg!Large.jpg,religious painting,,Mythology,,1973,,
https://www.wikiart.org/en/frank-mason/gloria-in-excelsis-deo-1973,1973,,Classical Realism,https://uploads7.wikiart.org/00314/images/frank-mason/gloria-in-excelsis-deo-1973.jpg!Large.jpg,religious painting,,Mythology,,1973,,
https://www.wikiart.org/en/frank-mason/christ-and-the-woman-of-samaria-1973,1973,,Classical Realism|Tenebrism,https://uploads7.wikiart.org/00314/images/frank-mason/christ-and-the-woman-of-samaria-1973.jpg!Large.jpg,religious painting,,Darkness,,1973,,
https://www.wikiart.org/en/frank-mason/freedom-of-the-arts-1776-1974,1974,,Classical Realism,https://uploads0.wikiart.org/00314/images/frank-mason/freedom-of-the-arts-1776-1974.jpg!Large.jpg,allegorical painting,,,,1974,,
https://www.wikiart.org/en/frank-mason/marguerite-1975,1975,,Classical Realism,https://uploads4.wikiart.org/00314/images/frank-mason/marguerite-1975.jpg!Large.jpg,portrait,,Chin,,1975,,
https://www.wikiart.org/en/frank-mason/the-book-of-ages-1976,1976,,Classical Realism,https://uploads1.wikiart.org/00314/images/frank-mason/the-book-of-ages-1976.jpg!Large.jpg,still life,,Still life photography,,1976,,
https://www.wikiart.org/en/frank-mason/little-italy-1977,1977,,Classical Realism,https://uploads0.wikiart.org/00279/images/frank-mason/little-italy-frank-herbert-mason.jpg!Large.jpg,genre painting,"Hermitage Museum, Saint Petersburg, Russia",,oil|canvas,c.1977; United States|1977,,
https://www.wikiart.org/en/frank-mason/three-graces-1978,1978,,Classical Realism,https://uploads6.wikiart.org/00314/images/frank-mason/three-graces-1978.jpg!Large.jpg,mythological painting|nude painting (nu),,Human,,1978,,
https://www.wikiart.org/en/frank-mason/late-afternoon-tunisia-1978,1978,,Classical Realism,https://uploads7.wikiart.org/00314/images/frank-mason/late-afternoon-tunisia-1978.jpg!Large.jpg,landscape,,,,1978,,
https://www.wikiart.org/en/frank-mason/eleanor-1978,1978,,Classical Realism,https://uploads1.wikiart.org/00314/images/frank-mason/eleanor-1978.jpg!Large.jpg,portrait,,Sitting|Beauty|Long hair,,1978,,
https://www.wikiart.org/en/frank-mason/el-leton-flamenco-guitarist-1978,1978,,Classical Realism,https://uploads2.wikiart.org/00314/images/frank-mason/el-leton-flamenco-guitarist-1978.jpg,portrait,,Guitarist|Musician|Guitar|String instrument|Musical instrument|Plucked string instruments|String instrument accessory|Jazz guitarist,,1978,,
https://www.wikiart.org/en/frank-mason/singing-choir-of-della-robbia-1979,1979,,Classical Realism,https://uploads5.wikiart.org/00314/images/frank-mason/singing-choir-of-della-robbia-1979.jpg!Large.jpg,still life,,Still life photography|Fruit|Vegetable|Vegetarian food,,1979,,
https://www.wikiart.org/en/frank-mason/fortune-teller-1979,1979,,Classical Realism|Tenebrism,https://uploads0.wikiart.org/00279/images/frank-mason/fortune-teller.jpg!Large.jpg,portrait,,,oil|canvas,1979,,
https://www.wikiart.org/en/frank-mason/cape-hatteras-seascape-with-wylanta-and-joan-1980,1980,,Classical Realism,https://uploads2.wikiart.org/00314/images/frank-mason/cape-hatteras-seascape-with-wylanta-and-joan-1980.jpg!Large.jpg,genre painting,,Sea,,1980,,
https://www.wikiart.org/en/frank-mason/memorial-day-1981,1981,,Classical Realism,https://uploads6.wikiart.org/00314/images/frank-mason/memorial-day-1981.jpg!Large.jpg,still life,,Bird|Beak,,1981,,
https://www.wikiart.org/en/frank-mason/sunrise-cape-hatteras-1981,1981,,Classical Realism,https://uploads6.wikiart.org/00314/images/frank-mason/sunrise-cape-hatteras-1981.jpg!Large.jpg,landscape|cloudscape,,Sky|Horizon|Sea|Atmospheric phenomenon|morning|Calm|Shore,,1981,,
https://www.wikiart.org/en/frank-mason/girl-with-dore-bible-1982,1982,,Classical Realism,https://uploads5.wikiart.org/00314/images/frank-mason/girl-with-dore-bible-1982.jpg!Large.jpg,genre painting,,,,1982,,
