url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/camille-pissarro/apple-trees-and-poplars-in-the-setting-sun-1901,1901,,https://uploads8.wikiart.org/images/camille-pissarro/apple-trees-and-poplars-in-the-setting-sun-1901.jpg!Large.jpg,1901,Impressionism,landscape,Tree|Natural landscape|Woody plant|Plant|spring|Meadow,oil|canvas,"Musée Malraux (MuMa), Le Havre, France",,,
https://www.wikiart.org/en/john-armleder/furniture-sculpture-1990,1990,,https://uploads8.wikiart.org/images/john-armleder/furniture-sculpture-1990.jpg,1990,Neo-Geo,installation,Furniture|Pink|Chair|Room|Orange,,,,,
https://www.wikiart.org/en/alexander-ivanov/monticelli-near-tivoli-1843,1843,,https://uploads6.wikiart.org/images/alexander-ivanov/monticelli-near-tivoli-1843.jpg!Large.jpg,1843|1843; Russian Federation,Romanticism,landscape,Alps|mountains|Natural environment|Natural landscape|Vegetation|Grassland|Shrubland|Plant community|Grass|Ecoregion|Grass family|Prairie,,,,,
https://www.wikiart.org/en/vincent-van-gogh/zouave-sitting-whole-figure-1888,1888,"Arles, Bouches-du-Rhône",https://uploads2.wikiart.org/images/vincent-van-gogh/zouave-sitting-whole-figure-1888.jpg!Large.jpg,"Arles, Bouches-du-Rhône|1888; Arles, Bouches-du-Rhône, France|1888",Post-Impressionism,sketch and study,male-portraits|military-and-soldiers|Sitting|Sketch,paper|ink,"Van Gogh Museum, Amsterdam, Netherlands",,,
https://www.wikiart.org/en/jean-paul-lemieux/warwick-1950,1950,,https://uploads0.wikiart.org/images/jean-paul-lemieux/warwick-1950.jpg,1950,Regionalism,landscape,Rural area,,,,,
https://www.wikiart.org/en/alfred-freddy-krupa/bird-on-the-branch-1993,1993,,https://uploads2.wikiart.org/00237/images/alfred-freddy-krupa/843832-10200450980774710-1019004029-o-1.jpg!Large.jpg,1993|1993; Croatia,Post-Minimalism|Sumi-e (Suiboku-ga),animal painting,Branch|Bird,brush|ink,,,,
https://www.wikiart.org/en/boris-kustodiev/women-drinking-tea-1918,1918,,https://uploads1.wikiart.org/images/boris-kustodiev/women-drinking-tea-1918.jpg!Large.jpg,1918,Realism,sketch and study,female-portraits|Lady,,,,,
https://www.wikiart.org/en/anton-romako/portrait-of-a-young-man,,,https://uploads1.wikiart.org/00331/images/anton-romako/anton-romako-portrait-of-a-young-man.JPG!Large.JPG,,Biedermeier,portrait,male-portraits|Smoking,oil|canvas,"Residenzgalerie, Salzburg, Austria",,,
https://www.wikiart.org/en/tsuruko-yamazaki/tin-cans-1955-1,1955,,https://uploads2.wikiart.org/images/tsuruko-yamazaki/tin-cans-1955-1.jpg,1955,Conceptual Art,installation,Pink|Cylinder|Lipstick|Cosmetics|Material property,,,,,
https://www.wikiart.org/en/maria-fortuny/madame-gaye-1865,1865,,https://uploads5.wikiart.org/00277/images/maria-fortuny/1024px-madame-gaye-met-dp-13445-001.jpg!Large.jpg,1865,Realism,portrait,female-portraits,,,,,
https://www.wikiart.org/en/charles-bell/midsummer-dream-s-1986,1986,,https://uploads5.wikiart.org/images/charles-bell/midsummer-dream-s-1986.jpg,1986,Photorealism,still life,,,,,,
https://www.wikiart.org/en/ettore-tito/market-scene,,,https://uploads3.wikiart.org/00333/images/ettore-tito/market-scene.jpg!Large.jpg,,Realism,sketch and study,,mixed technique,,,,
https://www.wikiart.org/en/juan-gris/bowl-glass-and-newspaper,,,https://uploads5.wikiart.org/images/juan-gris/bowl-glass-and-newspaper.jpg!Large.jpg,,Synthetic Cubism,still life,,,,,,
https://www.wikiart.org/en/maurice-prendergast/beechmont,1905,,https://uploads0.wikiart.org/images/maurice-prendergast/beechmont.jpg!Large.jpg,1905,Impressionism,genre painting,boats-and-ships|leisure-and-sleep,watercolor|paper,,,,
https://www.wikiart.org/en/sean-scully/conversation-1986,1986,,https://uploads8.wikiart.org/images/sean-scully/conversation-1986.jpg,1986,Neo-Geo,abstract,Product|Wood stain|Hardwood|Rectangle|Floor|Tile|Line,,,,,
https://www.wikiart.org/en/chris-ofili/ovid-actaeon-2012,2012,,https://uploads0.wikiart.org/00287/images/chris-ofili/ovid-actaeon-2011-2012.jpg!Large.jpg,2012,Neo-Expressionism,figurative,,,,,,
https://www.wikiart.org/en/berthe-morisot/playing-in-the-sand,1882,,https://uploads5.wikiart.org/images/berthe-morisot/playing-in-the-sand.jpg!Large.jpg,1882,Impressionism,genre painting,games-and-sport|gardens-and-parks|forests-and-trees|1880s paintings from France,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/fred-sandback/untitled-sculptural-study-six-part-construction-detail-1977,1977,,https://uploads8.wikiart.org/images/fred-sandback/untitled-sculptural-study-six-part-construction-detail-1977.jpg!Large.jpg,1977,Minimalism,sculpture,Line|Parallel,,,,,
https://www.wikiart.org/en/sam-francis/untitled-sfp53-31-1953,1953,,https://uploads.wikiart.org/Content/images/FRAME-600x480.jpg,1953,Abstract Expressionism,abstract,Water|Azure,oil,,,,
https://www.wikiart.org/en/keisai-eisen/unuma-pl-53-from-a-facsimile-edition-of-sixty-nine-stations-of-the-kiso-highway,,,https://uploads0.wikiart.org/images/keisai-eisen/unuma-pl-53-from-a-facsimile-edition-of-sixty-nine-stations-of-the-kiso-highway.jpg!Large.jpg,,Ukiyo-e,landscape,,,,,,
https://www.wikiart.org/en/stanley-spencer/the-disrobing-of-christ-1922,1922,,https://uploads6.wikiart.org/images/stanley-spencer/the-disrobing-of-christ-1922.jpg!Large.jpg,1922,Neo-Romanticism,religious painting,Christianity|Jesus-Christ,oil|panel,,,,
https://www.wikiart.org/en/pierre-daura/untitled-church-in-snow-with-rose-sky-1939,1939,,https://uploads7.wikiart.org/images/pierre-daura/untitled-church-in-snow-with-rose-sky-1939.jpg,1939,Post-Impressionism,cityscape,,,,,,
https://www.wikiart.org/en/charles-hermans/spanish-beauty,,,https://uploads1.wikiart.org/images/charles-hermans/spanish-beauty.jpg!Large.jpg,,Realism,portrait,Lady,,,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-1969,1969,,https://uploads0.wikiart.org/images/zdislav-beksinski/untitled-467.jpg,1969; Poland|1969,Surrealism,symbolic painting,allegories-and-symbols|female-portraits|Arm,,,,,
https://www.wikiart.org/en/francesco-beda/portrait-of-an-oriental,,,https://uploads7.wikiart.org/00339/images/francesco-beda/francesco-beda-portrait-d-une-orientale-l-ventail.jpg!Large.jpg,,Orientalism|Academicism,portrait,,oil,,,,
https://www.wikiart.org/en/stanislaw-szukalski/broken-off-heynal-1959,1959,Burbank,https://uploads5.wikiart.org/00248/images/stanislaw-szukalski/broke.jpg!Large.jpg,"Burbank|1959|1959; Burbank, United States",Art Deco,illustration,,crayon,,,,
https://www.wikiart.org/en/rune-jansson/v-g-1983,1983,,https://uploads1.wikiart.org/images/rune-jansson/v-g-1983.jpg!Large.jpg,1983,Art Informel,abstract,Water,,,,,
https://www.wikiart.org/en/ivan-aivazovsky/constantinople-1880,1880,,https://uploads6.wikiart.org/images/ivan-aivazovsky/constantinople-1880.jpg!Large.jpg,1880,Romanticism,landscape,houses-and-buildings|boats-and-ships|seas-and-oceans|islands-and-bays|forests-and-trees|Sky|Constantinople,,,,,
https://www.wikiart.org/en/paul-gauguin/geese-in-the-meadow-1885,1885,,https://uploads8.wikiart.org/images/paul-gauguin/geese-in-the-meadow-1885.jpg!Large.jpg,1885|1885; France,Impressionism,landscape,birds|cottages-and-farmhouses|geese|Tree,oil|canvas,"Portland Museum of Art (PMA), Portland, ME, US",,Early works,
https://www.wikiart.org/en/pierre-auguste-renoir/the-daughters-of-paul-durand-ruel-marie-theresa-and-jeanne-1882,1882,,https://uploads2.wikiart.org/images/pierre-auguste-renoir/the-daughters-of-paul-durand-ruel-marie-theresa-and-jeanne-1882.jpg!Large.jpg,1882,Impressionism,portrait,,oil|canvas,"Chrysler Museum of Art, Norfolk, VA, US",,Rejection of Impressionism,
https://www.wikiart.org/en/harry-phelan-gibb/group-of-nude-women-bathers-1909,1909,,https://uploads8.wikiart.org/00194/images/harry-phelan-gibb/group-of-nude-women-bathers-1909.jpg!Large.jpg,1909,Post-Impressionism,nude painting (nu),,,,,,
https://www.wikiart.org/en/halonen-pekka/lehmia-vaisalanmaella,,,https://uploads3.wikiart.org/00223/images/halonen-pekka/pekka-halonen-lehmi-v-is-l-nm-ell-1918.jpg!Large.jpg,,Realism,landscape,,oil,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/reclining-model-1923-1,1923,,https://uploads2.wikiart.org/images/pyotr-konchalovsky/reclining-model-1923-1.jpg,1923,Post-Impressionism,nude painting (nu),female-nude|Figure drawing|Sketch|Organism,,,,,
https://www.wikiart.org/en/theo-van-rysselberghe/portrait-of-mme-van-rysselberghe-1907,1907,,https://uploads2.wikiart.org/images/theo-van-rysselberghe/portrait-of-mme-van-rysselberghe-1907.jpg,1907,Post-Impressionism,portrait,female-portraits|Sketch|Figure drawing|Facial hair,paper|charcoal,Private Collection,,,
https://www.wikiart.org/en/thomas-eakins/baby-at-play-1876,1876,,https://uploads2.wikiart.org/images/thomas-eakins/baby-at-play-1876.jpg!Large.jpg,1876,Realism,genre painting,children portraits|Adaptation,oil|canvas,,,,
https://www.wikiart.org/en/oswald-achenbach/in-front-of-the-colosseum,,,https://uploads1.wikiart.org/00314/images/oswald-achenbach/colosseum-constantinsbogen-oswald-achenbach.jpg!Large.jpg,,Romanticism,cityscape|genre painting,Holy places|Arch|Triumphal arch,,,,,
https://www.wikiart.org/en/frank-auerbach/portrait-of-julia,2000,,https://uploads3.wikiart.org/images/frank-auerbach/portrait-of-julia.jpg!Large.jpg,2000,Expressionism,portrait,Sketch|Line|Figure drawing,,,,,
https://www.wikiart.org/en/marc-chagall/moses-with-the-burning-bush-4,1963,,https://uploads4.wikiart.org/images/marc-chagall/moses-with-the-burning-bush-4.jpg!Large.jpg,1963|c.1963; France,Naïve Art (Primitivism),sketch and study,Moses|Hebrew-Bible|Judaism|Burning-Bush|Exodus|Organism,paper|indian ink|pastel,,,,
https://www.wikiart.org/en/pablo-picasso/academical-study,1895,,https://uploads1.wikiart.org/images/pablo-picasso/academical-study.jpg!Large.jpg,1895,Realism,nude painting (nu),male-nude|Leg|Sitting,oil|canvas,"Museu Picasso, Barcelona, Spain",,Early Years,
https://www.wikiart.org/en/t-c-steele/on-the-muscatatuck-1886,1886,,https://uploads5.wikiart.org/images/t-c-steele/on-the-muscatatuck-1886.jpg!Large.jpg,1886,Impressionism,landscape,animals|rivers-and-waterfalls|cows|forests-and-trees|Bank|Natural landscape|Sky|River|Waterway|Water|Tree,oil|canvas,,,,
https://www.wikiart.org/en/basil-beattie/present-bound-1990,1990,,https://uploads3.wikiart.org/images/basil-beattie/present-bound-1990.jpg!Large.jpg,1990,Abstract Expressionism,abstract,Transparent material,oil|canvas|wax,"Tate Modern, London, UK",,,
https://www.wikiart.org/en/georges-braque/the-man-of-the-guitar,,,https://uploads7.wikiart.org/images/georges-braque/the-man-of-the-guitar.jpg!Large.jpg,,Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/theodor-severin-kittelsen/letter-to-skredsvig-1,,,https://uploads0.wikiart.org/images/theodor-severin-kittelsen/letter-to-skredsvig-1.jpg!Large.jpg,,Realism,sketch and study,Text|People|Font|Drinkware|Happy|Line|Friendship,,,,,
https://www.wikiart.org/en/theodoros-stamos/infinity-field-lefkada-series-1979,1979,,https://uploads3.wikiart.org/images/theodoros-stamos/infinity-field-lefkada-series-1979.jpg,1979,Abstract Expressionism,abstract,Leaf|Rug|Textile,,,,,
https://www.wikiart.org/en/jamie-wyeth/iris-at-sea-1994,1994,,https://uploads8.wikiart.org/images/jamie-wyeth/iris-at-sea-1994.jpg!Large.jpg,1994; United States|1994,Contemporary Realism,landscape,Flower|Plant,,,,,
https://www.wikiart.org/en/doreen-reid-nakamarra/untitled-marrapinti-2008,2008,,https://uploads4.wikiart.org/00109/images/doreen-reid-nakamarra/untitled-marrapinti-2008.jpg!Large.jpg,2008,Native Art,abstract,Beige|Brown,,,,,
https://www.wikiart.org/en/togyu-okumura/morning-glory-1950,1950,,https://uploads2.wikiart.org/images/togyu-okumura/morning-glory-1950.jpg,1950,Nihonga,flower painting,Botany|Leaf|Plant|Flower,,,,,
https://www.wikiart.org/en/thomas-riesner/feeling-faint-1-15x21cm-ink-xpaper-2022-2022,2022,,https://uploads5.wikiart.org/00434/images/thomas-riesner/feeling-faint-1-15-21cm-ink-paper-2022.jpg!Large.jpg,2022,Outsider art,abstract,,indian ink,,,,"ANGST, ENDZEIT,TRAUER,"
https://www.wikiart.org/en/donald-judd/untitled-1973-5,1973,,https://uploads6.wikiart.org/00336/images/donald-judd/untitled-1973-4.jpg!Large.jpg,1973,Minimalism,sculpture,,,,,,
https://www.wikiart.org/en/gerard-sekoto/the-artist-s-mother-and-stepfather,,,https://uploads0.wikiart.org/images/gerard-sekoto/the-artist-s-mother-and-stepfather.jpg,,Social Realism,portrait,,,,,,
https://www.wikiart.org/en/jean-hugo/interieur-d-un-bar-1917,1917,,https://uploads3.wikiart.org/images/jean-hugo/interieur-d-un-bar-1917.jpg,1917,Fauvism,genre painting,,,,,,
https://www.wikiart.org/en/rembrandt-peale/richard-colgate-dale-jr-and-elizabeth-woodruff-dale,,,https://uploads1.wikiart.org/00380/images/rembrandt-peale/portraits-of-richard-colgate-dale-jr-and-elizabeth-woodruff-dale-by-rembrandt-peale.jpg,,Neoclassicism,portrait,,,,,,
https://www.wikiart.org/en/claude-monet/water-lilies-1919-5,1919,,https://uploads3.wikiart.org/images/claude-monet/water-lilies-1919-5.jpg!Large.jpg,1919,Impressionism,flower painting,Tree|Water|Woody plant|Reflection|Plant,,,Water Lilies,,
https://www.wikiart.org/en/philip-guston/the-pit,1976,,https://uploads1.wikiart.org/images/philip-guston/the-pit.jpg!Large.jpg,1976,Neo-Expressionism,figurative,allegories-and-symbols,,,Cyclops,,
https://www.wikiart.org/en/yasuo-kuniyoshi/after-the-bath-1925,1925,,https://uploads5.wikiart.org/images/yasuo-kuniyoshi/after-the-bath-1925.jpg,1925,Expressionism,nude painting (nu),Lady,,,,,
https://www.wikiart.org/en/martin-kippenberger/untitled-from-the-series-of-hand-painted-pictures-1992,1992,,https://uploads0.wikiart.org/images/martin-kippenberger/untitled-from-the-series-of-hand-painted-pictures-1992.jpg!Large.jpg,1992,Neo-Expressionism,figurative,Water|Footwear,,,,,
https://www.wikiart.org/en/maximilien-luce/maximilien-luce-notre-dame-de-paris-1900-1900,1900,,https://uploads3.wikiart.org/00179/images/maximilien-luce/maximilien-luce-notre-dame-de-paris-1900.jpg!Large.jpg,1900,Neo-Impressionism,cityscape,Landmark|Building|City|Medieval architecture,,,,,
https://www.wikiart.org/en/albert-marquet/the-apse-of-notre-dame-1901,1901,,https://uploads4.wikiart.org/images/albert-marquet/the-apse-of-notre-dame-1901.jpg!Large.jpg,1901,Post-Impressionism,cityscape,,,,,,
