url,Create Date,Create Location,image_url,Date,Genre,Media,tags,Style,Location,Series,Period,Theme
https://www.wikiart.org/en/umberto-boccioni/landscape-mountains-1916,1916,Milan,https://uploads3.wikiart.org/images/umberto-boccioni/landscape-mountains-1916.jpg!Large.jpg,"Milan|1916; Milan, Italy|1916",landscape,,forests-and-trees|Flower|Plant|Leaf,Cubism,,,,
https://www.wikiart.org/en/vasily-tropinin/portrait-of-e-p-protasyeva,,,https://uploads4.wikiart.org/images/vasily-tropinin/portrait-of-e-p-protasyeva.jpg!Large.jpg,,portrait,oil|canvas,female-portraits|Lady,Realism,,,,
https://www.wikiart.org/en/simone-forti/untitled-from-large-illumination-drawings-1972-0,1972,,https://uploads3.wikiart.org/00334/images/simone-forti/untitled-from-large-illumination-drawings-1972-1.jpg,1972,sketch and study,,,Minimalism,,,,
https://www.wikiart.org/en/robert-delaunay/simultaneous-windows-2nd-motif-1st-part,1912,,https://uploads7.wikiart.org/images/robert-delaunay/simultaneous-windows-2nd-motif-1st-part.jpg,1912,abstract,,Textile,Orphism,"Solomon R. Guggenheim Museum, New York City, NY, US",,,
https://www.wikiart.org/en/john-simpson/the-captive-slave-1827,1827,,https://uploads6.wikiart.org/images/john-simpson/the-captive-slave-1827.jpg!Large.jpg,1827,portrait,oil|canvas,Sitting,Romanticism,"Art Institute of Chicago, Chicago, IL, US",,,
https://www.wikiart.org/en/pyotr-konchalovsky/abramtsevo-the-trees-1920,1920,,https://uploads5.wikiart.org/images/pyotr-konchalovsky/abramtsevo-the-trees-1920.jpg,1920,sketch and study,pencil|charcoal|paper,gardens-and-parks|Tree|Sketch|Plant|Botany|Grass family,Cubism,,,,
https://www.wikiart.org/en/morteza-katouzian/children-in-the-alley,1997,,https://uploads5.wikiart.org/00107/images/morteza-katouzian/d2.jpg!Large.jpg,"1997; Iran, Islamic Republic of|1997",genre painting,oil|canvas,children|children portraits,Realism,,,,
https://www.wikiart.org/en/vincent-van-gogh/head-of-a-woman-with-her-hair-loose-1885,1885,Antwerp,https://uploads4.wikiart.org/images/vincent-van-gogh/head-of-a-woman-with-her-hair-loose-1885(1).jpg!Large.jpg,"Antwerp|1885|1885; Antwerp, Belgium",portrait,oil|canvas,female-portraits|Face|Head|Chin|Lady|Eye,Realism,"Van Gogh Museum, Amsterdam, Netherlands",,,
https://www.wikiart.org/en/karl-bryullov/portrait-of-m-a-beck-and-her-daughter-m-i-beck,1840,,https://uploads4.wikiart.org/images/karl-bryullov/portrait-of-m-a-beck-and-her-daughter-m-i-beck.jpg!Large.jpg,1840,portrait,oil|canvas,family-portraits|female-portraits|double-portraits|children portraits|Lady,Romanticism,"Tretyakov Gallery, Moscow, Russia",,,
https://www.wikiart.org/en/mstislav-dobuzhinsky/vision-of-the-city,,,https://uploads0.wikiart.org/images/mstislav-dobuzhinsky/vision-of-the-city.jpg,,cityscape,,,Symbolism,,,,
https://www.wikiart.org/en/utagawa-kuniyoshi/the-chaste-woman-of-katsushika,,,https://uploads1.wikiart.org/images/utagawa-kuniyoshi/the-chaste-woman-of-katsushika.jpg!Large.jpg,,portrait,,female-portraits|Geisha,Ukiyo-e,,,,
https://www.wikiart.org/en/viktor-vasnetsov/sedge-1880,1880,,https://uploads7.wikiart.org/images/viktor-vasnetsov/sedge-1880.jpg!Large.jpg,1880,still life,,flowers-and-plants|Tree|Vegetation|Grass|Plant|Grass family|Botany|Swamp|Leaf|Marsh,Realism,,,,
https://www.wikiart.org/en/joan-ponc/untitled-1948,1948,,https://uploads2.wikiart.org/images/joan-ponc/untitled-1948.jpg,1948,figurative,,,Surrealism,,,,
https://www.wikiart.org/en/tarsila-do-amaral/portrait-of-luis-martins-i-1937,1937,,https://uploads2.wikiart.org/00453/images/tarsila-do-amaral/1937retrato-de-luis-martins-i-1933-1937.jpg!Large.jpg,1937,,,,,,,,
https://www.wikiart.org/en/alfred-wallis/brigantine-with-figurehead,,,https://uploads2.wikiart.org/images/alfred-wallis/brigantine-with-figurehead.jpg!Large.jpg,,marina,,Vehicle|Sailing ship|Boat|Barquentine|Clipper|Flagship|Tall ship|Fluyt|East indiaman|Mast,Naïve Art (Primitivism),,,,
https://www.wikiart.org/en/kiyokata-kaburagi/unknown-title-1,,,https://uploads4.wikiart.org/images/kiyokata-kaburagi/unknown-title-1.jpg!Large.jpg,,bijinga,,,Shin-hanga,,,,
https://www.wikiart.org/en/jean-paul-riopelle/triptyque-orange,,,https://uploads6.wikiart.org/images/jean-paul-riopelle/triptyque-orange.jpg!Large.jpg,,abstract,,Tree,Abstract Expressionism,,,,
https://www.wikiart.org/en/andreas-achenbach/norwegian-landscape-with-angler,,,https://uploads1.wikiart.org/00313/images/andreas-achenbach/andreas-achenbach-norwegische-landschaft-mit-angler.jpg!Large.jpg,,landscape,oil|canvas,Natural landscape|Sky|Bank|morning,Romanticism,,,,
https://www.wikiart.org/en/honore-daumier/clytemnestra-pushed-by-mimi-veron-rachel,,,https://uploads7.wikiart.org/images/honore-daumier/clytemnestra-pushed-by-mimi-veron-rachel.jpg,,caricature,,group-portraits,Realism,"Château de Compiègne, Compiègne, France",,,
https://www.wikiart.org/en/alberto-magnelli/explosion-lyrique-no-c-1918,1918,,https://uploads5.wikiart.org/images/alberto-magnelli/explosion-lyrique-no-c-1918.jpg,1918,genre painting,,,Expressionism|Cubism,,,,
https://www.wikiart.org/en/william-shayer/bargaining-for-the-catch,,,https://uploads1.wikiart.org/images/william-shayer/bargaining-for-the-catch.jpg!Large.jpg,,genre painting,oil|canvas,group-portraits|boats-and-ships|seas-and-oceans,Romanticism,Private Collection,,,
https://www.wikiart.org/en/marcel-janco/caf-concert-1927,1927,,https://uploads8.wikiart.org/images/marcel-janco/caf-concert-1927.jpg,1927,genre painting,oil,,Cubism,,,,
https://www.wikiart.org/en/childe-hassam/sailing-ship-locked-in-ice-1,1893,,https://uploads4.wikiart.org/images/childe-hassam/sailing-ship-locked-in-ice-1.jpg!Large.jpg,1893,landscape,,boats-and-ships|seas-and-oceans|Water|Vehicle|Boat,Impressionism,,,,
https://www.wikiart.org/en/nasreddine-dinet/fight-around-a-sou-1889,1889,,https://uploads5.wikiart.org/00297/images/nasreddine-dinet/combat-autour-d-un-sou.jpg,1889,genre painting|battle painting,oil|canvas,Mythology,Orientalism,,,,
https://www.wikiart.org/en/antonio-jacobsen/sappho-vs-livonia-americas-cup-1871,,,https://uploads5.wikiart.org/images/antonio-jacobsen/sappho-vs-livonia-americas-cup-1871.jpg!Large.jpg,,marina,,Vehicle|Boat|Sail|Sailing ship|Sailboat|Schooner|Watercraft|Barquentine|Sloop-of-war|Sailing,Realism,,,,
https://www.wikiart.org/en/jose-ferraz-de-almeida-junior/silvino-egydio-de-souza-aranha-1881,1881,,https://uploads0.wikiart.org/images/jose-ferraz-de-almeida-junior/silvino-egydio-de-souza-aranha-1881.jpg!Large.jpg,1881,portrait,,Chin|Forehead|Cheek|Gentleman,Academicism,"Museo de Arte de Sao Paulo (MASP), Sao Paulo, Brazil",,,
https://www.wikiart.org/en/rik-wouters/the-flute-player-1914,1914,,https://uploads3.wikiart.org/images/rik-wouters/the-flute-player-1914.jpg,1914,genre painting,,,Fauvism,,,,
https://www.wikiart.org/en/edward-wadsworth/honfleur-france-entrance-to-the-harbour-1939,1939,,https://uploads7.wikiart.org/images/edward-wadsworth/honfleur-france-entrance-to-the-harbour-1939(1).jpg,1939,marina,,Boat|Vehicle|Windmill|Frigate|Watercraft,Surrealism|Metaphysical art,,,,
https://www.wikiart.org/en/james-weeks/still-life-with-crab-1951,1951,,https://uploads7.wikiart.org/images/james-weeks/still-life-with-crab-1951.jpg,1951,still life,,Orange,Neo-Expressionism,,,,
https://www.wikiart.org/en/theodor-pallady/strada-sfin-ii-apostoli-1949,1949,,https://uploads6.wikiart.org/images/theodor-pallady/strada-sfin-ii-apostoli-1949.jpg!Large.jpg,1949,cityscape,,Sketch,Impressionism,,,,
https://www.wikiart.org/en/anne-appleby/winter-aspen-2000,2000,,https://uploads0.wikiart.org/images/anne-appleby/winter-aspen-2000.jpg,2000,abstract,,Beige,Color Field Painting,,,,
https://www.wikiart.org/en/aubrey-beardsley/juvenal-scourging-woman,1896,,https://uploads2.wikiart.org/images/aubrey-beardsley/juvenal-scourging-woman.jpg!Large.jpg,1896,illustration,,couples|Leg|Standing|Arm|Human leg|Joint|Muscle|Male|Human,Art Nouveau (Modern),,,,
https://www.wikiart.org/en/robert-delaunay/window-eiffel-tower,1910,,https://uploads5.wikiart.org/images/robert-delaunay/window-eiffel-tower.jpg,1910,cityscape,,houses-and-buildings|gates-and-towers,Orphism,"Staatliche Kunsthalle Karlsruhe, Karlsruhe, Germany",,,
https://www.wikiart.org/en/ivan-generalic/masquerade-in-winter-1966,1966,,https://uploads1.wikiart.org/images/ivan-generalic/masquerade-in-winter-1966.jpg,1966,genre painting,,,Naïve Art (Primitivism),,,,
https://www.wikiart.org/en/felix-vallotton/poster-ah-la-p-la-p-la-pepini-re-1898,1898,,https://uploads5.wikiart.org/images/felix-vallotton/poster-ah-la-p-la-p-la-pepini-re-1898.jpg,1898,poster,,group-portraits|posters-and-advertisements|Text,Art Nouveau (Modern),,,,
https://www.wikiart.org/en/pierre-auguste-renoir/bouquet-of-roses-in-a-blue-vase-1892,1892,,https://uploads2.wikiart.org/images/pierre-auguste-renoir/bouquet-of-roses-in-a-blue-vase-1892.jpg!Large.jpg,1892,flower painting,oil,Still life photography|Garden roses|Flower|Plant,Impressionism,Private Collection,,Later Years,
https://www.wikiart.org/en/vasily-perov/christ-in-gethsemane,,,https://uploads4.wikiart.org/images/vasily-perov/christ-in-gethsemane.jpg!Large.jpg,,religious painting,,Christianity|Jesus-Christ,Realism,,,,
https://www.wikiart.org/en/zinaida-serebriakova/the-port-of-collioure-1930,1930,,https://uploads0.wikiart.org/images/zinaida-serebriakova/the-port-of-collioure-1930.jpg!Large.jpg,1930,cityscape,,boats-and-ships,Expressionism,,,,
https://www.wikiart.org/en/paula-klien/blue-node-2017,2017,,https://uploads8.wikiart.org/00215/images/paula-klien/img-paula-klien-23-blue-node.jpg!Large.jpg,2017|2017; Brazil,abstract,ink|canvas,Sky|Brown,Lyrical Abstraction,,,,
https://www.wikiart.org/en/jacob-kassay/untitled-2009,2009,,https://uploads5.wikiart.org/images/jacob-kassay/untitled-2009.jpg,2009,abstract,,,Neo-Minimalism,,,,
https://www.wikiart.org/en/gerard-sekoto/the-evening-prayer-1942,1942,,https://uploads7.wikiart.org/images/gerard-sekoto/the-evening-prayer-1942.jpg,1942,genre painting,,,Social Realism,,,,
https://www.wikiart.org/en/rene-magritte/georgette-at-the-piano-1923,1923,Brussels,https://uploads6.wikiart.org/images/rene-magritte/georgette-at-the-piano-1923(1).jpg!Large.jpg,"Brussels|1923; Brussels, Belgium|1923",genre painting,oil|canvas,musical-instruments|Pianist,Cubism,"Brachot Gallery, Brussels, Belgium",,Early years,
https://www.wikiart.org/en/henri-matisse/laurette-in-green-in-a-pink-chair-1917,1917,,https://uploads5.wikiart.org/images/henri-matisse/laurette-in-green-in-a-pink-chair-1917.jpg!Large.jpg,1917,portrait,,Lady|Black hair|Sitting,Post-Impressionism,,,,
https://www.wikiart.org/en/bela-czobel/czobel-bela-dinnyes-csendelet,,,https://uploads7.wikiart.org/00387/images/bela-czobel/czobel-bela-dinny-s-csend-let.JPG!Large.JPG,,,,,,,,,
https://www.wikiart.org/en/may-wilson/untitled-broom,,,https://uploads5.wikiart.org/images/may-wilson/untitled-broom.jpg!Large.jpg,,sculpture,,,Neo-Dada|Pop Art,,,,
https://www.wikiart.org/en/toshusai-sharaku/kabuki-actor-bando-mitsugoro-ii-as-the-farmer-fukakusa-no-jirosaku-1795,1795,,https://uploads5.wikiart.org/00134/images/toshusai-sharaku/sharaku-1794-band-mitsugor-ii-as-the-farmer-fukakusa-no-jir-saku.jpg,1795,yakusha-e,woodblock print,,Ukiyo-e,,,,
https://www.wikiart.org/en/michelangelo-pistoletto/the-form-of-the-mirror-1978,1978,,https://uploads3.wikiart.org/images/michelangelo-pistoletto/the-form-of-the-mirror-1978.jpg,1978,installation,,Photograph|Picture frame|Snapshot,Conceptual Art,,,,
