url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme,Share
https://www.wikiart.org/en/m-c-escher/emblemata-vase,1931,,1931,https://uploads4.wikiart.org/images/m-c-escher/emblemata-vase.jpg,Surrealism,illustration,,,"E.E.-Drijfhout. ""XXIV-Emblemata-dat-zijn-zinne-beelden""|Still life photography|Botany|Plant|Flower",,,,
https://www.wikiart.org/en/henri-martin/village-corner,,,,https://uploads7.wikiart.org/images/henri-martin/village-corner.jpg!Large.jpg,Post-Impressionism,cityscape,oil|canvas,,houses-and-buildings|Building|Sky|Medieval architecture,,,,
https://www.wikiart.org/en/william-balthazar-rose/death-of-the-cook-2017,2017,,2017,https://uploads7.wikiart.org/00290/images/william-balthazar-rose/death-of-the-cook.jpg!Large.jpg,Magic Realism,symbolic painting,,,,,,Disasters in the Kitchen,
https://www.wikiart.org/en/charles-francois-daubigny/the-banks-of-the-river-1,,,,https://uploads3.wikiart.org/images/charles-francois-daubigny/the-banks-of-the-river-1.jpg!Large.jpg,Realism,landscape,oil|panel,Private Collection,rivers-and-waterfalls|Sky,,,,
https://www.wikiart.org/en/henri-matisse/my-room-in-ajaccio-1889,1898,,1898,https://uploads6.wikiart.org/00134/images/henri-matisse/my-room-in-ajaccio-1889.jpg,Impressionism,interior,,,Room,,,,
https://www.wikiart.org/en/claude-monet/the-ball-shaped-tree-argenteuil,1876,,1876,https://uploads6.wikiart.org/images/claude-monet/the-ball-shaped-tree-argenteuil.jpg!Large.jpg,Impressionism,landscape,,,Reflection|Natural landscape|Nature|Sky|Water|Bank|Tree|Waterway|morning,,,,
https://www.wikiart.org/en/aleksandra-ekster/costume-design-1,,,,https://uploads5.wikiart.org/images/aleksandra-ekster/costume-design-1.jpg!Large.jpg,Cubo-Futurism,design,,,arts-and-crafts|clothing-and-textile|designs-and-sketches,,,,
https://www.wikiart.org/en/william-tucker/meru-i-1964,1964,,1964,https://uploads5.wikiart.org/images/william-tucker/meru-i-1964.jpg,Post-Minimalism,sculpture,,,Jigsaw puzzle|Product|Table,,,,
https://www.wikiart.org/en/vilhelms-purvitis/an-italianate-landscape,,,,https://uploads2.wikiart.org/images/vilhelms-purvitis/an-italianate-landscape.jpg,Impressionism,landscape,,,Natural landscape|Nature|Tree|Reflection|Leaf|autumn|Water|Biome,,,,
https://www.wikiart.org/en/julio-pomar/la-table-de-l-architecte-1977,1977,,1977,https://uploads3.wikiart.org/images/julio-pomar/la-table-de-l-architecte-1977.jpg!Large.jpg,Abstract Expressionism,abstract,,,Line,,,,
https://www.wikiart.org/en/grandma-moses/so-long-till-next-year-1960,1960,,1960,https://uploads3.wikiart.org/images/grandma-moses/so-long-till-next-year-1960.jpg!Large.jpg,Naïve Art (Primitivism),genre painting,,,Nature|Water|Sky|night|Tree|winter|Reflection|Moonlight|House,,,,
https://www.wikiart.org/en/alex-colville/woman-with-revolver-1987,1987,,1987,https://uploads0.wikiart.org/images/alex-colville/woman-with-revolver-1987.jpg!Large.jpg,Contemporary Realism,nude painting (nu),,,Arm|Leg|Joint|Human body|Statue,,,,
https://www.wikiart.org/en/paul-jenkins/not_detected_235687,,,,https://uploads3.wikiart.org/images/paul-jenkins/not_detected_235687.jpg!Large.jpg,Abstract Expressionism|Lyrical Abstraction,abstract,,,,,,,
https://www.wikiart.org/en/henri-matisse/woman-by-the-window-1920,1920,,1920,https://uploads8.wikiart.org/00135/images/henri-matisse/woman-by-the-window-1920.jpg!Large.jpg,Fauvism,genre painting,,,,,,,
https://www.wikiart.org/en/frederic-edwin-church/the-natural-bridge-virginia-1852,1852,,1852,https://uploads7.wikiart.org/images/frederic-edwin-church/the-natural-bridge-virginia-1852.jpg!Large.jpg,Romanticism,landscape,,,Natural arch|Formation|Nature|Arch|Devil's bridge|Rock|Sky|Geology,,,,
https://www.wikiart.org/en/haddon-sundbloom/all-a-girl-needs-1934,1934,,1934,https://uploads7.wikiart.org/00220/images/haddon-sundbloom/img.jpg!Large.jpg,Kitsch,genre painting,,,Sitting,,,,
https://www.wikiart.org/en/mark-tobey/illuminated-plane-1958,1958,,1958,https://uploads3.wikiart.org/images/mark-tobey/illuminated-plane-1958.jpg,Abstract Expressionism,abstract,,,,,,,
https://www.wikiart.org/en/michel-majerus/pornography-needs-you-2001,2001,,2001,https://uploads0.wikiart.org/00317/images/michel-majerus/pornography-needs-you-2001.jpg!Large.jpg,Neo-Pop Art,figurative,,,,,,,
https://www.wikiart.org/en/ernst-ludwig-kirchner/life-on-the-alpine-pasture,,,,https://uploads1.wikiart.org/images/ernst-ludwig-kirchner/life-on-the-alpine-pasture.jpg!Large.jpg,Expressionism,genre painting,,,countryside,,,,
https://www.wikiart.org/en/pierre-alechinsky/1,,,,https://uploads8.wikiart.org/images/pierre-alechinsky/1.jpg!Large.jpg,,figurative,,,,,,,
https://www.wikiart.org/en/gustave-caillebotte/study-for-le-pont-de-leurope-1876-1,1876,,1876,https://uploads6.wikiart.org/00301/images/gustave-caillebotte/study-for-le-pont-de-l-europe-c1876-1.jpg!Large.jpg,Impressionism,sketch and study,,,Bridge,,,,
https://www.wikiart.org/en/constantin-blendea/dialog-1976,1976,,1976,https://uploads0.wikiart.org/images/constantin-blendea/dialog-1976.jpg,Expressionism|Cubism,figurative,,,,,,,
https://www.wikiart.org/en/ellsworth-kelly/brooklyn-bridge-vii-1962,1962,,1962,https://uploads1.wikiart.org/images/ellsworth-kelly/brooklyn-bridge-vii-1962.jpg,Hard Edge Painting,abstract,,,Pattern|Line,,,,
https://www.wikiart.org/en/edgar-degas/dancer-adjusting-her-slipper-1885,1885,,1885,https://uploads7.wikiart.org/images/edgar-degas/dancer-adjusting-her-slipper-1885.jpg!Large.jpg,Impressionism,genre painting,,,1880s paintings from France,,,,
https://www.wikiart.org/en/asher-brown-durand/a-reminiscence-of-the-catskill-clove-1858,1858,,1858,https://uploads0.wikiart.org/00205/images/asher-brown-durand/a-reminiscence-of-the-catskill-clove-by-asher-b-durand-1858-oil-on-canvas-currier-museum-of-art.jpg!Large.jpg,Romanticism,landscape,,,Nature|Tree|Natural environment|Woodland|Forest|Natural landscape|Biome|sunlight|Northern hardwood forest,,,,
https://www.wikiart.org/en/will-barnet/not-detected-24,,,,https://uploads2.wikiart.org/images/will-barnet/not-detected-259577.jpg!Large.jpg,Pop Art,genre painting,,,reading-and-writing,,,,
https://www.wikiart.org/en/allen-ruppersberg/free-poetry-2006,2006,,2006,https://uploads5.wikiart.org/images/allen-ruppersberg/free-poetry-2006.jpg!Large.jpg,Conceptual Art,installation,,,Bench|Furniture|Table|Outdoor bench|Font|Rectangle,,,,
https://www.wikiart.org/en/paul-klee/southern-tunisian-gardens-1919,1919,,1919,https://uploads5.wikiart.org/images/paul-klee/southern-tunisian-gardens-1919(1).jpg!Large.jpg,Abstract Art,abstract,,,Textile|Rectangle,,Early Works,,
https://www.wikiart.org/en/juan-carlos-castagnino/noturno,,,,https://uploads1.wikiart.org/images/juan-carlos-castagnino/noturno.jpg!Large.jpg,New Realism,animal painting,,,,,,,
https://www.wikiart.org/en/louis-philippe-crepin/le-naufrage-de-deux-chaloupes-en-alaska-lors-de-lexpedition-la-perouse-en-1786-tableau-peint-pour-le-1806,1806,,1806,https://uploads3.wikiart.org/00266/images/louis-philippe-crepin/naufrage-des-chaloupes-de-la-p-rouse-en-1786.jpg!Large.jpg,Romanticism,marina|landscape,,,,,,,
https://www.wikiart.org/en/sven-lukin/tucson-1966,1966,,1966,https://uploads1.wikiart.org/images/sven-lukin/tucson-1966.jpg,Color Field Painting,sculpture,,,Orange|Material property,,,,
https://www.wikiart.org/en/arkhip-kuindzhi/steppe-in-the-evening,,,,https://uploads8.wikiart.org/images/arkhip-kuindzhi/steppe-in-the-evening.jpg!Large.jpg,Realism,landscape,oil|canvas,,deserts-and-steppes|rivers-and-waterfalls|Sky|Natural landscape|Water|Loch|Cloud|Sea|Horizon|Shore,,,,
https://www.wikiart.org/en/max-bill/fl-che-im-raum-von-einer-linie-begrenzt-1952,1952,,1952,https://uploads5.wikiart.org/images/max-bill/fl-che-im-raum-von-einer-linie-begrenzt-1952.jpg,Concretism,sculpture,,,,,,,
https://www.wikiart.org/en/kuzma-petrov-vodkin/sketch-makeup-of-satan-to-mock-diary-of-satan-by-l-andreev-1922,1922,,1922,https://uploads0.wikiart.org/images/kuzma-petrov-vodkin/sketch-makeup-of-satan-to-mock-diary-of-satan-by-l-andreev-1922.jpg!Large.jpg,Symbolism,design,,,Face|Chin|Head|Forehead|Cheek,,,,
https://www.wikiart.org/en/johan-hendrik-weissenbruch/landscape-with-windmill-near-schiedam-1873,1873,,1873,https://uploads4.wikiart.org/images/johan-hendrik-weissenbruch/landscape-with-windmill-near-schiedam-1873.jpg!Large.jpg,Realism,landscape,oil|canvas,"Museum Boijmans van Beuningen, Rotterdam, Netherlands",animals|mills-and-windmills|fields-and-plains|cows|Windmill|Mill|Pasture|Polder|Farm|Meadow|Rural area,,,,
https://www.wikiart.org/en/gustave-dore/don-quixote-112,,,,https://uploads8.wikiart.org/images/gustave-dore/don-quixote-112.jpg!Large.jpg,Romanticism,illustration,,,fictional-characters|Don-Quixote|Sancho-Panza|Stock photography,Don Quixote,,,
https://www.wikiart.org/en/eugene-boudin/beach-scene-at-trouville-1866,1866,,1866; France|1866,https://uploads5.wikiart.org/images/eugene-boudin/beach-scene-at-trouville-1866.jpg!Large.jpg,Impressionism,genre painting,watercolor,,leisure-and-sleep,,,,
https://www.wikiart.org/en/requena-nozal/serie-micras,2017,,2017,https://uploads2.wikiart.org/00144/images/requena-nozal/dsc01964.JPG!Large.JPG,Abstract Expressionism,abstract,acrylic,,Geological phenomenon|Water,Serie Micra,,,
