url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Theme,Period,Series
https://www.wikiart.org/en/betty-parsons/untitled-abstraction-4,,,,https://uploads7.wikiart.org/images/betty-parsons/untitled-abstraction(1).jpg,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/irma-stern/portrait-of-irma-stern-s-mother,,,,https://uploads3.wikiart.org/images/irma-stern/portrait-of-irma-stern-s-mother.jpg,Post-Impressionism,portrait,Flower,,,,,
https://www.wikiart.org/en/roberto-sambonet/unknown-title-1,,,,https://uploads2.wikiart.org/images/roberto-sambonet/unknown-title-1.jpg,Concretism,abstract,Product|Chair|Water|Table|Furniture,,,,,
https://www.wikiart.org/en/theophile-steinlen/le-reve-de-trottin-1892,1892,,1892,https://uploads3.wikiart.org/images/theophile-steinlen/le-reve-de-trottin-1892.jpg,Art Nouveau (Modern),illustration,Vintage advertisement,,,,,
https://www.wikiart.org/en/arsen-savadov/hommage-to-andro-hiroshige-2011,2011,,2011,https://uploads0.wikiart.org/00156/images/arsen-savadov/2011-1.jpg,Neo-Pop Art,figurative,,,,,,
https://www.wikiart.org/en/theodore-robinson/hillside-springtime-giverny,,,,https://uploads7.wikiart.org/00283/images/theodore-robinson/large.jpg!Large.jpg,Impressionism,landscape,Hill,oil,,,,
https://www.wikiart.org/en/edouard-cortes/place-de-l-opera-4,,,,https://uploads4.wikiart.org/images/edouard-cortes/place-de-l-opera-4.jpg!Large.jpg,Post-Impressionism,cityscape,streets-and-squares|houses-and-buildings|theatres|City,,,,,
https://www.wikiart.org/en/almir-mavignier/untitled-1967,1967,,1967,https://uploads8.wikiart.org/images/almir-mavignier/untitled-1967.jpg,Op Art,abstract,Rectangle|Pattern,,,,,
https://www.wikiart.org/en/cesar-paternosto/crescendo-diminuendo-2012,2012,,2012,https://uploads3.wikiart.org/images/cesar-paternosto/crescendo-diminuendo-2012.jpg,Concretism,installation,,,,,,
https://www.wikiart.org/en/pablo-picasso/dying-bull-1934,1934,,1934,https://uploads0.wikiart.org/images/pablo-picasso/dying-bull-1934.jpg!Large.jpg,Surrealism,animal painting,animals|bulls|birth-and-death|Black rhinoceros|Triceratops|Rhinoceros,,,Bull,Neoclassicist & Surrealist Period,
https://www.wikiart.org/en/sandor-bortnyik/green-donkey-1924,1924,,1924,https://uploads4.wikiart.org/images/sandor-bortnyik/green-donkey-1924.jpg!Large.jpg,Metaphysical art,symbolic painting,Light|Sky|Statue,,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/still-life-malwa-1921,1921,,1921,https://uploads2.wikiart.org/images/pyotr-konchalovsky/still-life-malwa-1921.jpg!Large.jpg,Post-Impressionism,flower painting,flowers-and-plants|Still life photography|Flower|Plant|Bouquet,,Private Collection,,,
https://www.wikiart.org/en/marc-chagall/the-story-of-the-rooster-the-little-goat-2,,,,https://uploads8.wikiart.org/images/marc-chagall/the-story-of-the-rooster-the-little-goat-2.jpg!Large.jpg,Naïve Art (Primitivism),illustration,A-ma'ase-mit-a-hon/Dos-Tsigele-:-L'histoire-du-coq.-La-petite-chèvre.,,"Musée d'Art et d'Histoire du Judaïsme, Paris, France",,,
https://www.wikiart.org/en/alfred-sisley/summer-at-bougival-1876,1876,,1876,https://uploads8.wikiart.org/images/alfred-sisley/summer-at-bougival-1876.jpg!Large.jpg,Impressionism,landscape,roads-and-vehicles|forests-and-trees|Bank|Natural landscape|Sky|Atmospheric phenomenon|morning|Tree|sunlight,oil|canvas,"E.G. Bührle Foundation, Zürich, Switzerland",,,
https://www.wikiart.org/en/lyonel-feininger/the-disparagers-1911,1911,,1911,https://uploads7.wikiart.org/images/lyonel-feininger/the-disparagers-1911.jpg,Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/johann-nepomuk-passini/blick-uber-bad-rohitsch-sauerbrunn-in-der-steiermark-badeanlagen-vom-ferdinandshugel-aus-gesehen-1848,1848,,1848,https://uploads3.wikiart.org/00326/images/johann-nepomuk-passini/johann-nepomuk-passini-blick-ber-bad-rohitsch-sauerbrunn.jpg!Large.jpg,Romanticism,landscape,,,,,,
https://www.wikiart.org/en/john-atkinson-grimshaw/a-mossy-glen,,,,https://uploads6.wikiart.org/images/john-atkinson-grimshaw/a-mossy-glen.jpg!Large.jpg,Romanticism,landscape,flowers-and-plants|forests-and-trees|Tree|Organism|Plant,,,,,
https://www.wikiart.org/en/zinaida-serebriakova/reclining-nude-with-cherry-mantle-1934,1934,,1934,https://uploads3.wikiart.org/images/zinaida-serebriakova/reclining-nude-with-cherry-mantle-1934.jpg!Large.jpg,Art Deco,nude painting (nu),female-nude,,,,,
https://www.wikiart.org/en/eugene-delacroix/four-views-of-men-sitting-1838,1838,,1838,https://uploads3.wikiart.org/images/eugene-delacroix/four-views-of-men-sitting-1838(1).jpg!Large.jpg,Romanticism,portrait,male-portraits|Photograph,,,,,
https://www.wikiart.org/en/carlos-merida/figures-at-work-1927,1927,,1927,https://uploads4.wikiart.org/images/carlos-merida/figures-at-work-1927.jpg,Muralism,genre painting,,,,,,
https://www.wikiart.org/en/moshe-kupferman/spears-1974,1974,,1974,https://uploads6.wikiart.org/images/moshe-kupferman/spears-1974.jpg,Minimalism,abstract,Line,,,,,
https://www.wikiart.org/en/hiroshi-yoshida/above-the-clouds-1929,1929,,1929,https://uploads7.wikiart.org/images/hiroshi-yoshida/above-the-clouds-1929.jpg,Shin-hanga,cloudscape,Sky|Cloud|Mountain,,,,,Southern Japan Alps Series
https://www.wikiart.org/en/roy-lichtenstein/forget-it-forget-me-1962,1962,,1962,https://uploads5.wikiart.org/images/roy-lichtenstein/forget-it-forget-me-1962(1).jpg,Pop Art,genre painting,couples|Forehead|Fictional character|Fiction,oil|canvas|magna,"Rose Art Museum (Brandeis University), Waltham, MA, US",,,
