url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/max-jacob/la-visitation-1938,1938,,1938,https://uploads5.wikiart.org/00114/images/max-jacob/la-visitation-1938.jpg!Large.jpg,Cubism|Expressionism,religious painting,Orange,,,,,
https://www.wikiart.org/en/jeff-koons/hair-with-cheese-2001,2001,,2001,https://uploads4.wikiart.org/00423/images/jeff-koons/eq-s3bwxyaarx04.jpeg,Neo-Pop Art|Neo-Dada,figurative,,oil,,,,
https://www.wikiart.org/en/vincent-van-gogh/sheet-with-numerous-figure-sketches-1890,1890,Saint-rémy-de-provence,"Saint-rémy-de-provence|1890|1890; Saint-rémy-de-provence, France",https://uploads1.wikiart.org/images/vincent-van-gogh/sheet-with-numerous-figure-sketches-1890.jpg!Large.jpg,Post-Impressionism,sketch and study,handwork|Sketch|Figure drawing,paper|chalk,"Van Gogh Museum, Amsterdam, Netherlands",,,
https://www.wikiart.org/en/norman-rockwell/maternity-waiting-room-1946,1946,,1946,https://uploads5.wikiart.org/images/norman-rockwell/maternity-waiting-room-1946.jpg!Large.jpg,Regionalism,genre painting,group-portraits|People,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/andy-warhol/mick-jagger-1,1975,,1975,https://uploads4.wikiart.org/images/andy-warhol/mick-jagger-1.jpg,Pop Art,portrait,male-portraits|famous-people|Mick-Jagger,,,,,
https://www.wikiart.org/en/jacob-lawrence/bar-and-grill-1941,1941,,1941,https://uploads7.wikiart.org/images/jacob-lawrence/bar-and-grill-1941(1).jpg!Large.jpg,Expressionism|Social Realism,genre painting,,,,,,
https://www.wikiart.org/en/craig-kauffman/untitled-1966,1966,,1966,https://uploads8.wikiart.org/images/craig-kauffman/untitled-1966.jpg!Large.jpg,Light and Space,sculpture,Orange,,,,,
https://www.wikiart.org/en/willem-de-kooning/pink-angels-1945,1945,,1945,https://uploads.wikiart.org/Content/images/FRAME-600x480.jpg,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/fernand-leger/animated-landscape-1921,1921,,1921,https://uploads7.wikiart.org/images/fernand-leger/animated-landscape-1921.jpg,Cubism,cityscape,houses-and-buildings|Sketch|Text|Line,,"Musee National Fernand Leger, Biot, France",,,
https://www.wikiart.org/en/ferdinand-georg-waldm-ller/the-bailout-1859,1859,,1859,https://uploads5.wikiart.org/images/ferdinand-georg-waldm-ller/the-bailout-1859.jpg!Large.jpg,Biedermeier,genre painting,,,,,,
https://www.wikiart.org/en/theo-van-doesburg/composition-vi-on-black-fond-1917,1917,,1917,https://uploads4.wikiart.org/images/theo-van-doesburg/composition-vi-on-black-fond-1917.jpg!Large.jpg,Neoplasticism,abstract,Photograph|Rectangle|Pattern|Font|monochrome,oil,,,,
https://www.wikiart.org/en/lucy-ivanova/victory-park-2018,2018,,2018,https://uploads3.wikiart.org/00227/images/lucy-ivanova/park-pobedy-2018-mixed-media-on-canvas-150x190-1100-e1548337132856.jpg!Large.jpg,Neo-Expressionism,figurative,,,,,,
https://www.wikiart.org/en/pablo-picasso/le-dejeuner-sur-l-herbe-d-apres-manet-1960,1960,,1960,https://uploads3.wikiart.org/00283/images/pablo-picasso/picasso-dejeuner-050360.jpg!Large.jpg,Surrealism,genre painting,female-nude|People in nature|forests-and-trees|Meal|Lunch,oil|canvas,"Musée Picasso, Paris, France",,,
https://www.wikiart.org/en/abdul-mati-klarwein/chez-sphinx-1973,1973,,1973,https://uploads4.wikiart.org/00218/images/abdul-mati-klarwein/chez-sphinx-1973.jpg!Large.jpg,Fantastic Realism,symbolic painting,,,,Visionary Psychedelia,,
https://www.wikiart.org/en/henri-de-toulouse-lautrec/house-wife-1890,1890,,1890,https://uploads3.wikiart.org/images/henri-de-toulouse-lautrec/house-wife-1890.jpg!Large.jpg,Post-Impressionism,portrait,female-portraits|Lady,oil,"Musee Toulouse-Lautrec, Albi, France",,,
https://www.wikiart.org/en/richard-smith/pm-zoom-1963,1963,,1963,https://uploads5.wikiart.org/images/richard-smith/pm-zoom-1963.jpg,Pop Art|Abstract Expressionism,figurative,Leaf|Pattern,,,,,
https://www.wikiart.org/en/james-tissot/caricature-of-percy-william-doyle-c-b,1873,,1873,https://uploads2.wikiart.org/images/james-tissot/caricature-of-percy-william-doyle-c-b.jpg,Realism,caricature,male-portraits|famous-people|Sitting|Gentleman|caricature,,,Man of the day (Caricatures),,
https://www.wikiart.org/en/carlo-carra/the-carriage-1916,1916,,1916; Italy|1916,https://uploads7.wikiart.org/00472/images/carlo-carra/mart-969-vaf-0717-la-carrozzella-117411.jpg!Large.jpg,,,,oil,,,,
https://www.wikiart.org/en/john-atkinson-grimshaw/saturday-night-on-the-clyde-at-glasgow,,,,https://uploads4.wikiart.org/images/john-atkinson-grimshaw/saturday-night-on-the-clyde-at-glasgow.jpg,Impressionism,cityscape,streets-and-squares|roads-and-vehicles|twilight-and-night|moles-and-embankments|Glasgow|Atmospheric phenomenon|Sky|Atmosphere,,,,,
https://www.wikiart.org/en/theodoros-stamos/archimandrite-1960,1960,,1960,https://uploads5.wikiart.org/images/theodoros-stamos/archimandrite-1960.jpg,Color Field Painting,abstract,Line,,,,,
https://www.wikiart.org/en/shotei-takahashi/sweetpeas-and-butterflies-1926,1926,,1926,https://uploads8.wikiart.org/images/shotei-takahashi/sweetpeas-and-butterflies-1926.jpg,Shin-hanga,bird-and-flower painting,Flower|Plant|Botany|Flowering plant,,,,,
https://www.wikiart.org/en/knud-baade/coastal-landscape-with-people-living-in-moonlight-1852,1852,,1852,https://uploads2.wikiart.org/00366/images/knud-baade/screenshot-2021-11-09-005409.png,Romanticism,landscape|marina,,oil|canvas,,,,
https://www.wikiart.org/en/carl-bloch/stone-beach-shore-1889,1889,,1889,https://uploads2.wikiart.org/00362/images/carl-bloch/h0223-l65298552-1-2.jpg,Realism,landscape|marina,,etching,,,,
https://www.wikiart.org/en/mario-ballocco/grata-scultura-1950,1950,,1950,https://uploads4.wikiart.org/images/mario-ballocco/grata-scultura-1950.jpg,Concretism,sculpture,,,,,,
https://www.wikiart.org/en/charlet/cuirassier-blesse-allonge-a-terre-un-chien-couche-sur-ses-pieds,,,,https://uploads8.wikiart.org/00250/images/charlet/charlet-n-t-watercolor-cuirassier-bless-allong-terre-un-chien-couch-sur-ses-pieds-21-4x28cm.jpg!Large.jpg,Romanticism,genre painting,Sitting,watercolor,,,,
https://www.wikiart.org/en/karoly-ferenczy/gardeners-1891,1891,,1891,https://uploads0.wikiart.org/images/karoly-ferenczy/gardeners-1891.jpg,Impressionism,genre painting,Gardener|flowers-and-plants,oil|canvas,"Hungarian National Museum, Budapest, Hungary",,,
https://www.wikiart.org/en/maurice-prendergast/at-the-park,1897,,1897,https://uploads2.wikiart.org/images/maurice-prendergast/at-the-park.jpg!Large.jpg,Impressionism,genre painting,gardens-and-parks|leisure-and-sleep|Tree|autumn,watercolor|paper,Private Collection,,,
https://www.wikiart.org/en/jan-matejko/dobrawa,,,,https://uploads8.wikiart.org/images/jan-matejko/dobrawa.jpg!Large.jpg,Romanticism,portrait,famous-people|female-portraits,,,Kings and queens of Poland,,
https://www.wikiart.org/en/vilhelms-purvitis/winter-1910,1910,,1910,https://uploads0.wikiart.org/images/vilhelms-purvitis/winter-1910.jpg!Large.jpg,Impressionism|Art Nouveau (Modern),landscape,Tree|Water|Natural landscape|Sky|Woody plant|Bank|Bayou|Plant,oil|canvas,"Latvian National Museum of Art, Riga, Latvia",,,
https://www.wikiart.org/en/ernst-ludwig-kirchner/dance-of-negros,,,,https://uploads8.wikiart.org/images/ernst-ludwig-kirchner/dance-of-negros.jpg!Large.jpg,Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/jules-breton/peasant-woman-picking-up-a-sheaf-of-carnations-1896,1896,,1896,https://uploads6.wikiart.org/00375/images/jules-breton/48300drsdl.jpg!Large.jpg,Realism,sketch and study,,paper|pencil,,,,
https://www.wikiart.org/en/jean-leon-gerome/the-gladiators,1878,,1878,https://uploads2.wikiart.org/images/jean-leon-gerome/the-gladiators.jpg!Large.jpg,Academicism,sculpture,gladiators|Statue|Standing|Figurine,,,,,
https://www.wikiart.org/en/andy-warhol/jane-fonda,1982,,1982,https://uploads2.wikiart.org/images/andy-warhol/jane-fonda.jpg!Large.jpg,Pop Art,portrait,famous-people|female-portraits|Jane-Fonda|Face|Hair|Lip|Chin|Eyebrow|Hairstyle|Head|Forehead|Black hair,,,,,
https://www.wikiart.org/en/currier-and-ives/bombardment-and-capture-of-island-number-ten-on-the-mississippi-river-april-7-1862-1862,1862,,1862,https://uploads2.wikiart.org/images/currier-and-ives/bombardment-and-capture-of-island-number-ten-on-the-mississippi-river-april-7-1862-1862.jpg,Romanticism,battle painting,Boat|Vehicle|Watercraft|Water transportation,,,American Civil War,,
https://www.wikiart.org/en/piet-mondrian/composition-2-1922,1922,,1922,https://uploads3.wikiart.org/images/piet-mondrian/composition-2-1922.jpg!Large.jpg,Neoplasticism,abstract,Rectangle|Furniture,oil|canvas,"Solomon R. Guggenheim Museum, New York City, NY, US",,,
https://www.wikiart.org/en/gustav-klimt/the-beethoven-frieze-the-longing-for-happiness-finds-repose-in-poetry-right-wall-1902-1,1902,,1902,https://uploads3.wikiart.org/images/gustav-klimt/the-beethoven-frieze-the-longing-for-happiness-finds-repose-in-poetry-right-wall-1.jpg!Large.jpg,Art Nouveau (Modern),allegorical painting,allegories-and-symbols|Textile,,"Belvedere, Vienna, Austria",The Beethoven Frieze,Golden phase,
https://www.wikiart.org/en/boris-kustodiev/illustration-for-nikolay-nekrasov-poem-grandfather-mazay-and-the-hares-1908,1908,,1908,https://uploads8.wikiart.org/images/boris-kustodiev/illustration-for-nikolay-nekrasov-poem-grandfather-mazay-and-the-hares-1908.jpg!Large.jpg,Realism,illustration,fictional-characters|Nikolay-Nekrasov|Grandfather-Mazay-and-the-Hares|Boat|Water|Vehicle,,,,,
https://www.wikiart.org/en/pablo-picasso/harlequin-leaning-1909,1909,,1909,https://uploads6.wikiart.org/images/pablo-picasso/harlequin-leaning-1909.jpg,Analytical Cubism,portrait,male-portraits|Harlequin|actors-and-performances|Leaf,,,,Cubist Period,Harlequin
https://www.wikiart.org/en/camille-pissarro/wanderer-near-the-wood-1887,1887,,1887,https://uploads6.wikiart.org/images/camille-pissarro/wanderer-near-the-wood-1887.jpg!Large.jpg,Impressionism,genre painting,Tree|Vegetation|Natural environment|Woody plant|Biome|Plant community|Plant|Shrubland|Grass|1880s paintings from France,oil|canvas,,,,
https://www.wikiart.org/en/david-hare/magician-s-game-1944,1944,,1944,https://uploads1.wikiart.org/images/david-hare/magician-s-game-1944.jpg,Surrealism,sculpture,Antler|Table,,,,,
https://www.wikiart.org/en/eugene-delacroix/confrontation-of-knights-in-the-countryside-1834,1834,,1834,https://uploads3.wikiart.org/images/eugene-delacroix/confrontation-of-knights-in-the-countryside-1834(1).jpg!Large.jpg,Romanticism,history painting,knights-and-warriors|battles-and-wars|Picture frame,,,,,
https://www.wikiart.org/en/arthur-rackham/the-king-s-troops-lay-siege-to-lancelot-s-castle,,,,https://uploads7.wikiart.org/images/arthur-rackham/the-king-s-troops-lay-siege-to-lancelot-s-castle.jpg!Large.jpg,Art Nouveau (Modern),illustration,Text|Organism,,,"The Legends of King Arthur and the Knights of the Round Table, by Nelly Montijn-De Fouw",,
https://www.wikiart.org/en/gustave-loiseau/ice-on-the-oise-river-1905,1905,,1905,https://uploads4.wikiart.org/images/gustave-loiseau/ice-on-the-oise-river-1905.jpg!Large.jpg,Post-Impressionism,landscape,Water|Natural landscape|Natural environment|Bank|Rock|Tree,oil|canvas,,,,
https://www.wikiart.org/en/laddie-john-dill/light-sentence-argon-river-1971,1971,,1971,https://uploads1.wikiart.org/images/laddie-john-dill/light-sentence-argon-river-1971.jpg!Large.jpg,Light and Space,installation,Light|Lighting|Light fixture,,,,,
https://www.wikiart.org/en/francis-bott/dans-les-yeux-bisantines-de-ma-m-re,,,,https://uploads0.wikiart.org/images/francis-bott/dans-les-yeux-bisantines-de-ma-m-re.jpg,Surrealism,symbolic painting,Room,,,,,
https://www.wikiart.org/en/max-ernst/homage-to-marcel-duchamp-1970,1970,,1970,https://uploads0.wikiart.org/images/max-ernst/homage-to-marcel-duchamp-1970.jpg,Naïve Art (Primitivism),abstract,Branch|Tree|Leaf|Botany|Circle|Plant,paper|etching,,,Second French period,
https://www.wikiart.org/en/gustav-klimt/portrait-of-marie-breunig,1894,,1894,https://uploads0.wikiart.org/images/gustav-klimt/portrait-of-marie-breunig.jpg!Large.jpg,Realism,portrait,female-portraits|Clothing|Lady|Retro style|Dress|Shoulder|Vintage clothing,oil|canvas,,,Early works,
https://www.wikiart.org/en/alexander-rodchenko/arvatov-about-mayakovsky-1923,1923,Moscow,"1923; Moscow, Russian Federation|Moscow|1923",https://uploads2.wikiart.org/images/alexander-rodchenko/arvatov-about-mayakovsky-1923.jpg!Large.jpg,,poster,Font,,,,,
https://www.wikiart.org/en/miklos-barabas/standing-portrait-of-l-szl-teleki-1861,1861,,1861,https://uploads5.wikiart.org/images/miklos-barabas/standing-portrait-of-l-szl-teleki-1861.jpg,Romanticism,portrait,,,,,,
https://www.wikiart.org/en/christian-schad/bettina-1942,1942,,1942,https://uploads8.wikiart.org/images/christian-schad/bettina-1942.jpg!Large.jpg,Magic Realism,portrait,Hair|Lady|Beauty|Hairstyle|Lip,,,,,
https://www.wikiart.org/en/valentin-serov/farm-yard-in-finland-1902,1902,,1902,https://uploads2.wikiart.org/images/valentin-serov/farm-yard-in-finland-1902.jpg!Large.jpg,Realism,genre painting,animals|cottages-and-farmhouses|cows|Finland|Bovine|Dairy cow|Cow-goat family,cardboard|oil,"Tretyakov Gallery, Moscow, Russia",,,
https://www.wikiart.org/en/jules-perahim/figure-with-a-dog-1964,1964,,1964,https://uploads6.wikiart.org/images/jules-perahim/figure-with-a-dog-1964.jpg,Surrealism,figurative,Water,,,,,
https://www.wikiart.org/en/ferdinand-du-puigaudeau/breton-girls-with-chinese-lanterns,,,,https://uploads8.wikiart.org/00323/images/ferdinand-du-puigaudeau/puigaudeau-ferdinand-du-breton-girls-with-chinese-lanterns.jpeg!Large.jpeg,Neo-Impressionism,genre painting,Brittany,,,,,
https://www.wikiart.org/en/pierre-auguste-renoir/two-women-with-flowered-hat,1915,,1915,https://uploads2.wikiart.org/images/pierre-auguste-renoir/two-women-with-flowered-hat.jpg!Large.jpg,Impressionism,genre painting,Mythology|Human|Fictional character,oil|canvas,Private Collection,,Later Years,
https://www.wikiart.org/en/henry-moore/dizayn-etiketki-chateau-mouton-rothschild-1964,1964,,1964,https://uploads7.wikiart.org/00313/images/genri-mur/72.jpg!Large.jpg,,design,Text,,,,,
https://www.wikiart.org/en/david-michael-hinnebusch/overlook,2017,,2017,https://uploads1.wikiart.org/00184/images/david-michael-hinnebusch/overlook-28x22in-mixed-media-on-paper.jpg!Large.jpg,Neo-Expressionism|Contemporary,self-portrait|poster,,paper|acrylic|photography,,Rosemont,,
https://www.wikiart.org/en/victor-brecheret/safo,,,,https://uploads7.wikiart.org/00328/images/victor-brecheret/safo.jpg,Modernismo,sculpture,,,,,,
https://www.wikiart.org/en/joan-brull/nena,,,,https://uploads8.wikiart.org/00313/images/joan-brull/nena-joan-brull-i-vinyoles-1863-1912-1.jpg!Large.jpg,Symbolism|Art Nouveau (Modern),portrait,Hair|Face|Eyebrow|Hairstyle|Head|Chin|Beauty|Lip|Brown hair,,,,,
https://www.wikiart.org/en/paul-peel/the-beach-in-normandy-also-known-as-good-news-1887,1887,,1887,https://uploads0.wikiart.org/00364/images/paul-peel/paulpeel-the-beach-at-normandy-c1887.jpg,Impressionism,genre painting,,,,,,
https://www.wikiart.org/en/albert-bierstadt/indian-encampment-shoshone-village-1860,1860,,1860,https://uploads0.wikiart.org/images/albert-bierstadt/indian-encampment-shoshone-village-1860.jpg!Large.jpg,Luminism,landscape,rivers-and-waterfalls|hunting-and-racing|forests-and-trees|Sky|Tree|morning|sunlight|Evening,oil|board,,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-42,,,,https://uploads1.wikiart.org/images/zdislav-beksinski/untitled-632.jpg!Large.jpg,Surrealism,sketch and study,allegories-and-symbols,,,,,
https://www.wikiart.org/en/konstantin-makovsky/under-the-green-trees-summer-landscape,,,,https://uploads2.wikiart.org/images/konstantin-makovsky/under-the-green-trees-summer-landscape.jpg!Large.jpg,Realism,landscape,forests-and-trees|Natural landscape|Nature|Tree|Natural environment|Woodland|Bank|Forest|Woody plant,,,,,
https://www.wikiart.org/en/lajos-tihanyi/composition-1925,1925,,1925,https://uploads0.wikiart.org/images/lajos-tihanyi/composition-1925.jpg,Cubism,abstract,,,,,,
https://www.wikiart.org/en/daniel-spoerri/untitled-1988,1988,,1988,https://uploads7.wikiart.org/images/daniel-spoerri/untitled-1988.jpg,Conceptual Art|Neo-Dada,sculpture,Grass|Plant|Shrub|Lawn|Tree|Grass family|thuya,,,,,
https://www.wikiart.org/en/donald-judd/untitled-1967,1967,,1967,https://uploads4.wikiart.org/00336/images/donald-judd/untitled-1967.jpg!Large.jpg,Minimalism,sculpture,,,,,,
https://www.wikiart.org/en/petros-malayan/still-life-with-fruits-1982,1982,,1982,https://uploads1.wikiart.org/00316/images/petros-malayan/still-life-with-fruits-1982.jpg!Large.jpg,Expressionism,still life,,,,,,
https://www.wikiart.org/en/mikalojus-ciurlionis/journey-of-the-prince-iii-1907,1907,,1907,https://uploads4.wikiart.org/images/mikalojus-ciurlionis/journey-of-the-prince-iii-1907.jpg!Large.jpg,Symbolism,cloudscape,Sky|Line,tempera|canvas,,Triptych Journey of the Prince,,
https://www.wikiart.org/en/else-alfelt/the-flower-of-the-universe-no-20-1966,1966,,1966,https://uploads0.wikiart.org/00333/images/else-alfelt/the-flower-of-the-universe-no-20-1966.png,Abstract Art,abstract,,,,,,
https://www.wikiart.org/en/alfred-freddy-krupa/in-the-morning-2008,2008,,2008|2008; Croatia,https://uploads3.wikiart.org/00249/images/alfred-freddy-krupa/67892047-396330967903626-5995221939407290368-n-1.jpg!Large.jpg,Ink and wash painting|Minimalism,landscape,monochrome|Sketch|Line,pen|ink,,,,
