url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Period,Media,Location,Theme,Series
https://www.wikiart.org/en/ilya-repin/portrait-of-count-d-m-solsky-1903,1903,,1903,https://uploads6.wikiart.org/images/ilya-repin/portrait-of-count-d-m-solsky-1903.jpg!Large.jpg,Realism,portrait,,,,,,
https://www.wikiart.org/en/vadym-meller/costume-design,,,,https://uploads7.wikiart.org/00124/images/vadym-meller/costume-design-5.jpg!Large.jpg,Cubism,design,,,,,,
https://www.wikiart.org/en/giulio-paolini/jamais-vu-2005,2005,,2005,https://uploads8.wikiart.org/images/giulio-paolini/jamais-vu-2005.jpg,Conceptual Art,installation,Shelf|Furniture|Table,,,,,
https://www.wikiart.org/en/john-austen/hamlet-19,,,,https://uploads1.wikiart.org/images/john-austen/hamlet-19.jpg!Large.jpg,Art Deco,illustration,Text|Line|Font,,,,,"William Shakespeare: Hamlet (Selwyn & Blount, 1922)"
https://www.wikiart.org/en/botong-francisco/bayanihan-1962,1962,,1962|1962; Philippines,https://uploads3.wikiart.org/00335/images/botong-francisco/7jncdvf.jpg!Large.jpg,Social Realism,mural,,,watercolor,,,
https://www.wikiart.org/en/norman-bluhm/untitled-1973,1973,,1973,https://uploads5.wikiart.org/images/norman-bluhm/untitled-1973.jpg,Lyrical Abstraction,abstract,Font,,,,,
https://www.wikiart.org/en/konstantin-makovsky/female-portrait-2,,,,https://uploads8.wikiart.org/images/konstantin-makovsky/female-portrait-2.jpg!Large.jpg,Realism,portrait,female-portraits|Hair|Face|Lady|Hairstyle|Head|Chin|Eyebrow,,,,,
https://www.wikiart.org/en/joan-miro/the-circus-house,1927,,1927,https://uploads6.wikiart.org/images/joan-miro/the-circus-house.jpg!Large.jpg,Automatic Painting|Surrealism,abstract,Orange,,canvas|pencil|oil,,,
https://www.wikiart.org/en/andrew-wyeth/lovers-1981,1981,,1981,https://uploads8.wikiart.org/images/andrew-wyeth/lovers.jpg!Large.jpg,Contemporary Realism,nude painting (nu),female-nude,,panel,Private Collection,,
https://www.wikiart.org/en/konrad-zuse/self-portrait-1994,1994,,1994,https://uploads3.wikiart.org/00243/images/konrad-zuse/sel.jpg,Kitsch,self-portrait,Forehead,,oil,,,
https://www.wikiart.org/en/jeff-koons/tulips-2004,2004,,2004,https://uploads1.wikiart.org/00422/images/jeff-koons/koons-tulips.jpg!Large.jpg,Neo-Pop Art,installation|sculpture,,,steel,,,
https://www.wikiart.org/en/henryk-stazewski/relief-nr-18-1967,1967,,1967,https://uploads5.wikiart.org/images/henryk-stazewski/relief-nr-18-1967.jpg!Large.jpg,Concretism,abstract,Line|Pattern,,,,,
https://www.wikiart.org/en/ivan-aivazovsky/the-bay-of-naples-at-moonlit-night-vesuvius-1840,1840,,1840,https://uploads8.wikiart.org/images/ivan-aivazovsky/the-bay-of-naples-at-moonlit-night-vesuvius-1840.jpg!Large.jpg,Romanticism,landscape,sun-and-moon|seas-and-oceans|twilight-and-night|caves-and-volcanoes|Sky|Atmospheric phenomenon|Tree|Astronomical object|Calm|Atmosphere|Moonlight|Naples,,canvas|oil,,,
https://www.wikiart.org/en/horia-damian/iconostas-1964,1964,,1964,https://uploads7.wikiart.org/images/horia-damian/iconostas-1964.jpg!Large.jpg,Art Informel,abstract,,,,,,
https://www.wikiart.org/en/boris-kustodiev/portrait-of-f-i-chaliapin-1921-1,1921,,1921,https://uploads1.wikiart.org/images/boris-kustodiev/portrait-of-f-i-chaliapin-1921-1.jpg!Large.jpg,Realism,sketch and study,male-portraits|famous-people|F.I.-Chaliapin|Sketch,,,,,
https://www.wikiart.org/en/taro-yamamoto/untitled-1972-1,1972,,1972,https://uploads0.wikiart.org/images/taro-yamamoto/untitled-1972-1.jpg!Large.jpg,Abstract Expressionism,abstract,Tree|Leaf|Woody plant|Plant,,,,,
https://www.wikiart.org/en/claude-monet/bordighera-the-house-of-gardener,1884,,1884,https://uploads7.wikiart.org/images/claude-monet/bordighera-the-house-of-gardener.jpg!Large.jpg,Impressionism,landscape,Plant|Flower|House|Tree|Rural area,,,,,
https://www.wikiart.org/en/george-bouzianis/view-of-paris-1930,1930,,1930,https://uploads5.wikiart.org/images/george-bousianis/view-of-paris-1930.jpg,Expressionism,cityscape,Sketch,,,,,
https://www.wikiart.org/en/toshusai-sharaku/ichikawa-yaozo-iii-as-the-sparrow-seller-yasukata-actually-chuzo-sanekata-1795,1795,,1795,https://uploads8.wikiart.org/00134/images/toshusai-sharaku/sharaku-1794-ichikawa-yaoz-iii-as-the-sparrow-seller-yasukata-actually-ch-z-sanekata.jpg!Large.jpg,Ukiyo-e,yakusha-e,costume design,,woodblock print,,,
https://www.wikiart.org/en/auguste-herbin/the-coast-at-haute-isle-1906,1906,,1906,https://uploads5.wikiart.org/images/auguste-herbin/the-coast-at-haute-isle-1906.jpg!Large.jpg,Impressionism,landscape,Tree|Reflection,,,,,
https://www.wikiart.org/en/ohara-koson/mandarin-ducks,,,,https://uploads6.wikiart.org/images/ohara-koson/mandarin-ducks.jpg!Large.jpg,Shin-hanga,wildlife painting,birds|ducks|Bird,,paper,,,
https://www.wikiart.org/en/fernando-botero/the-death-of-luis-chalet,1984,,1984,https://uploads2.wikiart.org/images/fernando-botero/the-death-of-luis-chalet.jpg!Large.jpg,Naïve Art (Primitivism),genre painting,celebrations-and-festivals|Bull|Tradition|bullfighting|Public event|Bovine|Event|Matador,,,,,
https://www.wikiart.org/en/jean-leon-gerome/an-arab-and-his-dog,,,,https://uploads6.wikiart.org/images/jean-leon-gerome/an-arab-and-his-dog.jpg,Orientalism,genre painting,male-portraits|Dog|Canidae,,,,,
https://www.wikiart.org/en/gary-kuehn/saw-horse-piece-1967,1967,,1967,https://uploads2.wikiart.org/images/gary-kuehn/saw-horse-piece-1967.jpg!Large.jpg,Post-Minimalism,installation,Table|Furniture,,,,,
https://www.wikiart.org/en/george-dawe/portrait-of-matvey-i-von-der-pahlen-1825,1825,,1825,https://uploads1.wikiart.org/00318/images/george-dawe/magnus-freiherr-von-der-pahlen.jpg!Large.jpg,Neoclassicism,portrait,male-portraits,,,"Hermitage Museum, Saint Petersburg, Russia",,
https://www.wikiart.org/en/leopoldo-metlicovitz/sogno-di-un-valzer,,,,https://uploads4.wikiart.org/00340/images/leopoldo-metlicovitz/leopoldo-metlicovitz-sogno-di-un-valzer.jpg!Large.jpg,Art Nouveau (Modern),poster,,,,,,
https://www.wikiart.org/en/sadamasa-motonaga/like-a-dragonfly-1979,1979,,1979,https://uploads1.wikiart.org/images/sadamasa-motonaga/like-a-dragonfly-1979.jpg!Large.jpg,Art Informel,abstract,Sky,,,,,
https://www.wikiart.org/en/childe-hassam/flags-on-the-waldorf,1916,,1916,https://uploads5.wikiart.org/images/childe-hassam/flags-on-the-waldorf.jpg!Large.jpg,Impressionism,cityscape,streets-and-squares|houses-and-buildings|roads-and-vehicles|Water|Tree|Reflection,,,,,
